Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_SAC,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
De'Aaron Fox,2020-12-23,39,21,4,7,1,1.0,0.4,0.5,0.473,25.6,2.0,2,0.8,110.0,113.0,15.6,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,4.0,7.0,1.0,2.0,0.4,0.5,0.8,25.6,110.0,113.0,15.6,0.0
De'Aaron Fox,2020-12-26,35,24,4,7,1,2.0,0.5,0.429,0.685,26.1,10.6,5,0.875,120.0,102.0,19.7,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22.5,4.0,7.0,1.0,3.5,0.45,0.4645,0.8375,25.85,115.0,107.5,17.65,0.979945
De'Aaron Fox,2020-12-27,27,12,0,4,0,0.0,0.333,0.0,0.41,34.8,-18.0,5,0.667,70.0,125.0,0.2,3,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,2.6666666666666665,6.0,0.6666666666666666,4.0,0.411,0.3096666666666667,0.7806666666666667,28.83333333333333,100.0,113.33333333333331,11.833333333333334,1.01025
De'Aaron Fox,2020-12-29,35,24,3,9,2,1.0,0.533,0.5,0.664,24.2,9.1,2,0.857,140.0,114.0,23.8,4,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.25,2.75,6.75,1.0,3.5,0.4415,0.35725,0.79975,27.675,110.0,113.5,14.825,1.03196
De'Aaron Fox,2020-12-31,35,22,5,6,4,1.0,0.391,0.143,0.429,31.0,1.7,2,0.5,100.0,111.0,16.7,5,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6,3.2,6.6,1.6,3.2,0.4314,0.3144,0.7398,28.34,108.0,113.0,15.2,1.15282
De'Aaron Fox,2021-01-02,36,23,2,4,2,1.0,0.421,0.0,0.491,31.3,2.0,3,0.7,99.0,103.0,13.2,6,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,6.166666666666667,1.6666666666666667,3.1666666666666665,0.4296666666666666,0.262,0.7331666666666666,28.83333333333333,106.5,111.33333333333331,14.866666666666667,1.11072
De'Aaron Fox,2021-01-04,31,18,4,7,3,1.0,0.412,0.5,0.48,28.0,2.3,3,0.5,94.0,117.0,13.7,7,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.571428571428573,3.142857142857143,6.285714285714286,1.8571428571428568,3.142857142857143,0.4271428571428571,0.296,0.6998571428571428,28.714285714285715,104.71428571428572,112.14285714285714,14.7,1.09997
De'Aaron Fox,2021-01-06,5,3,0,1,0,0.0,0.5,0.0,0.521,24.0,-6.0,0,0.5,124.0,134.0,2.3,8,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.375,2.75,5.625,1.625,2.75,0.43625,0.259,0.674875,28.125,107.125,114.875,13.15,1.04537
De'Aaron Fox,2021-01-08,25,23,1,3,2,1.0,0.818,0.0,0.817,33.4,1.2,4,0.714,121.0,143.0,18.8,9,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.88888888888889,2.555555555555556,5.333333333333333,1.6666666666666667,2.888888888888889,0.4786666666666666,0.2302222222222222,0.6792222222222222,28.71111111111111,108.66666666666669,118.0,13.77777777777778,1.26413
De'Aaron Fox,2021-01-09,25,10,2,2,0,0.0,0.333,0.0,0.43,24.8,-14.7,3,0.667,74.0,124.0,1.5,10,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,2.5,5.0,1.5,2.9,0.4641,0.2072,0.678,28.32,105.2,118.6,12.55,1.06557
