Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,PTS_rolling_avg,TRB_rolling_avg,TM_ATL,TM_BOS,TM_BRK,TM_CHI,TM_CHO,TM_CLE,TM_DAL,TM_DEN,TM_DET,TM_GSW,TM_HOU,TM_IND,TM_LAC,TM_LAL,TM_MEM,TM_MIA,TM_MIL,TM_MIN,TM_NOP,TM_NYK,TM_OKC,TM_ORL,TM_PHI,TM_PHO,TM_POR,TM_SAC,TM_SAS,TM_TOR,TM_UTA,TM_WAS,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
De'Aaron Fox,2024-10-24,37,15,2,11,1,0.0,0.429,0.25,0.504,20.5,1.0,2,1.0,112.0,118.0,13.7,1,1,0,15.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,2.0,0.429,0.25,1.0,20.5,112.0,118.0,13.7,1.09616
De'Aaron Fox,2024-10-26,41,28,5,10,2,0.0,0.45,0.3,0.595,30.6,-2.9,6,0.875,107.0,125.0,20.5,2,0,0,21.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,1.5,4.0,0.4395,0.275,0.9375,25.55,109.5,121.5,17.1,1.14511
De'Aaron Fox,2024-10-28,35,24,6,3,2,0.0,0.45,0.25,0.551,31.1,-2.2,3,1.0,103.0,99.0,15.3,3,1,0,22.33333333333333,4.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,1.6666666666666667,3.6666666666666665,0.443,0.2666666666666666,0.9583333333333334,27.4,107.33333333333331,114.0,16.5,1.01179
De'Aaron Fox,2024-10-29,31,19,5,6,1,0.0,0.533,0.5,0.598,26.6,0.7,3,1.0,116.0,103.0,15.0,4,0,0,21.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.5,1.5,3.5,0.4655,0.325,0.96875,27.200000000000003,109.5,111.25,16.125,1.04837
De'Aaron Fox,2024-11-01,37,31,7,3,4,0.0,0.688,0.667,0.832,27.4,7.8,6,0.833,118.0,104.0,24.8,5,0,0,23.4,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,2.0,4.0,0.51,0.3934,0.9416,27.24,111.2,109.8,17.86,1.20992
De'Aaron Fox,2024-11-02,43,24,6,1,5,0.0,0.364,0.0,0.455,29.1,-6.0,5,0.8,90.0,113.0,13.9,6,0,0,23.5,5.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.666666666666667,2.5,4.166666666666667,0.4856666666666667,0.3278333333333333,0.918,27.55,107.66666666666669,110.33333333333331,17.2,1.20377
De'Aaron Fox,2024-11-04,37,28,6,5,0,0.0,0.524,0.5,0.615,32.5,0.3,4,0.75,116.0,120.0,17.8,7,0,0,24.142857142857142,5.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.571428571428571,2.142857142857143,4.142857142857143,0.4911428571428571,0.3524285714285714,0.894,28.25714285714286,108.85714285714286,111.71428571428572,17.285714285714285,0.927262
De'Aaron Fox,2024-11-06,34,21,1,2,1,0.0,0.294,0.25,0.491,27.9,-6.7,1,0.9,116.0,116.0,11.6,8,1,0,23.75,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.125,2.0,3.75,0.4665,0.339625,0.89475,28.2125,109.75,112.25,16.575,1.12245
De'Aaron Fox,2024-11-08,38,31,3,0,1,0.0,0.6,0.4,0.685,36.8,-1.9,7,0.833,98.0,114.0,15.1,9,1,0,24.55555555555556,4.555555555555555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.555555555555555,1.8888888888888888,4.111111111111111,0.4813333333333333,0.3463333333333333,0.8878888888888888,29.166666666666668,108.44444444444444,112.44444444444444,16.41111111111111,1.06493
De'Aaron Fox,2024-11-10,41,21,11,8,0,0.0,0.435,0.0,0.448,24.3,0.0,0,1.0,108.0,106.0,18.2,10,0,0,24.2,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.9,1.7,3.7,0.4767,0.3117,0.8991,28.68,108.4,111.8,16.59,1.21505
