Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,PTS_rolling_avg,TM_ATL,TM_BOS,TM_BRK,TM_CHI,TM_CHO,TM_CLE,TM_DAL,TM_DEN,TM_DET,TM_GSW,TM_HOU,TM_IND,TM_LAC,TM_LAL,TM_MEM,TM_MIA,TM_MIL,TM_MIN,TM_NOP,TM_NYK,TM_OKC,TM_ORL,TM_PHI,TM_PHO,TM_POR,TM_SAC,TM_SAS,TM_TOR,TM_UTA,TM_WAS,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Anthony Edwards,31,29,6,3,1,0.0,0.476,0.5,0.637,34.7,0.6,4,0.75,116.0,108.0,18.8,1,1,0,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,4.0,0.476,0.5,0.75,34.7,116.0,108.0,18.8,0.0,0,2021,10,20,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Anthony Edwards,37,19,9,5,1,1.0,0.364,0.375,0.432,25.0,4.7,1,0.0,100.0,88.0,14.5,2,1,1,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,4.0,1.0,2.5,0.42,0.4375,0.375,29.85,108.0,98.0,16.65,1.23986,1,2021,10,23,5,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
Anthony Edwards,40,28,9,3,1,0.0,0.435,0.364,0.565,29.2,0.7,3,1.0,104.0,110.0,17.1,3,1,0,25.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.6666666666666665,1.0,2.6666666666666665,0.425,0.413,0.5833333333333334,29.633333333333336,106.66666666666669,102.0,16.8,0.88612,2,2021,10,25,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
Anthony Edwards,33,25,7,3,1,0.0,0.375,0.2,0.469,35.8,-2.5,2,0.833,99.0,109.0,14.2,4,0,0,25.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.75,3.5,1.0,2.5,0.4125,0.35975,0.64575,31.175,104.75,103.75,16.15,1.02927,3,2021,10,27,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Anthony Edwards,34,14,11,1,0,0.0,0.316,0.0,0.352,28.5,-8.4,3,1.0,77.0,100.0,5.3,5,1,0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,3.0,0.8,2.6,0.3932,0.2878,0.7166,30.64,99.2,103.0,13.98,0.735294,4,2021,10,30,5,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
Anthony Edwards,37,24,6,3,2,0.0,0.455,0.25,0.505,28.7,3.0,2,0.5,104.0,117.0,16.1,6,1,0,23.166666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,1.0,2.5,0.4034999999999999,0.2815,0.6805,30.316666666666663,100.0,105.33333333333331,14.333333333333334,1.08709,5,2021,11,1,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
Anthony Edwards,38,28,3,6,3,1.0,0.524,0.3,0.627,30.5,3.9,6,1.0,108.0,122.0,20.5,7,1,0,23.857142857142858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.285714285714286,3.4285714285714284,1.2857142857142858,3.0,0.4207142857142857,0.2841428571428571,0.7261428571428572,30.342857142857145,101.14285714285714,107.71428571428572,15.214285714285714,0.914286,6,2021,11,3,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Anthony Edwards,32,17,1,3,2,3.0,0.318,0.25,0.379,32.8,3.3,2,0.0,74.0,100.0,6.9,8,1,0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,3.375,1.375,2.875,0.407875,0.279875,0.635375,30.65,97.75,106.75,14.175,1.12031,7,2021,11,5,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Anthony Edwards,43,27,5,3,3,0.0,0.409,0.444,0.538,29.9,0.4,4,0.714,104.0,123.0,16.2,9,0,0,23.444444444444443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.333333333333333,3.333333333333333,1.5555555555555556,3.0,0.408,0.2981111111111111,0.6441111111111111,30.56666666666667,98.44444444444444,108.55555555555556,14.4,1.12058,8,2021,11,8,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
Anthony Edwards,42,48,6,5,2,0.0,0.593,0.538,0.743,36.4,17.2,6,0.75,128.0,126.0,36.0,10,0,0,25.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,3.5,1.6,3.3,0.4265,0.3221,0.6547,31.15,101.4,110.3,16.56,1.04727,9,2021,11,10,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
