Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_PHI,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Tyrese Maxey,2021-10-20,34,20,7,5,0,0.0,0.571,0.667,0.672,21.4,2.0,1,1.0,134.0,103.0,17.2,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,7.0,5.0,0.0,1.0,0.571,0.667,1.0,21.4,134.0,103.0,17.2,0.0
Tyrese Maxey,2021-10-22,36,15,2,2,1,0.0,0.412,0.2,0.441,21.7,-7.6,0,0.0,94.0,124.0,7.7,2,1,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,4.5,3.5,0.5,0.5,0.4914999999999999,0.4335,0.5,21.55,114.0,113.5,12.45,1.20109
Tyrese Maxey,2021-10-24,34,14,5,2,0,1.0,0.308,0.0,0.435,24.7,-12.6,3,0.857,93.0,112.0,5.9,3,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.333333333333332,4.666666666666667,3.0,0.3333333333333333,1.3333333333333333,0.4303333333333333,0.289,0.619,22.6,107.0,113.0,10.266666666666667,1.13631
Tyrese Maxey,2021-10-26,30,7,2,3,1,0.0,0.333,0.0,0.371,17.6,-12.4,2,1.0,77.0,129.0,2.8,4,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,3.0,0.5,1.5,0.4059999999999999,0.21675,0.71425,21.35,99.5,117.0,8.4,1.02314
Tyrese Maxey,2021-10-28,31,16,6,6,0,2.0,0.75,1.0,0.901,18.7,6.8,4,1.0,129.0,105.0,15.4,5,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,4.4,3.6,0.4,2.0,0.4747999999999999,0.3734,0.7714000000000001,20.82,105.4,114.6,9.8,1.17012
Tyrese Maxey,2021-10-30,25,16,0,3,1,1.0,0.75,0.5,0.858,20.3,7.1,2,1.0,143.0,104.0,13.4,6,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.666666666666666,3.6666666666666665,3.5,0.5,2.0,0.5206666666666666,0.3945,0.8095,20.73333333333333,111.66666666666669,112.83333333333331,10.4,1.18663
Tyrese Maxey,2021-11-01,30,10,1,7,1,0.0,0.5,0.0,0.536,19.5,-7.0,3,0.667,102.0,120.0,8.4,7,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,3.2857142857142856,4.0,0.5714285714285714,2.142857142857143,0.5177142857142857,0.3381428571428571,0.7891428571428571,20.557142857142857,110.28571428571428,113.85714285714286,10.114285714285714,1.26775
Tyrese Maxey,2021-11-03,37,14,1,6,0,0.0,0.5,0.0,0.554,16.4,-1.8,0,0.667,128.0,113.0,11.9,8,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,4.25,0.5,1.875,0.5155,0.295875,0.773875,20.0375,112.5,113.75,10.3375,1.11737
Tyrese Maxey,2021-11-04,45,20,4,5,2,0.0,0.667,0.5,0.776,14.2,5.1,1,1.0,158.0,111.0,19.7,9,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.666666666666666,3.111111111111111,4.333333333333333,0.6666666666666666,1.7777777777777777,0.5323333333333333,0.3185555555555555,0.7989999999999999,19.38888888888889,117.55555555555556,113.44444444444444,11.377777777777778,1.11841
Tyrese Maxey,2021-11-06,44,10,3,8,1,1.0,0.556,0.0,0.556,10.5,1.8,1,0.0,129.0,116.0,12.5,10,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,3.1,4.7,0.7,1.7,0.5347,0.2867,0.7191,18.5,118.7,113.7,11.49,1.06446
