Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_PHI,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Tyrese Maxey,2023-10-26,40,31,4,8,2,0.0,0.455,0.375,0.587,29.4,6.3,0,0.8,130.0,116.0,26.4,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,4.0,8.0,2.0,0.0,0.455,0.375,0.8,29.4,130.0,116.0,26.4,0.0
Tyrese Maxey,2023-10-28,41,34,6,7,0,1.0,0.6,0.778,0.797,25.3,14.7,1,1.0,159.0,121.0,31.2,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32.5,5.0,7.5,1.0,0.5,0.5275,0.5765,0.9,27.35,144.5,118.5,28.8,0.923726
Tyrese Maxey,2023-10-29,35,26,10,4,0,0.0,0.429,0.5,0.707,24.6,2.9,2,1.0,142.0,101.0,22.4,3,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.33333333333333,6.666666666666667,6.333333333333333,0.6666666666666666,1.0,0.4946666666666666,0.551,0.9333333333333332,26.433333333333334,143.66666666666666,112.66666666666669,26.666666666666668,1.03461
Tyrese Maxey,2023-11-02,40,18,1,4,2,0.0,0.438,0.0,0.507,19.2,-1.0,1,1.0,115.0,106.0,13.3,4,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.25,5.25,5.75,1.0,1.0,0.4805,0.41325,0.95,24.625,136.5,111.0,23.325,1.11167
Tyrese Maxey,2023-11-04,36,22,5,10,0,1.0,0.5,0.333,0.583,25.2,8.8,3,1.0,127.0,112.0,20.0,5,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.2,5.2,6.6,0.8,1.4,0.4844,0.3972,0.96,24.74,134.6,111.2,22.66,1.2908
Tyrese Maxey,2023-11-06,32,22,1,11,1,1.0,0.563,0.333,0.669,20.4,7.0,0,1.0,155.0,120.0,23.3,6,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.5,4.5,7.333333333333333,0.8333333333333334,1.1666666666666667,0.4975,0.3865,0.9666666666666668,24.016666666666666,138.0,112.66666666666669,22.766666666666666,1.17633
Tyrese Maxey,2023-11-08,39,25,9,5,1,2.0,0.407,0.273,0.456,30.7,5.3,1,0.0,102.0,102.0,16.5,7,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.428571428571427,5.142857142857143,7.0,0.8571428571428571,1.1428571428571428,0.4845714285714285,0.3702857142857143,0.8285714285714285,24.97142857142857,132.85714285714286,111.14285714285714,21.87142857142857,0.991197
Tyrese Maxey,2023-11-10,39,29,6,11,3,1.0,0.474,0.286,0.632,25.7,14.4,0,1.0,146.0,106.0,31.3,8,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.875,5.25,7.5,1.125,1.0,0.48325,0.35975,0.85,25.0625,134.5,110.5,23.05,1.07239
Tyrese Maxey,2023-11-12,39,50,7,5,0,3.0,0.625,0.636,0.75,34.6,20.8,2,1.0,163.0,129.0,41.7,9,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.55555555555556,5.444444444444445,7.222222222222222,1.0,1.1111111111111112,0.4989999999999999,0.3904444444444445,0.8666666666666667,26.12222222222222,137.66666666666666,112.55555555555556,25.12222222222222,1.15969
Tyrese Maxey,2023-11-14,38,27,4,5,0,1.0,0.391,0.4,0.518,32.2,-3.2,4,1.0,97.0,125.0,15.1,10,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.4,5.3,7.0,0.9,1.4,0.4881999999999999,0.3914,0.8800000000000001,26.73,133.6,113.8,24.12,1.33969
