Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_PHI,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Tyrese Maxey,2020-12-23,11,6,2,2,0,0.0,0.5,0.0,0.5,26.7,-2.5,1,0.0,96.0,108.0,4.0,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,2.0,0.0,1.0,0.5,0.0,0.0,26.7,96.0,108.0,4.0,0.0
Tyrese Maxey,2020-12-26,9,2,2,3,0,0.0,0.25,0.0,0.25,24.8,-4.2,1,0.0,83.0,102.0,1.7,2,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.5,0.0,1.0,0.375,0.0,0.0,25.75,89.5,105.0,2.85,1.11162
Tyrese Maxey,2020-12-27,22,6,0,1,1,0.0,0.375,0.0,0.375,18.2,-10.7,1,0.0,71.0,121.0,1.9,3,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.666666666666667,1.3333333333333333,2.0,0.3333333333333333,1.0,0.375,0.0,0.0,23.23333333333333,83.33333333333333,110.33333333333331,2.533333333333333,0.942761
Tyrese Maxey,2020-12-29,8,0,0,1,0,0.0,0.0,0.0,0.0,15.4,-15.4,0,0.0,18.0,104.0,-1.4,4,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.5,1.0,1.75,0.25,0.75,0.28125,0.0,0.0,21.275,67.0,108.75,1.55,1.10839
Tyrese Maxey,2020-12-31,21,10,2,0,1,0.0,0.556,0.0,0.556,20.5,-5.7,1,0.0,94.0,93.0,5.5,5,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,1.2,1.4,0.4,0.8,0.3362,0.0,0.0,21.12,72.4,105.6,2.34,1.02576
Tyrese Maxey,2021-01-02,18,9,2,2,1,0.0,0.5,0.5,0.563,21.8,-3.5,1,0.0,106.0,114.0,6.6,6,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,1.3333333333333333,1.5,0.5,0.8333333333333334,0.3635,0.0833333333333333,0.0,21.23333333333333,78.0,107.0,3.0500000000000003,1.04487
Tyrese Maxey,2021-01-04,21,11,2,2,1,0.0,0.4,0.667,0.527,20.5,0.7,0,1.0,115.0,101.0,7.8,7,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.285714285714286,1.4285714285714286,1.5714285714285714,0.5714285714285714,0.7142857142857143,0.3687142857142857,0.1667142857142857,0.1428571428571428,21.12857142857143,83.28571428571429,106.14285714285714,3.7285714285714286,1.22262
Tyrese Maxey,2021-01-06,11,2,2,1,0,0.0,1.0,0.0,1.0,3.9,-2.6,0,0.0,213.0,128.0,2.6,8,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.75,1.5,1.5,0.5,0.625,0.447625,0.145875,0.125,18.975,99.5,108.875,3.5875,1.09478
Tyrese Maxey,2021-01-07,21,16,3,2,1,1.0,0.583,0.5,0.667,23.8,12.0,0,0.0,128.0,109.0,14.4,9,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.888888888888889,1.6666666666666667,1.5555555555555556,0.5555555555555556,0.5555555555555556,0.4626666666666666,0.1852222222222222,0.1111111111111111,19.51111111111111,102.66666666666669,108.88888888888889,4.788888888888889,0.916796
Tyrese Maxey,2021-01-09,44,39,7,6,2,0.0,0.545,0.375,0.591,31.1,10.4,2,0.0,130.0,118.0,28.6,10,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1,2.2,2.0,0.7,0.7,0.4709,0.2042,0.1,20.67,105.4,109.8,7.17,1.12881
