Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_DAL,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Jalen Brunson,2020-12-23,18,12,2,4,0,0.0,0.625,0.0,0.676,29.2,2.2,3,1.0,108.0,109.0,8.0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,4.0,0.0,3.0,0.625,0.0,1.0,29.2,108.0,109.0,8.0,0.0
Jalen Brunson,2020-12-25,14,4,2,1,0,0.0,0.4,0.0,0.4,26.8,-23.9,3,0.0,53.0,144.0,-1.2,2,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,2.5,0.0,3.0,0.5125,0.0,0.5,28.0,80.5,126.5,3.4,1.08538
Jalen Brunson,2020-12-27,13,11,2,3,0,0.0,0.667,0.333,0.799,23.6,17.6,0,1.0,174.0,87.0,11.1,3,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,2.6666666666666665,0.0,2.0,0.5640000000000001,0.111,0.6666666666666666,26.53333333333333,111.66666666666669,113.33333333333331,5.966666666666666,1.10134
Jalen Brunson,2020-12-30,20,16,4,4,1,0.0,0.385,0.4,0.512,34.1,7.1,1,0.667,109.0,115.0,12.1,4,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.75,2.5,3.0,0.25,1.75,0.51925,0.18325,0.66675,28.425,111.0,113.75,7.5,0.976755
Jalen Brunson,2021-01-01,12,2,3,2,2,0.0,0.2,0.0,0.2,22.7,-1.3,1,0.0,50.0,72.0,1.8,5,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.6,2.8,0.6,1.6,0.4554,0.1466,0.5334,27.28,98.8,105.4,6.36,1.01432
Jalen Brunson,2021-01-03,38,31,5,7,1,0.0,0.647,0.429,0.789,26.1,11.9,4,1.0,136.0,118.0,26.9,6,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.666666666666666,3.0,3.5,0.6666666666666666,2.0,0.4873333333333334,0.1936666666666666,0.6111666666666666,27.08333333333333,105.0,107.5,9.783333333333331,1.13131
Jalen Brunson,2021-01-04,19,6,0,4,0,0.0,0.333,0.0,0.436,16.8,-2.3,0,1.0,124.0,112.0,5.0,7,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.714285714285714,2.571428571428572,3.571428571428572,0.5714285714285714,1.7142857142857142,0.4652857142857143,0.1659999999999999,0.6667142857142857,25.61428571428572,107.71428571428572,108.14285714285714,9.1,0.94047
Jalen Brunson,2021-01-07,19,7,2,3,0,0.0,0.4,0.333,0.595,19.7,-8.4,2,1.0,103.0,118.0,3.8,8,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.125,2.5,3.5,0.5,1.75,0.457125,0.186875,0.708375,24.875,107.125,109.375,8.4375,1.0831
Jalen Brunson,2021-01-09,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.88888888888889,2.2222222222222223,3.111111111111111,0.4444444444444444,1.5555555555555556,0.4063333333333333,0.1661111111111111,0.6296666666666666,22.11111111111111,95.22222222222224,97.22222222222224,7.5,1.33451
Jalen Brunson,2021-01-13,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,2.0,2.8,0.4,1.4,0.3657,0.1495,0.5667,19.9,85.7,87.5,6.75,0.931217
