Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_NYK,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Jalen Brunson,2023-10-25,33,15,3,6,3,0.0,0.286,0.375,0.35,29.4,0.3,2,0.0,85.0,110.0,7.6,1,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,6.0,3.0,2.0,0.286,0.375,0.0,29.4,85.0,110.0,7.6,0.0
Jalen Brunson,2023-10-27,33,31,3,5,0,0.0,0.524,0.667,0.708,29.6,8.1,2,0.5,130.0,123.0,22.3,2,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,5.5,1.5,2.0,0.405,0.521,0.25,29.5,107.5,116.5,14.95,1.08399
Jalen Brunson,2023-10-28,31,14,4,5,0,0.0,0.286,0.2,0.421,23.9,0.4,1,0.833,101.0,101.0,8.7,3,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3.333333333333333,5.333333333333333,1.0,1.6666666666666667,0.3653333333333333,0.414,0.4443333333333333,27.633333333333336,105.33333333333331,111.33333333333331,12.866666666666667,0.986016
Jalen Brunson,2023-10-31,34,19,5,2,2,0.0,0.438,0.333,0.522,29.8,-2.9,5,0.8,88.0,94.0,9.7,4,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.75,3.75,4.5,1.25,2.5,0.3835,0.39375,0.53325,28.175,101.0,107.0,12.075,1.23472
Jalen Brunson,2023-11-01,39,24,4,4,0,0.0,0.348,0.0,0.445,29.4,1.2,1,0.889,102.0,107.0,12.5,5,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6,3.8,4.4,1.0,2.2,0.3764,0.315,0.6044,28.42,101.2,107.0,12.16,1.09782
Jalen Brunson,2023-11-03,42,45,5,4,1,0.0,0.567,0.25,0.646,38.3,13.2,4,0.818,126.0,115.0,30.9,6,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.666666666666668,4.0,4.333333333333333,1.0,2.5,0.4081666666666666,0.3041666666666667,0.64,30.066666666666663,105.33333333333331,108.33333333333331,15.283333333333331,1.30195
Jalen Brunson,2023-11-06,35,7,3,6,3,0.0,0.167,0.333,0.272,20.0,-7.5,4,1.0,78.0,103.0,3.9,7,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.142857142857142,3.857142857142857,4.571428571428571,1.2857142857142858,2.7142857142857144,0.3737142857142857,0.3082857142857143,0.6914285714285714,28.628571428571423,101.42857142857144,107.57142857142856,13.657142857142857,1.15594
Jalen Brunson,2023-11-08,33,25,2,6,0,0.0,0.421,0.625,0.602,27.0,5.6,0,1.0,139.0,115.0,18.9,8,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.5,3.625,4.75,1.125,2.375,0.379625,0.347875,0.73,28.425,106.125,108.5,14.3125,1.38702
Jalen Brunson,2023-11-12,27,20,1,1,1,0.0,0.583,0.5,0.727,24.4,1.9,1,1.0,145.0,119.0,14.6,9,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22222222222222,3.333333333333333,4.333333333333333,1.1111111111111112,2.2222222222222223,0.4022222222222222,0.3647777777777778,0.76,27.97777777777777,110.44444444444444,109.66666666666669,14.344444444444443,1.11006
Jalen Brunson,2023-11-13,39,26,3,4,1,0.0,0.476,0.429,0.56,32.0,3.3,2,0.6,115.0,136.0,17.2,10,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6,3.3,4.3,1.1,2.2,0.4096,0.3712,0.744,28.380000000000003,110.9,112.3,14.63,0.936372
Jalen Brunson,2023-11-15,41,24,0,8,0,0.0,0.421,0.6,0.604,23.3,0.9,3,1.0,127.0,128.0,15.7,11,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,3.0,4.5,0.8,2.3,0.4231,0.3937,0.844,27.77,115.1,114.1,15.44,1.15788
Jalen Brunson,2023-11-17,34,32,7,7,0,0.0,0.435,0.6,0.624,33.1,13.7,0,1.0,155.0,112.0,27.3,12,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.6,3.4,4.7,0.8,2.1,0.4141999999999999,0.387,0.8939999999999999,28.12,117.6,113.0,15.939999999999998,1.23398
Jalen Brunson,2023-11-18,39,32,4,7,0,0.0,0.571,0.5,0.703,27.5,6.1,2,1.0,142.0,118.0,25.4,13,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.4,3.4,4.9,0.8,2.2,0.4427,0.417,0.9107,28.48,121.7,114.7,17.61,1.24626
Jalen Brunson,2023-11-20,36,25,4,6,0,0.0,0.467,0.5,0.675,22.2,9.4,1,1.0,147.0,125.0,20.9,14,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,3.3,5.3,0.6,1.8,0.4456,0.4337,0.9307,27.72,127.6,117.8,18.73,1.18372
Jalen Brunson,2023-11-24,34,24,3,3,0,0.0,0.625,0.25,0.659,26.5,3.8,2,0.6,120.0,108.0,16.6,15,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,3.2,5.2,0.6,1.9,0.4733,0.4587,0.9018,27.43,129.4,117.9,19.14,0.98147
Jalen Brunson,2023-11-26,38,35,6,8,3,1.0,0.6,0.5,0.676,33.0,16.9,2,0.0,138.0,122.0,29.8,16,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,3.3,5.6,0.8,1.7,0.4766,0.4836999999999999,0.82,26.9,130.6,118.6,19.03,0.94155
