Player,Date,TM,Home/Away,OPP,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc
Shai Gilgeous-Alexander,2023-10-25,OKC,@,CHI,36:01,31,5,10,1,2,.667,.400,.767,26.9,17.3,1,1.000,161,105,33.1
Shai Gilgeous-Alexander,2023-10-27,OKC,@,CLE,35:57,34,11,4,5,1,.577,1.000,.632,37.5,13.5,5,1.000,106,88,28.2
Shai Gilgeous-Alexander,2023-10-29,OKC,,DEN,28:19,7,4,7,1,0,.125,.000,.197,28.2,-10.4,0,.750,64,134,2.9
Shai Gilgeous-Alexander,2023-10-30,OKC,,DET,32:52,32,9,4,3,0,.478,.333,.593,42.3,0.9,5,1.000,109,103,23.4
Shai Gilgeous-Alexander,2023-11-01,OKC,,NOP,38:05,20,5,8,3,0,.400,.000,.450,27.0,3.7,2,.800,96,104,16.1
Shai Gilgeous-Alexander,2023-11-03,OKC,,GSW,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Shai Gilgeous-Alexander,2023-11-06,OKC,,ATL,37:27,30,8,6,1,0,.550,.429,.663,27.0,5.8,2,.833,133,113,24.0
Shai Gilgeous-Alexander,2023-11-08,OKC,,CLE,37:36,43,7,6,2,1,.682,.500,.776,34.6,15.8,3,.923,152,117,38.8
Shai Gilgeous-Alexander,2023-11-10,OKC,@,SAC,37:41,33,7,5,2,2,.560,.000,.597,34.3,13.1,2,.833,114,100,27.3
Shai Gilgeous-Alexander,2023-11-12,OKC,@,PHO,36:50,35,7,4,1,1,.591,.400,.686,34.6,11.4,1,.875,135,105,28.8
Shai Gilgeous-Alexander,2023-11-14,OKC,,SAS,28:04,28,6,5,7,0,.625,.250,.734,32.0,21.3,2,1.000,138,66,30.7
Shai Gilgeous-Alexander,2023-11-16,OKC,@,GSW,29:16,24,2,7,3,1,.286,.429,.481,40.5,2.0,2,1.000,111,108,17.7
Shai Gilgeous-Alexander,2023-11-18,OKC,@,GSW,40:41,40,7,6,2,2,.621,.667,.669,36.1,13.6,3,1.000,126,112,33.6
Shai Gilgeous-Alexander,2023-11-19,OKC,@,POR,22:31,28,3,4,1,0,.769,1.000,.871,39.0,11.7,3,1.000,156,97,23.8
Shai Gilgeous-Alexander,2023-11-22,OKC,,CHI,36:43,40,5,12,1,3,.579,.333,.743,36.5,24.8,2,.944,160,112,41.3
Shai Gilgeous-Alexander,2023-11-25,OKC,,PHI,36:11,31,6,5,2,0,.476,.500,.610,30.9,9.6,1,1.000,138,131,26.6
Shai Gilgeous-Alexander,2023-11-28,OKC,@,MIN,33:59,32,4,4,3,2,.591,.000,.649,36.1,16.6,3,1.000,119,103,26.8
Shai Gilgeous-Alexander,2023-11-30,OKC,,LAL,34:56,33,4,7,1,0,.611,.250,.737,27.8,10.7,0,1.000,161,114,30.3
Shai Gilgeous-Alexander,2023-12-02,OKC,@,DAL,38:33,17,3,9,5,1,.462,.667,.576,17.2,8.8,2,.750,133,112,19.6
Shai Gilgeous-Alexander,2023-12-06,OKC,@,HOU,36:58,33,3,6,6,1,.722,,.751,29.5,19.3,2,.778,139,102,33.0
Shai Gilgeous-Alexander,2023-12-08,OKC,,GSW,42:20,38,5,5,5,1,.500,.000,.545,35.5,8.7,0,.727,126,118,32.1
Shai Gilgeous-Alexander,2023-12-11,OKC,,UTA,27:57,30,4,7,3,0,.706,.000,.764,30.7,15.9,1,1.000,157,110,31.0
Shai Gilgeous-Alexander,2023-12-14,OKC,@,SAC,38:12,43,6,9,2,0,.481,.200,.616,37.6,14.1,3,.889,132,121,35.6
Shai Gilgeous-Alexander,2023-12-16,OKC,@,DEN,36:55,25,6,8,2,0,.450,.000,.531,31.0,4.4,2,.875,116,120,21.2
Shai Gilgeous-Alexander,2023-12-18,OKC,,MEM,28:24,30,9,5,4,0,.444,.333,.621,38.7,13.3,2,.929,125,81,26.8
Shai Gilgeous-Alexander,2023-12-21,OKC,,LAC,32:08,31,8,4,4,2,.440,.167,.535,42.3,4.4,1,.889,117,103,27.9
Shai Gilgeous-Alexander,2023-12-23,OKC,,LAL,38:15,34,5,7,3,0,.571,.200,.669,31.7,9.6,3,.900,132,127,29.7
Shai Gilgeous-Alexander,2023-12-26,OKC,,MIN,33:26,34,6,9,2,1,.737,.000,.770,36.4,11.6,3,.857,145,106,32.5
Shai Gilgeous-Alexander,2023-12-27,OKC,,NYK,36:22,36,7,8,2,2,.565,.400,.668,35.6,16.8,1,.889,141,115,35.2
Shai Gilgeous-Alexander,2023-12-29,OKC,@,DEN,33:23,40,4,3,2,1,.700,.667,.820,33.5,20.3,1,1.000,162,93,35.4
Shai Gilgeous-Alexander,2023-12-31,OKC,,BRK,34:46,24,4,6,0,0,.467,.500,.633,26.3,1.5,1,1.000,136,114,19.9
Shai Gilgeous-Alexander,2024-01-02,OKC,,BOS,36:38,36,6,7,1,0,.636,.600,.705,30.8,9.4,0,.625,151,127,30.7
Shai Gilgeous-Alexander,2024-01-03,OKC,@,ATL,35:24,33,13,8,0,0,.458,.667,.572,36.2,0.2,2,.818,125,133,26.9
Shai Gilgeous-Alexander,2024-01-05,OKC,@,BRK,35:44,34,9,6,0,0,.579,.400,.664,34.5,5.3,2,.667,131,125,26.4
Shai Gilgeous-Alexander,2024-01-08,OKC,@,WAS,35:42,32,6,5,3,1,.647,.667,.748,29.1,4.7,3,.800,139,122,28.1
Shai Gilgeous-Alexander,2024-01-10,OKC,@,MIA,34:10,28,2,8,1,1,.647,.400,.729,29.7,6.3,3,.800,132,119,23.8
Shai Gilgeous-Alexander,2024-01-11,OKC,,POR,21:07,31,5,4,0,1,.733,.333,.837,40.7,19.0,2,1.000,154,79,27.5
Shai Gilgeous-Alexander,2024-01-13,OKC,,ORL,35:57,37,6,7,3,1,.650,.000,.732,30.3,24.7,0,.917,161,98,38.2
Shai Gilgeous-Alexander,2024-01-15,OKC,@,LAL,34:18,24,3,6,1,1,.474,.167,.566,30.3,2.6,3,1.000,113,118,16.9
Shai Gilgeous-Alexander,2024-01-16,OKC,@,LAC,33:44,19,2,4,0,2,.375,.000,.487,29.5,-8.6,2,.875,107,142,11.4
Shai Gilgeous-Alexander,2024-01-18,OKC,@,UTA,34:41,31,6,6,1,1,.533,.000,.690,32.3,0.7,4,.882,131,125,25.4
Shai Gilgeous-Alexander,2024-01-20,OKC,@,MIN,37:10,33,2,6,2,0,.455,.500,.595,36.8,12.4,2,.923,121,107,26.4
Shai Gilgeous-Alexander,2024-01-23,OKC,,POR,35:05,33,6,10,5,0,.417,.000,.524,41.6,13.2,3,.765,115,100,29.0
Shai Gilgeous-Alexander,2024-01-24,OKC,@,SAS,29:28,32,6,10,2,1,.600,1.000,.789,33.5,16.1,4,1.000,155,110,32.2
