Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_MIN,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Karl-Anthony Towns,2022-10-19,36,12,6,7,0,0.0,0.2,0.286,0.475,17.3,-1.9,3,1.0,99.0,108.0,7.9,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,7.0,0.0,3.0,0.2,0.286,1.0,17.3,99.0,108.0,7.9,0.0
Karl-Anthony Towns,2022-10-21,33,27,8,2,0,0.0,0.36,0.333,0.473,38.9,-6.3,5,0.875,99.0,123.0,11.1,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.5,7.0,4.5,0.0,4.0,0.28,0.3095,0.9375,28.1,99.0,115.5,9.5,0.974794
Karl-Anthony Towns,2022-10-23,30,15,8,5,1,0.0,0.556,0.333,0.697,19.3,3.3,3,1.0,125.0,105.0,14.2,3,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,7.333333333333333,4.666666666666667,0.3333333333333333,3.6666666666666665,0.372,0.3173333333333333,0.9583333333333334,25.166666666666668,107.66666666666669,112.0,11.066666666666668,1.12624
Karl-Anthony Towns,2022-10-24,39,27,11,5,0,0.0,0.529,0.333,0.672,26.1,1.5,4,1.0,119.0,111.0,19.9,4,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.25,8.25,4.75,0.25,3.75,0.41125,0.32125,0.96875,25.4,110.5,111.75,13.275,1.07458
Karl-Anthony Towns,2022-10-26,38,21,4,7,2,1.0,0.643,0.6,0.75,21.0,2.0,3,0.0,128.0,119.0,19.4,5,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.4,7.4,5.2,0.6,3.6,0.4576,0.377,0.775,24.52,114.0,113.2,14.5,0.992626
Karl-Anthony Towns,2022-10-28,37,21,8,7,1,0.0,0.471,0.429,0.587,21.6,5.4,2,1.0,121.0,101.0,19.0,6,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,7.5,5.5,0.6666666666666666,3.333333333333333,0.4598333333333333,0.3856666666666666,0.8125,24.03333333333333,115.16666666666669,111.16666666666669,15.25,1.05478
Karl-Anthony Towns,2022-10-30,34,26,11,4,1,2.0,0.526,0.143,0.577,30.1,8.4,3,0.625,113.0,105.0,21.0,7,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.285714285714285,8.0,5.285714285714286,0.7142857142857143,3.2857142857142856,0.4692857142857143,0.351,0.7857142857142857,24.9,114.85714285714286,110.28571428571428,16.071428571428573,1.1237
Karl-Anthony Towns,2022-11-01,37,24,10,7,0,1.0,0.5,0.429,0.621,26.7,7.8,4,1.0,122.0,121.0,20.0,8,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.625,8.25,5.5,0.625,3.375,0.473125,0.36075,0.8125,25.125,115.75,111.625,16.5625,1.10324
Karl-Anthony Towns,2022-11-04,37,22,11,5,0,0.0,0.474,0.333,0.566,24.0,5.0,2,1.0,112.0,112.0,15.5,9,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.666666666666668,8.555555555555555,5.444444444444445,0.5555555555555556,3.2222222222222223,0.4732222222222222,0.3576666666666666,0.8333333333333334,25.0,115.33333333333331,111.66666666666669,16.444444444444443,0.868631
Karl-Anthony Towns,2022-11-05,30,25,9,6,1,2.0,0.643,0.5,0.772,27.0,9.2,3,0.8,143.0,110.0,23.9,10,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,8.6,5.5,0.6,3.2,0.4902,0.3719,0.8300000000000001,25.2,118.1,111.5,17.19,1.09
