Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_SAS,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Victor Wembanyama,2024-10-24,28,17,9,1,0,1.0,0.278,0.125,0.412,36.0,-11.5,4,1.0,80.0,117.0,6.9,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,1.0,0.0,4.0,0.278,0.125,1.0,36.0,80.0,117.0,6.9,0.0
Victor Wembanyama,2024-10-26,30,29,7,1,0,3.0,0.588,0.4,0.707,34.5,8.0,3,0.875,126.0,105.0,21.8,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,8.0,1.0,0.0,3.5,0.433,0.2625,0.9375,35.25,103.0,111.0,14.35,0.963426
Victor Wembanyama,2024-10-28,35,14,20,5,0,4.0,0.429,0.2,0.47,22.7,3.7,4,0.5,98.0,101.0,15.3,3,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,12.0,2.333333333333333,0.0,3.6666666666666665,0.4316666666666666,0.2416666666666667,0.7916666666666666,31.066666666666663,101.33333333333331,107.66666666666669,14.666666666666666,1.25812
Victor Wembanyama,2024-10-30,27,6,8,2,0,3.0,0.2,0.0,0.444,16.8,-4.8,4,1.0,72.0,100.0,5.2,4,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,11.0,2.25,0.0,3.75,0.37375,0.18125,0.84375,27.5,94.0,105.75,12.3,0.985899
Victor Wembanyama,2024-10-31,34,25,9,7,5,5.0,0.45,0.308,0.586,30.8,20.8,3,1.0,115.0,72.0,27.3,5,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.2,10.6,3.2,1.0,3.6,0.389,0.2065999999999999,0.875,28.160000000000004,98.2,99.0,15.3,1.11715
Victor Wembanyama,2024-11-02,31,17,6,3,1,2.0,0.467,0.143,0.535,28.3,-3.6,3,1.0,98.0,103.0,11.4,6,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,9.833333333333334,3.1666666666666665,1.0,3.5,0.4019999999999999,0.1959999999999999,0.8958333333333334,28.183333333333334,98.16666666666669,99.66666666666669,14.65,1.13545
Victor Wembanyama,2024-11-04,34,24,13,3,3,9.0,0.409,0.222,0.505,33.5,12.1,2,1.0,109.0,97.0,25.1,7,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.857142857142858,10.285714285714286,3.142857142857143,1.2857142857142858,3.2857142857142856,0.403,0.1997142857142857,0.9107142857142856,28.942857142857143,99.71428571428572,99.28571428571428,16.142857142857142,1.02252
Victor Wembanyama,2024-11-06,25,15,6,0,1,3.0,0.429,0.167,0.504,33.4,-5.8,4,1.0,80.0,117.0,8.9,8,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.375,9.75,2.75,1.25,3.375,0.40625,0.195625,0.921875,29.5,97.25,101.5,15.2375,1.01292
Victor Wembanyama,2024-11-07,32,12,8,2,4,3.0,0.308,0.333,0.419,25.7,-4.6,4,0.667,81.0,97.0,10.8,9,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.666666666666668,9.555555555555555,2.6666666666666665,1.5555555555555556,3.4444444444444446,0.3953333333333333,0.2108888888888889,0.8935555555555555,29.077777777777776,95.44444444444444,101.0,14.744444444444444,1.03093
Victor Wembanyama,2024-11-09,33,24,16,0,0,7.0,0.533,0.667,0.756,28.3,6.3,6,1.0,97.0,93.0,20.4,10,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.3,10.2,2.4,1.4,3.7,0.4091,0.2565,0.9042,29.0,95.6,100.2,15.31,1.24368
