Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_SAC,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Domantas Sabonis,38,24,8,1,2,1.0,0.615,0.75,0.726,24.2,2.5,4,0.625,113.0,110.0,17.5,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,8.0,1.0,2.0,4.0,0.615,0.75,0.625,24.2,113.0,110.0,17.5,1.09616,0,2024,10,24,3,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
Domantas Sabonis,37,29,12,10,1,1.0,0.714,0.333,0.807,23.1,14.2,2,0.889,162.0,122.0,33.1,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5,10.0,5.5,1.5,3.0,0.6645,0.5415,0.757,23.65,137.5,116.0,25.3,1.14511,1,2024,10,26,5,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
Domantas Sabonis,36,16,13,7,0,0.0,0.625,0.5,0.752,16.9,4.8,3,0.833,136.0,99.0,17.0,3,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,11.0,6.0,1.0,3.0,0.6513333333333333,0.5276666666666666,0.7823333333333333,21.4,137.0,110.33333333333331,22.53333333333333,1.01179,2,2024,10,28,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
Domantas Sabonis,34,28,11,4,0,0.0,0.722,0.5,0.742,28.0,6.9,3,0.5,132.0,102.0,23.3,4,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.25,11.0,5.5,0.75,3.0,0.669,0.52075,0.71175,23.05,135.75,108.25,22.725,1.04837,3,2024,10,29,1,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
Domantas Sabonis,33,15,14,6,0,0.0,0.455,0.0,0.568,20.2,-2.0,3,1.0,117.0,113.0,13.5,5,0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.4,11.6,5.6,0.6,3.0,0.6262,0.4166,0.7694,22.48,132.0,109.2,20.880000000000003,1.20992,4,2024,11,1,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Domantas Sabonis,43,17,20,10,1,0.0,0.5,0.0,0.629,15.5,5.0,3,0.875,138.0,115.0,23.4,6,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21.5,13.0,6.333333333333333,0.6666666666666666,3.0,0.6051666666666667,0.3471666666666667,0.7869999999999999,21.316666666666663,133.0,110.16666666666669,21.3,1.20377,5,2024,11,2,5,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
Domantas Sabonis,38,16,16,7,0,0.0,0.5,0.5,0.621,18.9,4.2,3,1.0,125.0,113.0,16.3,7,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.714285714285715,13.428571428571429,6.428571428571429,0.5714285714285714,3.0,0.5901428571428572,0.369,0.8174285714285714,20.97142857142857,131.85714285714286,110.57142857142856,20.585714285714285,0.927262,6,2024,11,4,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
Domantas Sabonis,34,17,11,13,1,0.0,1.0,0.0,1.037,10.3,24.8,0,1.0,219.0,112.0,30.2,8,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.25,13.125,7.25,0.625,2.625,0.641375,0.322875,0.8402499999999999,19.6375,142.75,110.75,21.7875,1.12245,7,2024,11,6,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Domantas Sabonis,38,23,12,6,1,0.0,0.75,0.0,0.786,20.7,11.5,2,0.833,143.0,103.0,23.0,9,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.55555555555556,13.0,7.111111111111111,0.6666666666666666,2.555555555555556,0.6534444444444445,0.287,0.8394444444444444,19.75555555555556,142.77777777777777,109.88888888888889,21.922222222222224,1.06493,8,2024,11,8,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Domantas Sabonis,39,20,12,5,0,0.0,0.643,0.0,0.653,23.2,-2.7,6,0.667,107.0,107.0,13.7,10,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.5,12.9,6.9,0.6,2.9,0.6524,0.2583,0.8221999999999999,20.1,139.2,109.6,21.1,1.21505,9,2024,11,10,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
