Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_SAS,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
DeMar DeRozan,2020-12-23,35,28,9,9,1,1.0,0.5,0.0,0.68,25.2,10.7,1,0.933,150.0,111.0,30.7,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,9.0,9.0,1.0,1.0,0.5,0.0,0.933,25.2,150.0,111.0,30.7,0.0
DeMar DeRozan,2020-12-26,36,27,5,8,2,0.0,0.588,0.75,0.703,22.7,10.7,2,0.8,139.0,108.0,25.4,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.5,7.0,8.5,1.5,1.5,0.544,0.375,0.8665,23.95,144.5,109.5,28.05,1.04052
DeMar DeRozan,2020-12-27,31,8,3,10,0,1.0,0.25,0.0,0.311,21.4,-5.8,2,1.0,82.0,103.0,5.4,3,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,5.666666666666667,9.0,1.0,1.6666666666666667,0.446,0.25,0.911,23.1,123.66666666666669,107.33333333333331,20.5,1.10668
DeMar DeRozan,2020-12-30,36,23,5,6,1,1.0,0.583,1.0,0.701,22.9,5.5,2,0.8,133.0,121.0,21.2,4,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,5.5,8.25,1.0,1.75,0.4802499999999999,0.4375,0.8832500000000001,23.05,126.0,110.75,20.675,1.11286
DeMar DeRozan,2021-01-01,37,23,9,7,0,1.0,0.5,0.75,0.632,21.8,10.1,0,0.8,139.0,108.0,22.5,5,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8,6.2,8.0,0.8,1.4,0.4841999999999999,0.5,0.8666,22.8,128.6,110.2,21.04,1.05198
DeMar DeRozan,2021-01-03,27,19,5,4,2,0.0,0.529,0.0,0.531,29.4,0.4,2,0.5,101.0,120.0,13.4,6,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.33333333333333,6.0,7.333333333333333,1.0,1.5,0.4916666666666667,0.4166666666666667,0.8055,23.9,124.0,111.83333333333331,19.766666666666666,1.04685
DeMar DeRozan,2021-01-05,29,6,5,6,0,1.0,0.333,0.0,0.333,16.7,-9.6,2,0.0,90.0,119.0,4.5,7,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.142857142857142,5.857142857142857,7.142857142857143,0.8571428571428571,1.5714285714285714,0.469,0.3571428571428571,0.6904285714285715,22.87142857142857,119.14285714285714,112.85714285714286,17.585714285714285,1.13033
DeMar DeRozan,2021-01-07,36,19,4,8,2,1.0,0.385,0.333,0.575,20.8,7.8,0,0.875,134.0,107.0,20.6,8,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.125,5.625,7.25,1.0,1.375,0.4585,0.354125,0.7135,22.6125,121.0,112.125,17.9625,0.913605
DeMar DeRozan,2021-01-09,44,38,5,5,0,0.0,0.565,0.0,0.662,30.0,6.0,1,0.923,140.0,121.0,30.7,9,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.22222222222222,5.555555555555555,7.0,0.8888888888888888,1.3333333333333333,0.4703333333333332,0.3147777777777778,0.7367777777777778,23.433333333333334,123.11111111111111,113.11111111111111,19.37777777777778,1.22951
DeMar DeRozan,2021-01-10,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1,5.0,6.3,0.8,1.2,0.4232999999999999,0.2833,0.6631,21.09,110.8,101.8,17.44,1.14233
