Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_BRK,TM_PHI,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
James Harden,34,14,8,5,1,1.0,0.364,0.429,0.568,21.2,-1.0,4,1.0,93.0,115.0,10.7,11,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,7.7,8.6,1.0,4.6,0.4057,0.4034,0.9092,26.37,106.2,102.9,15.2,1.16758,10,2021,11,8,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
James Harden,30,17,11,11,2,0.0,0.545,0.25,0.644,27.5,7.2,6,0.8,112.0,79.0,18.3,12,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,8.1,8.9,1.0,4.7,0.419,0.3855,0.9142,26.43,107.3,99.6,15.470000000000002,0.985222,11,2021,11,10,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
James Harden,38,39,5,12,1,1.0,0.611,0.6,0.793,36.5,15.0,6,0.733,138.0,118.0,33.6,13,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,7.9,9.3,1.0,4.5,0.4426,0.4205,0.8875,26.84,113.3,100.2,18.19,1.03127,12,2021,11,12,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
James Harden,36,16,6,13,3,0.0,0.385,0.125,0.526,26.9,1.5,6,1.0,108.0,96.0,16.8,14,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4,7.9,9.7,1.2,4.9,0.4516999999999999,0.4205,0.8875,26.630000000000003,115.1,101.1,18.68,0.99903,13,2021,11,14,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
James Harden,32,24,4,4,0,0.0,0.462,0.333,0.673,31.0,0.2,5,0.909,109.0,122.0,14.7,15,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4,7.6,9.4,1.1,5.0,0.4646,0.4163,0.8784000000000001,27.53,116.7,103.0,19.08,1.01642,14,2021,11,16,1,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336
James Harden,37,27,10,7,2,1.0,0.5,0.5,0.781,28.8,10.3,6,1.0,122.0,95.0,25.2,16,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2,7.8,9.3,1.2,5.2,0.4691000000000001,0.4163,0.8942,27.55,115.2,103.0,18.83,1.01502,15,2021,11,17,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
James Harden,41,36,10,8,3,2.0,0.28,0.231,0.533,41.2,4.3,6,0.95,110.0,108.0,26.7,17,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,7.8,8.9,1.5,5.3,0.4304,0.3823,0.9225,29.12,112.7,104.2,19.49,0.950303,16,2021,11,19,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
James Harden,38,14,6,14,3,0.0,0.5,0.0,0.595,18.8,4.6,5,1.0,112.0,108.0,18.2,18,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8,8.0,9.2,1.7,5.5,0.4447,0.3368,0.9225,28.81,112.4,103.9,19.81,1.10993,17,2021,11,22,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
James Harden,36,20,7,11,2,0.0,0.308,0.444,0.59,24.7,6.7,3,0.889,128.0,106.0,19.7,19,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,7.7,9.3,1.7,4.9,0.4455,0.3212,0.9114,28.61,117.3,106.1,20.85,0.847358,18,2021,11,24,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
James Harden,40,12,13,14,1,2.0,0.267,0.0,0.358,25.3,-1.9,7,1.0,85.0,108.0,11.8,20,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.9,8.0,9.9,1.8,5.4,0.4222,0.2912,0.9281,28.19,111.7,105.5,19.57,0.967943,19,2021,11,27,5,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
