Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_LAC,TM_PHI,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
James Harden,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2023,10,26,3,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
James Harden,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.923726,1,2023,10,28,5,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
James Harden,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03461,2,2023,10,29,6,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
James Harden,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01428,3,2023,11,1,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
James Harden,31,17,3,6,1,0.0,0.667,0.5,0.824,18.5,8.5,2,1.0,147.0,120.0,16.4,5,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.6,1.2,0.2,0.4,0.1334,0.1,0.2,3.7,29.4,24.0,3.28,1.07226,4,2023,11,6,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
James Harden,36,12,8,5,2,0.0,0.444,0.4,0.607,17.8,-2.5,5,1.0,88.0,102.0,10.2,6,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.833333333333333,1.8333333333333333,1.8333333333333333,0.5,1.1666666666666667,0.1851666666666666,0.15,0.3333333333333333,6.05,39.16666666666666,37.0,4.433333333333333,1.23106,5,2023,11,8,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
James Harden,29,14,5,3,2,0.0,0.5,0.667,0.81,14.9,4.5,2,1.0,148.0,141.0,14.6,7,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.142857142857143,2.2857142857142856,2.0,0.7142857142857143,1.2857142857142858,0.2301428571428571,0.2238571428571429,0.4285714285714285,7.314285714285715,54.71428571428572,51.85714285714285,5.885714285714285,1.16755,6,2023,11,10,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
James Harden,29,11,4,3,1,1.0,0.333,0.143,0.427,21.3,-1.0,1,1.0,98.0,108.0,9.0,8,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.75,2.5,2.125,0.75,1.25,0.243,0.21375,0.5,9.0625,60.125,58.875,6.275,1.22735,7,2023,11,12,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
James Harden,35,21,2,4,0,0.0,0.467,0.375,0.626,22.6,1.3,1,1.0,135.0,127.0,14.5,9,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333334,2.4444444444444446,2.333333333333333,0.6666666666666666,1.2222222222222223,0.2678888888888889,0.2316666666666666,0.5555555555555556,10.566666666666666,68.44444444444444,66.44444444444444,7.188888888888889,1.10068,8,2023,11,14,1,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336
James Harden,34,24,9,7,0,1.0,0.727,0.5,0.852,22.0,11.8,3,0.857,148.0,104.0,24.4,10,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,3.1,2.8,0.6,1.4,0.3137999999999999,0.2585,0.5857,11.71,76.4,70.2,8.91,1.06982,9,2023,11,17,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
