Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_LAC,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
James Harden,40,29,12,8,1,0.0,0.357,0.222,0.454,41.8,-2.6,8,0.778,87.0,105.0,14.8,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,12.0,8.0,1.0,8.0,0.357,0.222,0.778,41.8,87.0,105.0,14.8,0.0,0,2024,10,23,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
James Harden,38,23,6,16,1,1.0,0.455,0.2,0.688,27.9,8.6,7,0.923,124.0,109.0,22.6,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,9.0,12.0,1.0,7.5,0.406,0.211,0.8505,34.849999999999994,105.5,107.0,18.700000000000003,0.974445,1,2024,10,26,5,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
James Harden,36,23,7,11,0,0.0,0.316,0.167,0.501,31.9,1.5,5,1.0,107.0,107.0,16.9,3,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,8.333333333333334,11.666666666666666,0.6666666666666666,6.666666666666667,0.376,0.1963333333333333,0.9003333333333333,33.86666666666667,106.0,107.0,18.1,0.791897,2,2024,10,27,6,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
James Harden,32,19,5,10,3,0.0,0.333,0.455,0.481,33.5,4.5,5,0.5,96.0,105.0,13.7,4,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23.5,7.5,11.25,1.25,6.25,0.36525,0.261,0.80025,33.775,103.5,106.5,17.0,1.09292,3,2024,10,30,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
James Harden,36,25,10,13,2,2.0,0.421,0.3,0.566,32.5,7.4,6,0.857,112.0,121.0,23.2,5,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8,8.0,11.6,1.4,6.2,0.3764,0.2688,0.8116,33.52,105.2,109.4,18.24,1.03935,4,2024,10,31,3,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
James Harden,32,12,13,7,3,3.0,0.308,0.222,0.432,20.9,9.7,2,1.0,95.0,90.0,15.6,6,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.83333333333333,8.833333333333334,10.833333333333334,1.6666666666666667,5.5,0.365,0.261,0.843,31.416666666666668,103.5,106.16666666666669,17.8,1.09222,5,2024,11,2,5,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
James Harden,33,17,8,4,1,3.0,0.6,0.6,0.723,18.3,8.8,2,0.5,136.0,108.0,17.5,7,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.142857142857142,8.714285714285714,9.857142857142858,1.5714285714285714,5.0,0.3985714285714286,0.3094285714285714,0.7939999999999999,29.54285714285714,108.14285714285714,106.42857142857144,17.757142857142856,1.0533,6,2024,11,4,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
James Harden,34,18,4,6,3,1.0,0.333,0.167,0.475,35.5,-6.8,6,0.778,90.0,103.0,11.4,8,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.75,8.125,9.375,1.75,5.125,0.390375,0.291625,0.792,30.2875,105.875,106.0,16.9625,1.17471,7,2024,11,6,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
James Harden,35,22,4,8,2,0.0,0.313,0.5,0.551,33.4,1.6,7,1.0,101.0,99.0,13.8,9,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.88888888888889,7.666666666666667,9.22222222222222,1.7777777777777777,5.333333333333333,0.3817777777777777,0.3147777777777778,0.8151111111111111,30.633333333333333,105.33333333333331,105.22222222222224,16.61111111111111,1.07362,8,2024,11,8,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
James Harden,34,24,12,7,1,0.0,0.294,0.25,0.528,36.1,1.7,4,0.923,107.0,102.0,18.8,10,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21.2,8.1,9.0,1.7,5.2,0.373,0.3083,0.8259000000000001,31.18,105.5,104.9,16.830000000000002,1.22413,9,2024,11,9,5,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
