Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_BRK,TM_HOU,OPP_ATL,OPP_BOS,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
James Harden,43,44,4,17,1,0.0,0.571,0.462,0.785,34.6,19.0,5,0.875,149.0,122.0,42.4,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,44.0,4.0,17.0,1.0,5.0,0.571,0.462,0.875,34.6,149.0,122.0,42.4,1.18753,0,2020,12,26,5,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146
James Harden,31,34,6,8,1,0.0,0.625,0.556,0.852,34.2,15.0,5,1.0,139.0,119.0,29.4,2,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,5.0,12.5,1.0,5.0,0.598,0.509,0.9375,34.400000000000006,144.0,120.5,35.9,1.23391,1,2020,12,28,0,-2.4492935982947064e-16,1.0,0.0,1.0
James Harden,38,33,6,8,1,1.0,0.417,0.364,0.572,38.0,-1.1,6,0.818,111.0,117.0,22.5,3,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,37.0,5.333333333333333,11.0,1.0,5.333333333333333,0.5376666666666666,0.4606666666666667,0.8976666666666667,35.6,133.0,119.33333333333331,31.433333333333334,1.11138,2,2020,12,31,3,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419
James Harden,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,27.75,4.0,8.25,0.75,4.0,0.40325,0.3455,0.67325,26.700000000000003,99.75,89.5,23.575,1.13872,3,2021,1,2,5,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
James Harden,38,21,3,10,2,0.0,0.294,0.273,0.491,27.9,5.3,2,0.8,108.0,119.0,17.8,5,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.4,3.8,8.6,1.0,3.6,0.3814,0.331,0.6986,26.94,101.4,95.4,22.42,1.12878,4,2021,1,4,0,0.49999999999999994,0.8660254037844387,0.0,1.0
James Harden,39,15,4,12,1,2.0,0.357,0.2,0.476,22.5,-0.1,4,1.0,100.0,115.0,14.4,6,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,3.8333333333333335,9.166666666666666,1.0,3.6666666666666665,0.3773333333333333,0.3091666666666666,0.7488333333333334,26.2,101.16666666666669,98.66666666666669,21.08333333333333,1.04235,5,2021,1,6,2,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
James Harden,31,15,5,13,0,1.0,0.462,0.333,0.577,22.4,3.5,2,0.0,135.0,97.0,16.8,7,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.142857142857142,4.0,9.714285714285714,0.8571428571428571,3.4285714285714284,0.3894285714285714,0.3125714285714286,0.6418571428571429,25.65714285714285,106.0,98.42857142857144,20.47142857142857,0.979677,6,2021,1,8,4,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
James Harden,38,20,6,9,0,2.0,0.5,0.25,0.617,24.3,0.8,7,0.8,100.0,116.0,14.7,8,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.75,4.25,9.625,0.75,3.875,0.40325,0.30475,0.661625,25.4875,105.25,100.625,19.75,1.14728,7,2021,1,10,6,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
James Harden,31,16,7,6,1,0.0,0.313,0.167,0.44,28.1,-4.4,3,1.0,91.0,115.0,10.7,9,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4.555555555555555,9.22222222222222,0.7777777777777778,3.7777777777777777,0.3932222222222222,0.2894444444444444,0.6992222222222222,25.77777777777778,103.66666666666669,102.22222222222224,18.744444444444444,0.934387,8,2021,1,12,1,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
James Harden,40,32,12,14,4,1.0,0.444,0.3,0.65,37.5,7.2,9,0.867,116.0,103.0,30.1,10,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,5.3,9.7,1.1,4.3,0.3983,0.2905,0.716,26.95,104.9,102.3,19.880000000000003,1.21286,9,2021,1,16,5,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
