Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_PHI,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
James Harden,37,35,8,7,0,0.0,0.643,0.556,0.908,27.0,14.5,3,1.0,165.0,132.0,31.9,1,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,8.0,7.0,0.0,3.0,0.643,0.556,1.0,27.0,165.0,132.0,31.9,0.0,0,2022,10,18,1,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
James Harden,40,31,8,9,2,1.0,0.542,0.143,0.602,33.5,16.0,2,1.0,120.0,93.0,28.0,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,8.0,8.0,1.0,2.5,0.5925,0.3495,1.0,30.25,142.5,112.5,29.95,0.0,1,2022,10,20,3,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
James Harden,40,12,9,12,1,2.0,0.222,0.167,0.304,23.9,-2.8,2,0.75,97.0,120.0,12.5,3,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,8.333333333333334,9.333333333333334,1.0,2.333333333333333,0.469,0.2886666666666667,0.9166666666666666,28.133333333333336,127.33333333333331,115.0,24.133333333333336,1.17364,2,2022,10,22,5,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
James Harden,35,29,9,11,2,0.0,0.556,0.5,0.734,29.0,16.8,1,1.0,156.0,107.0,31.0,4,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.75,8.5,9.75,1.25,2.0,0.49075,0.3415,0.9375,28.35,134.5,113.0,25.85,1.0867,3,2022,10,24,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
James Harden,36,18,7,9,0,1.0,0.417,0.5,0.615,23.9,0.7,3,0.833,119.0,129.0,16.5,5,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,8.2,9.6,1.0,2.2,0.476,0.3732,0.9166,27.46,131.4,116.2,23.98,0.912201,4,2022,10,26,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
James Harden,34,11,4,4,0,2.0,0.444,0.0,0.533,21.6,-8.3,5,1.0,88.0,102.0,6.3,6,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22.666666666666668,7.5,8.666666666666666,0.8333333333333334,2.6666666666666665,0.4706666666666666,0.311,0.9305,26.48333333333333,124.16666666666669,113.83333333333331,21.03333333333333,1.14331,5,2022,10,28,4,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
James Harden,36,15,6,11,2,0.0,0.154,0.0,0.42,25.8,-1.8,3,1.0,106.0,109.0,15.2,7,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.571428571428573,7.285714285714286,9.0,1.0,2.7142857142857144,0.4254285714285714,0.2665714285714285,0.9404285714285716,26.385714285714283,121.57142857142856,113.14285714285714,20.2,1.16901,6,2022,10,29,5,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
James Harden,38,23,7,17,2,0.0,0.471,0.333,0.586,28.8,6.8,4,0.833,124.0,114.0,25.1,8,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.75,7.25,10.0,1.125,2.875,0.431125,0.274875,0.927,26.6875,121.875,113.25,20.8125,1.12506,7,2022,10,31,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
James Harden,35,24,5,10,1,0.0,0.444,0.375,0.581,32.1,3.9,3,0.833,119.0,130.0,19.9,9,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,7.0,10.0,1.1111111111111112,2.888888888888889,0.4325555555555556,0.286,0.9165555555555556,27.288888888888888,121.55555555555556,115.11111111111111,20.711111111111112,1.16342,8,2022,11,2,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
James Harden,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8,6.3,9.0,1.0,2.6,0.3893,0.2573999999999999,0.8249000000000001,24.56,109.4,103.6,18.64,1.06111,9,2022,11,4,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
