Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_CLE,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Evan Mobley,34,10,6,1,0,2.0,0.455,0.0,0.455,14.5,-7.3,0,0.0,101.0,118.0,7.4,1,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,1.0,0.0,0.0,0.455,0.0,0.0,14.5,101.0,118.0,7.4,0.0,0,2023,10,25,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Evan Mobley,34,14,15,3,0,2.0,0.417,0.0,0.478,20.5,-1.4,2,0.667,98.0,101.0,12.0,2,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.5,2.0,0.0,1.0,0.436,0.0,0.3335,17.5,99.5,109.5,9.7,1.01911,1,2023,10,27,4,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
Evan Mobley,33,33,14,3,0,3.0,0.545,1.0,0.625,35.5,9.3,2,0.8,130.0,122.0,28.4,3,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,11.666666666666666,2.333333333333333,0.0,1.3333333333333333,0.4723333333333333,0.3333333333333333,0.489,23.5,109.66666666666669,113.66666666666669,15.933333333333332,1.05506,2,2023,10,28,5,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
Evan Mobley,29,6,12,5,0,2.0,0.333,0.0,0.333,16.2,0.8,2,0.0,89.0,110.0,9.0,4,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.75,11.75,3.0,0.0,1.5,0.4375,0.25,0.36675,21.675,104.5,112.75,14.2,0.935901,3,2023,10,31,1,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
Evan Mobley,35,14,8,5,2,2.0,0.5,0.0,0.526,20.7,7.5,2,0.667,108.0,88.0,14.9,5,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,11.0,3.4,0.4,1.6,0.45,0.2,0.4268,21.48,105.2,107.8,14.34,0.91653,4,2023,11,1,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Evan Mobley,36,14,10,5,3,4.0,0.538,0.0,0.538,18.6,5.3,2,0.0,108.0,106.0,18.0,6,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.166666666666666,10.833333333333334,3.6666666666666665,0.8333333333333334,1.6666666666666667,0.4646666666666667,0.1666666666666666,0.3556666666666667,21.0,105.66666666666669,107.5,14.949999999999998,1.42202,5,2023,11,3,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Evan Mobley,29,13,16,2,0,1.0,0.6,0.0,0.553,24.5,-4.4,5,0.25,91.0,97.0,9.5,7,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.857142857142858,11.571428571428571,3.4285714285714284,0.7142857142857143,2.142857142857143,0.484,0.1428571428571428,0.3405714285714286,21.5,103.57142857142856,106.0,14.171428571428567,1.27816,6,2023,11,5,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
Evan Mobley,33,22,5,1,1,1.0,0.563,0.0,0.619,23.2,1.5,1,1.0,127.0,128.0,17.3,8,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.75,10.75,3.125,0.75,2.0,0.493875,0.125,0.423,21.7125,106.5,108.75,14.5625,1.09282,7,2023,11,8,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Evan Mobley,31,19,5,2,1,1.0,0.6,0.0,0.726,20.3,2.7,2,1.0,133.0,108.0,15.8,9,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.11111111111111,10.11111111111111,3.0,0.7777777777777778,2.0,0.5056666666666667,0.1111111111111111,0.4871111111111111,21.55555555555556,109.44444444444444,108.66666666666669,14.7,1.10883,8,2023,11,11,5,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
Evan Mobley,30,16,12,2,1,0.0,0.571,0.0,0.571,24.8,-4.1,3,0.0,118.0,138.0,13.6,10,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.1,10.3,2.9,0.8,2.1,0.5122,0.1,0.4384,21.880000000000003,110.3,111.6,14.59,0.93971,9,2023,11,13,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
