Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_DAL,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Luka Doncic,2023-10-25,34,33,13,10,2,0.0,0.52,0.273,0.588,37.1,12.2,4,0.571,119.0,105.0,28.4,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,13.0,10.0,2.0,4.0,0.52,0.273,0.571,37.1,119.0,105.0,28.4,0.0
Luka Doncic,2023-10-27,36,49,10,7,0,0.0,0.64,0.643,0.833,34.9,29.1,0,0.8,173.0,120.0,45.0,2,1,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,11.5,8.5,1.0,2.0,0.5800000000000001,0.458,0.6855,36.0,146.0,112.5,36.7,1.13376
Luka Doncic,2023-10-30,40,35,12,12,1,1.0,0.5,0.5,0.663,35.5,7.8,6,0.7,124.0,104.0,28.9,3,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,11.666666666666666,9.666666666666666,1.0,3.333333333333333,0.5533333333333333,0.472,0.6903333333333332,35.833333333333336,138.66666666666666,109.66666666666669,34.1,1.06742
Luka Doncic,2023-11-01,40,18,7,10,2,1.0,0.313,0.125,0.451,29.3,-4.0,6,0.778,97.0,109.0,13.0,4,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.75,10.5,9.75,1.25,4.0,0.49325,0.38525,0.71225,34.2,128.25,109.5,28.825,0.997151
Luka Doncic,2023-11-03,38,34,10,8,0,1.0,0.458,0.545,0.628,41.7,0.8,9,0.857,106.0,131.0,21.9,5,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.8,10.4,9.4,1.0,5.0,0.4862,0.4172,0.7412,35.7,123.8,113.8,27.44,1.06499
Luka Doncic,2023-11-05,36,23,12,9,0,1.0,0.421,0.111,0.521,29.9,-1.0,4,0.857,107.0,112.0,18.3,6,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,10.666666666666666,9.333333333333334,0.8333333333333334,4.833333333333333,0.4753333333333333,0.3661666666666667,0.7605,34.733333333333334,121.0,113.5,25.916666666666668,1.21257
Luka Doncic,2023-11-06,35,29,3,6,2,0.0,0.529,0.5,0.738,32.3,8.1,6,1.0,118.0,101.0,21.0,7,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.571428571428573,9.571428571428571,8.857142857142858,1.0,5.0,0.483,0.3852857142857143,0.7947142857142857,34.385714285714286,120.57142857142856,111.71428571428572,25.214285714285715,0.971154
Luka Doncic,2023-11-08,38,31,7,8,4,1.0,0.423,0.2,0.51,38.2,3.8,4,0.7,103.0,112.0,23.2,8,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.5,9.25,8.75,1.375,4.875,0.4755,0.362125,0.782875,34.8625,118.375,111.75,24.9625,1.04729
Luka Doncic,2023-11-10,32,44,6,6,1,0.0,0.81,0.667,0.967,30.7,29.4,1,1.0,189.0,125.0,41.7,9,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.888888888888886,8.88888888888889,8.444444444444445,1.3333333333333333,4.444444444444445,0.5126666666666666,0.396,0.8069999999999999,34.400000000000006,126.22222222222224,113.22222222222224,26.822222222222223,0.998253
Luka Doncic,2023-11-12,28,30,4,9,1,0.0,0.611,0.444,0.743,32.5,16.8,2,0.8,145.0,118.0,27.9,10,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.6,8.4,8.5,1.3,4.2,0.5225,0.4008,0.8063,34.21,128.1,113.7,26.93,1.02741
