Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,PTS_rolling_avg,TM_ATL,TM_BOS,TM_BRK,TM_CHI,TM_CHO,TM_CLE,TM_DAL,TM_DEN,TM_DET,TM_GSW,TM_HOU,TM_IND,TM_LAC,TM_LAL,TM_MEM,TM_MIA,TM_MIL,TM_MIN,TM_NOP,TM_NYK,TM_OKC,TM_ORL,TM_PHI,TM_PHO,TM_POR,TM_SAC,TM_SAS,TM_TOR,TM_UTA,TM_WAS,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Devin Booker,41,28,4,9,0,1.0,0.5,1.0,0.607,27.8,8.6,2,1.0,126.0,113.0,23.4,1,1,0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,2.0,0.5,1.0,1.0,27.8,126.0,113.0,23.4,0.0,0,2022,10,19,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Devin Booker,44,33,5,3,1,0.0,0.478,0.429,0.612,29.3,5.5,2,0.889,117.0,114.0,23.1,2,0,0,30.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.5,6.0,0.5,2.0,0.489,0.7145,0.9445,28.55,121.5,113.5,23.25,1.03004,1,2022,10,21,4,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
Devin Booker,35,35,1,4,1,0.0,0.619,0.556,0.769,32.2,15.8,3,1.0,136.0,105.0,26.6,3,0,0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333333333333333,5.333333333333333,0.6666666666666666,2.333333333333333,0.5323333333333333,0.6616666666666667,0.963,29.76666666666667,126.33333333333331,110.66666666666669,24.366666666666664,1.09109,2,2022,10,23,6,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
Devin Booker,35,34,2,7,3,0.0,0.526,0.375,0.676,31.9,13.2,3,0.786,136.0,104.0,28.2,4,1,0,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.75,1.25,2.5,0.53075,0.5900000000000001,0.91875,30.3,128.75,109.0,25.325,1.10632,3,2022,10,25,1,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
Devin Booker,33,16,5,4,0,0.0,0.429,0.0,0.508,27.1,-12.0,5,1.0,91.0,121.0,7.5,5,1,0,29.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,5.4,1.0,3.0,0.5104,0.4720000000000001,0.935,29.660000000000004,121.2,111.4,21.76,1.17491,4,2022,10,28,4,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
Devin Booker,35,30,3,6,1,0.0,0.583,0.143,0.592,33.0,3.5,1,0.333,124.0,122.0,22.7,6,1,0,29.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333333333333333,5.5,1.0,2.6666666666666665,0.5225,0.4171666666666667,0.8346666666666667,30.21666666666667,121.66666666666669,113.16666666666669,21.916666666666668,1.17661,5,2022,10,30,6,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
Devin Booker,30,18,7,5,0,1.0,0.333,0.286,0.446,32.5,-6.2,2,0.8,96.0,112.0,10.1,7,1,0,27.714285714285715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.857142857142857,5.428571428571429,0.8571428571428571,2.571428571428572,0.4954285714285714,0.3984285714285714,0.8297142857142857,30.542857142857144,118.0,113.0,20.228571428571428,1.03195,6,2022,11,1,1,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336
Devin Booker,38,25,5,5,1,1.0,0.381,0.429,0.529,32.8,-2.4,5,1.0,99.0,115.0,14.0,8,1,0,27.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.375,0.875,2.875,0.481125,0.40225,0.851,30.825,115.625,113.25,19.45,1.07676,7,2022,11,4,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Devin Booker,29,24,3,3,1,2.0,0.45,0.286,0.551,34.6,9.7,1,1.0,116.0,88.0,17.6,9,1,0,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.888888888888889,5.111111111111111,0.8888888888888888,2.6666666666666665,0.4776666666666667,0.3893333333333333,0.8675555555555555,31.244444444444444,115.66666666666669,110.44444444444444,19.244444444444444,1.08108,8,2022,11,5,5,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
Devin Booker,43,28,7,5,1,0.0,0.5,1.0,0.632,32.6,2.8,6,0.786,107.0,115.0,19.4,10,0,0,27.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,5.1,0.9,3.0,0.4799,0.4503999999999999,0.8593999999999999,31.380000000000003,114.8,110.9,19.26,0.986965,9,2022,11,7,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
