Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_SAS,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Victor Wembanyama,23,15,5,2,2,1.0,0.667,0.6,0.794,25.3,0.2,5,0.0,87.0,110.0,9.3,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,2.0,2.0,5.0,0.667,0.6,0.0,25.3,87.0,110.0,9.3,0.0,0,2023,10,25,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Victor Wembanyama,31,21,12,1,3,3.0,0.368,0.0,0.466,36.5,-3.6,4,0.875,95.0,98.0,16.7,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,8.5,1.5,2.5,4.5,0.5175000000000001,0.3,0.4375,30.9,91.0,104.0,13.0,1.17796,1,2023,10,27,4,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
Victor Wembanyama,26,11,5,2,1,1.0,0.4,0.0,0.435,28.8,-8.8,5,0.5,67.0,117.0,4.0,3,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.666666666666666,7.333333333333333,1.6666666666666667,2.0,4.666666666666667,0.4783333333333333,0.1999999999999999,0.4583333333333333,30.2,83.0,108.33333333333331,10.0,1.17791,2,2023,10,29,6,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
Victor Wembanyama,28,18,8,1,0,4.0,0.5,0.333,0.634,29.0,-3.5,5,0.8,99.0,108.0,12.5,4,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.25,7.5,1.5,1.5,4.75,0.48375,0.23325,0.54375,29.9,87.0,108.25,10.625,1.01986,3,2023,10,31,1,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
Victor Wembanyama,34,38,10,2,1,2.0,0.577,0.5,0.663,38.3,5.2,2,0.833,127.0,118.0,29.8,5,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.6,8.0,1.6,1.4,4.2,0.5024,0.2866,0.6016,31.579999999999995,95.0,110.2,14.46,1.10246,4,2023,11,2,3,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419
Victor Wembanyama,38,20,9,4,1,5.0,0.438,0.286,0.549,23.8,4.6,2,0.8,112.0,108.0,19.6,6,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.5,8.166666666666666,2.0,1.3333333333333333,3.8333333333333335,0.4916666666666667,0.2865,0.6346666666666666,30.28333333333333,97.83333333333331,109.83333333333331,15.316666666666668,1.13489,5,2023,11,5,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
Victor Wembanyama,21,13,10,0,1,2.0,0.25,0.4,0.444,31.7,-6.1,2,0.833,86.0,131.0,8.8,7,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.428571428571427,8.428571428571429,1.7142857142857142,1.2857142857142858,3.571428571428572,0.4571428571428572,0.3027142857142856,0.663,30.485714285714284,96.14285714285714,112.85714285714286,14.385714285714286,1.22234,6,2023,11,6,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
Victor Wembanyama,30,14,9,2,0,1.0,0.286,0.0,0.421,28.7,-10.9,3,1.0,91.0,132.0,8.4,8,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,8.5,1.75,1.125,3.5,0.4357499999999999,0.2648749999999999,0.705125,30.2625,95.5,115.25,13.6375,0.999227,7,2023,11,8,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Victor Wembanyama,35,29,9,4,1,4.0,0.571,0.429,0.637,31.0,8.4,3,0.5,111.0,107.0,23.0,9,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.88888888888889,8.555555555555555,2.0,1.1111111111111112,3.4444444444444446,0.4507777777777778,0.2831111111111111,0.6823333333333333,30.34444444444444,97.22222222222224,114.33333333333331,14.677777777777775,0.949025,8,2023,11,10,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Victor Wembanyama,34,18,11,7,1,1.0,0.364,0.222,0.409,35.7,-8.8,7,0.0,78.0,117.0,7.9,10,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7,8.8,2.5,1.1,3.8,0.4421,0.277,0.6141,30.880000000000003,95.3,114.6,14.0,1.05607,9,2023,11,12,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
