Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_IND,TM_SAC,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Domantas Sabonis,2021-10-20,39,33,15,2,0,0.0,0.684,0.667,0.795,28.0,2.3,6,0.75,117.0,113.0,24.0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,15.0,2.0,0.0,6.0,0.684,0.667,0.75,28.0,117.0,113.0,24.0,0.0
Domantas Sabonis,2021-10-22,43,28,9,7,0,1.0,0.769,0.5,0.847,20.5,8.1,3,0.75,151.0,130.0,26.6,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.5,12.0,4.5,0.0,4.5,0.7265,0.5835,0.75,24.25,134.0,121.5,25.3,0.769231
Domantas Sabonis,2021-10-23,43,17,12,4,4,0.0,0.471,0.0,0.475,21.3,4.6,3,0.5,97.0,80.0,15.7,3,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,12.0,4.333333333333333,1.3333333333333333,4.0,0.6413333333333333,0.389,0.6666666666666666,23.266666666666666,121.66666666666669,107.66666666666669,22.1,0.869565
Domantas Sabonis,2021-10-25,37,21,13,5,1,0.0,0.615,0.0,0.671,20.5,5.3,3,0.833,126.0,114.0,19.7,4,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.75,12.25,4.5,1.25,3.75,0.63475,0.29175,0.70825,22.575,122.75,109.25,21.5,1.04079
Domantas Sabonis,2021-10-27,34,9,8,3,2,1.0,0.75,0.0,0.781,12.8,-0.6,4,0.75,109.0,117.0,10.6,5,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21.6,11.4,4.2,1.4,3.8,0.6578,0.2334,0.7166,20.62,120.0,110.8,19.32,1.1215
Domantas Sabonis,2021-10-29,35,16,7,6,3,1.0,0.5,0.25,0.538,21.2,6.9,3,0.5,103.0,98.0,15.2,6,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.666666666666668,10.666666666666666,4.5,1.6666666666666667,3.6666666666666665,0.6315000000000001,0.2361666666666666,0.6805,20.716666666666665,117.16666666666669,108.66666666666669,18.633333333333333,1.00952
Domantas Sabonis,2021-10-30,40,22,14,2,3,0.0,0.444,0.143,0.533,25.7,1.7,2,0.833,111.0,96.0,19.2,7,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.857142857142858,11.142857142857142,4.142857142857143,1.8571428571428568,3.4285714285714284,0.6047142857142856,0.2228571428571428,0.7022857142857143,21.428571428571427,116.28571428571428,106.85714285714286,18.714285714285715,1.11766
Domantas Sabonis,2021-11-01,36,24,13,6,1,0.0,0.733,0.0,0.756,20.6,6.6,1,1.0,161.0,118.0,26.8,8,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.25,11.375,4.375,1.75,3.125,0.62075,0.195,0.7395,21.325,121.875,108.25,19.725,0.857143
Domantas Sabonis,2021-11-03,34,10,7,3,0,0.0,0.5,0.0,0.536,17.3,-10.4,4,0.667,91.0,109.0,4.2,9,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.88888888888889,4.222222222222222,1.5555555555555556,3.2222222222222223,0.6073333333333334,0.1733333333333333,0.7314444444444445,20.87777777777778,118.44444444444444,108.33333333333331,18.0,1.13539
Domantas Sabonis,2021-11-05,36,15,12,4,0,0.0,0.583,0.0,0.545,25.8,-10.7,6,0.25,81.0,118.0,7.4,10,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.5,11.0,4.2,1.4,3.5,0.6049,0.156,0.6833,21.37,114.7,109.3,16.94,1.10523
Domantas Sabonis,2021-11-07,29,17,10,1,3,0.0,0.538,0.0,0.594,25.7,3.6,3,1.0,112.0,89.0,13.6,11,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.9,10.5,4.1,1.7,3.2,0.5902999999999999,0.0893,0.7083,21.14,114.2,106.9,15.9,1.051
Domantas Sabonis,2021-11-10,33,20,19,2,1,1.0,0.643,0.5,0.693,25.1,5.2,3,1.0,123.0,102.0,20.0,12,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1,11.5,3.6,1.8,3.2,0.5776999999999999,0.0893,0.7333000000000001,21.6,111.4,104.1,15.24,0.973261
Domantas Sabonis,2021-11-11,31,6,7,5,1,1.0,0.2,0.0,0.255,18.4,-6.9,2,0.5,80.0,103.0,3.1,13,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,11.0,3.7,1.5,3.1,0.5506,0.0893,0.7333000000000001,21.31,109.7,106.4,13.98,1.01898
Domantas Sabonis,2021-11-13,30,18,12,5,0,0.0,0.727,0.667,0.818,18.4,7.8,1,0.0,162.0,117.0,20.0,14,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7,10.9,3.7,1.4,2.9,0.5618000000000001,0.156,0.65,21.1,113.3,106.7,14.01,1.14943
Domantas Sabonis,2021-11-15,40,21,15,3,1,0.0,0.533,0.75,0.61,21.7,9.6,1,0.4,125.0,102.0,20.3,15,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9,11.6,3.7,1.3,2.6,0.5401,0.231,0.615,21.99,114.9,105.2,14.98,0.990712
Domantas Sabonis,2021-11-17,35,15,11,1,0,1.0,0.571,0.0,0.658,21.4,-1.4,5,0.7,100.0,102.0,11.4,16,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,12.0,3.2,1.0,2.8,0.5472,0.206,0.635,22.01,114.6,105.6,14.6,1.21526
