Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_IND,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Domantas Sabonis,2020-12-23,37,32,13,5,1,0.0,0.611,0.5,0.687,29.7,8.7,4,0.667,126.0,103.0,26.2,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,13.0,5.0,1.0,4.0,0.611,0.5,0.667,29.7,126.0,103.0,26.2,0.0
Domantas Sabonis,2020-12-26,34,22,10,11,1,0.0,0.727,0.0,0.694,25.1,5.8,5,0.545,122.0,101.0,20.2,2,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,11.5,8.0,1.0,4.5,0.669,0.25,0.6060000000000001,27.4,124.0,102.0,23.2,1.13722
Domantas Sabonis,2020-12-27,41,19,10,5,0,1.0,0.444,0.5,0.492,24.9,-2.7,4,0.333,93.0,111.0,12.0,3,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.33333333333333,11.0,7.0,0.6666666666666666,4.333333333333333,0.594,0.3333333333333333,0.515,26.566666666666663,113.66666666666669,105.0,19.466666666666665,1.23154
Domantas Sabonis,2020-12-29,37,14,11,8,2,1.0,0.417,0.5,0.509,19.6,4.3,2,0.75,114.0,113.0,16.4,4,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.75,11.0,7.25,1.0,3.75,0.54975,0.375,0.57375,24.825,113.75,107.0,18.7,1.05097
Domantas Sabonis,2020-12-31,37,25,11,7,0,0.0,0.714,1.0,0.816,19.0,12.3,1,1.0,166.0,103.0,26.4,5,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.4,11.0,7.2,0.8,3.2,0.5826,0.5,0.659,23.66,124.2,106.2,20.24,0.952739
Domantas Sabonis,2021-01-02,39,13,13,4,2,0.0,0.5,1.0,0.666,16.9,-1.2,4,1.0,116.0,109.0,13.3,6,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.83333333333333,11.333333333333334,6.666666666666667,1.0,3.333333333333333,0.5688333333333333,0.5833333333333334,0.7158333333333333,22.53333333333333,122.83333333333331,106.66666666666669,19.08333333333333,0.96864
Domantas Sabonis,2021-01-04,35,19,11,7,0,2.0,0.563,0.333,0.594,28.2,-0.6,5,0.0,100.0,104.0,14.0,7,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.571428571428573,11.285714285714286,6.714285714285714,0.8571428571428571,3.571428571428572,0.568,0.5475714285714286,0.6135714285714285,23.342857142857145,119.57142857142856,106.28571428571428,18.357142857142858,1.12539
Domantas Sabonis,2021-01-06,38,22,12,4,0,1.0,0.643,0.0,0.661,24.9,-1.3,5,0.667,111.0,110.0,16.7,8,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.75,11.375,6.375,0.75,3.75,0.577375,0.479125,0.62025,23.5375,118.5,106.75,18.15,1.13797
Domantas Sabonis,2021-01-09,41,28,22,4,0,0.0,0.5,0.0,0.509,31.4,-1.8,3,0.5,111.0,128.0,21.6,9,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55555555555556,12.555555555555555,6.111111111111111,0.6666666666666666,3.6666666666666665,0.5687777777777777,0.4258888888888889,0.6068888888888888,24.41111111111111,117.66666666666669,109.11111111111111,18.53333333333333,1.0048
Domantas Sabonis,2021-01-11,40,28,11,3,0,0.0,0.571,0.0,0.615,26.8,-3.7,3,1.0,118.0,128.0,20.1,10,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.2,12.4,5.8,0.6,3.6,0.569,0.3833,0.6462,24.65,117.7,111.0,18.69,1.15447
