Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_TOR,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Scottie Barnes,2021-10-20,33,12,9,1,1,0.0,0.385,0.0,0.419,23.9,-9.0,6,0.667,67.0,96.0,2.1,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,9.0,1.0,1.0,6.0,0.385,0.0,0.667,23.9,67.0,96.0,2.1,0.0
Scottie Barnes,2021-10-22,35,25,13,2,0,0.0,0.647,0.5,0.699,21.2,10.3,1,1.0,151.0,91.0,23.8,2,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,11.0,1.5,0.5,3.5,0.516,0.25,0.8335,22.55,109.0,93.5,12.95,1.05849
Scottie Barnes,2021-10-23,30,17,8,2,0,0.0,0.5,0.0,0.564,22.9,2.4,0,0.714,132.0,116.0,13.6,3,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,10.0,1.6666666666666667,0.3333333333333333,2.333333333333333,0.5106666666666667,0.1666666666666666,0.7936666666666667,22.666666666666668,116.66666666666669,101.0,13.166666666666666,1.07902
Scottie Barnes,2021-10-25,39,13,4,0,1,1.0,0.75,0.0,0.732,16.5,-7.2,6,0.5,77.0,116.0,5.9,4,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.75,8.5,1.25,0.5,3.25,0.5705,0.125,0.7202500000000001,21.125,106.75,104.75,11.35,0.780395
Scottie Barnes,2021-10-27,36,18,7,7,0,2.0,0.471,0.0,0.503,22.3,0.7,2,1.0,120.0,110.0,15.7,5,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.2,2.4,0.4,3.0,0.5506,0.1,0.7762,21.36,109.4,105.8,12.22,1.1237
Scottie Barnes,2021-10-29,37,21,9,1,2,1.0,0.643,0.5,0.706,20.2,5.6,1,1.0,139.0,111.0,20.3,6,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.666666666666668,8.333333333333334,2.1666666666666665,0.6666666666666666,2.6666666666666665,0.566,0.1666666666666666,0.8135,21.166666666666668,114.33333333333331,106.66666666666669,13.566666666666668,1.16181
Scottie Barnes,2021-10-30,35,21,12,1,1,0.0,0.529,0.0,0.535,25.4,3.0,1,0.5,112.0,95.0,15.8,7,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.142857142857142,8.857142857142858,2.0,0.7142857142857143,2.4285714285714284,0.5607142857142857,0.1428571428571428,0.7687142857142858,21.77142857142857,114.0,105.0,13.885714285714286,0.998099
Scottie Barnes,2021-11-01,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.875,7.75,1.75,0.625,2.125,0.490625,0.125,0.672625,19.05,99.75,91.875,12.15,1.15115
Scottie Barnes,2021-11-03,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.11111111111111,6.888888888888889,1.5555555555555556,0.5555555555555556,1.8888888888888888,0.4361111111111111,0.1111111111111111,0.5978888888888889,16.933333333333334,88.66666666666667,81.66666666666667,10.8,1.22043
Scottie Barnes,2021-11-05,38,14,9,4,1,2.0,0.368,0.0,0.368,21.2,-0.7,0,0.0,112.0,115.0,13.4,10,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,7.1,1.8,0.6,1.7,0.4293,0.1,0.5381,17.36,91.0,85.0,11.06,1.07424
