Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,PTS_rolling_avg,TM_ATL,TM_BOS,TM_BRK,TM_CHI,TM_CHO,TM_CLE,TM_DAL,TM_DEN,TM_DET,TM_GSW,TM_HOU,TM_IND,TM_LAC,TM_LAL,TM_MEM,TM_MIA,TM_MIL,TM_MIN,TM_NOP,TM_NYK,TM_OKC,TM_ORL,TM_PHI,TM_PHO,TM_POR,TM_SAC,TM_SAS,TM_TOR,TM_UTA,TM_WAS,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Bam Adebayo,2021-10-21,23,20,13,1,1,0.0,0.692,0.0,0.658,31.3,4.0,3,0.4,116.0,86.0,16.3,1,1,1,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,3.0,0.692,0.0,0.4,31.3,116.0,86.0,16.3,0.983568
Bam Adebayo,2021-10-23,39,17,16,3,1,1.0,0.4,0.0,0.482,25.6,0.9,5,0.833,85.0,87.0,11.3,2,0,1,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,2.0,1.0,4.0,0.546,0.0,0.6165,28.450000000000003,100.5,86.5,13.8,1.24124
Bam Adebayo,2021-10-25,29,16,13,2,1,0.0,0.444,0.0,0.639,19.6,7.7,0,1.0,149.0,92.0,18.4,3,1,1,17.666666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,1.0,2.6666666666666665,0.512,0.0,0.7443333333333334,25.5,116.66666666666669,88.33333333333333,15.333333333333334,0.967329
Bam Adebayo,2021-10-27,30,24,9,0,0,0.0,0.471,0.0,0.573,30.1,3.6,2,0.889,114.0,95.0,14.8,4,0,1,19.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.75,1.5,0.75,2.5,0.50175,0.0,0.7805,26.65,116.0,90.0,15.2,0.854802
Bam Adebayo,2021-10-29,36,26,19,2,2,1.0,0.625,0.0,0.697,27.3,8.8,5,1.0,121.0,90.0,24.4,5,1,1,20.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.6,1.0,3.0,0.5264,0.0,0.8244,26.78,117.0,90.0,17.04,1.07467
Bam Adebayo,2021-10-30,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6,0,1,17.166666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.666666666666666,1.3333333333333333,0.8333333333333334,2.5,0.4386666666666666,0.0,0.6869999999999999,22.316666666666663,97.5,75.0,14.2,0.90441
Bam Adebayo,2021-11-02,33,22,13,1,0,2.0,0.444,0.0,0.522,33.1,-5.0,2,0.857,109.0,114.0,16.2,7,0,1,17.857142857142858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.857142857142858,1.2857142857142858,0.7142857142857143,2.4285714285714284,0.4394285714285714,0.0,0.7112857142857143,23.857142857142858,99.14285714285714,80.57142857142857,14.485714285714286,0.985075
Bam Adebayo,2021-11-04,30,13,7,4,2,0.0,0.5,0.0,0.611,23.5,4.7,5,0.833,93.0,98.0,10.1,8,1,1,17.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25,1.625,0.875,2.75,0.447,0.0,0.7264999999999999,23.8125,98.375,82.75,13.9375,0.817065
Bam Adebayo,2021-11-06,36,17,6,6,1,0.0,0.583,0.0,0.618,25.3,-2.0,5,0.75,108.0,127.0,12.2,9,1,1,17.22222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.666666666666666,2.111111111111111,0.8888888888888888,3.0,0.4621111111111111,0.0,0.729111111111111,23.97777777777777,99.44444444444444,87.66666666666667,13.744444444444444,0.983565
Bam Adebayo,2021-11-08,31,10,10,2,1,0.0,0.3,0.0,0.396,22.2,-5.9,2,0.667,76.0,112.0,6.0,10,0,1,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,2.1,0.9,2.9,0.4458999999999999,0.0,0.7229,23.8,97.1,90.1,12.97,0.966705
Bam Adebayo,2021-11-10,34,28,10,4,6,0.0,0.45,0.0,0.564,36.3,8.7,4,0.909,107.0,92.0,23.4,11,0,1,17.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,2.4,1.4,3.0,0.4216999999999999,0.0,0.7737999999999999,24.3,96.2,90.7,13.68,1.06528
