Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,PTS_rolling_avg,TM_ATL,TM_BOS,TM_BRK,TM_CHI,TM_CHO,TM_CLE,TM_DAL,TM_DEN,TM_DET,TM_GSW,TM_HOU,TM_IND,TM_LAC,TM_LAL,TM_MEM,TM_MIA,TM_MIL,TM_MIN,TM_NOP,TM_NYK,TM_OKC,TM_ORL,TM_PHI,TM_PHO,TM_POR,TM_SAC,TM_SAS,TM_TOR,TM_UTA,TM_WAS,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Bam Adebayo,2024-10-23,26,9,5,1,0,0.0,0.2,0.0,0.479,16.7,-6.3,0,0.7,121.0,127.0,7.7,1,1,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.2,0.0,0.7,16.7,121.0,127.0,7.7,0.0
Bam Adebayo,2024-10-26,33,12,11,3,1,1.0,0.353,0.0,0.344,24.2,-7.6,1,0.0,90.0,105.0,9.4,2,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.5,0.5,0.2764999999999999,0.0,0.35,20.45,105.5,116.0,8.55,1.17495
Bam Adebayo,2024-10-28,35,12,10,4,3,3.0,0.556,0.0,0.558,14.9,6.4,1,0.5,119.0,91.0,16.8,3,1,0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.666666666666666,2.6666666666666665,1.3333333333333333,0.6666666666666666,0.3696666666666666,0.0,0.3999999999999999,18.6,110.0,107.66666666666669,11.3,1.20564
Bam Adebayo,2024-10-30,33,11,3,4,1,0.0,0.429,0.0,0.571,15.3,-2.5,1,0.833,126.0,127.0,9.8,4,1,0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25,3.0,1.25,0.75,0.3845,0.0,0.50825,17.775,114.0,112.5,10.925,1.10028
Bam Adebayo,2024-11-02,31,32,14,2,1,1.0,0.5,0.6,0.601,33.9,13.4,1,0.833,136.0,91.0,26.7,5,0,0,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.6,2.8,1.2,0.8,0.4075999999999999,0.12,0.5731999999999999,21.0,118.4,108.2,14.080000000000002,1.09165
Bam Adebayo,2024-11-04,36,16,8,5,3,4.0,0.467,0.0,0.465,21.0,7.2,0,0.4,117.0,107.0,19.6,6,1,0,15.333333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.5,3.1666666666666665,1.5,0.6666666666666666,0.4175,0.0999999999999999,0.5443333333333333,21.0,118.16666666666669,108.0,15.0,1.11525
Bam Adebayo,2024-11-06,34,12,12,6,5,1.0,0.238,0.0,0.274,28.8,-2.4,1,1.0,90.0,107.0,13.8,7,0,0,14.857142857142858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.571428571428572,2.0,0.7142857142857143,0.3918571428571428,0.0857142857142857,0.6094285714285714,22.11428571428572,114.14285714285714,107.85714285714286,14.828571428571427,1.1548
Bam Adebayo,2024-11-08,39,20,9,4,2,0.0,0.389,0.2,0.484,25.8,-8.0,3,0.833,100.0,132.0,13.9,8,0,0,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.625,2.0,1.0,0.3915,0.1,0.637375,22.575,112.375,110.875,14.7125,1.10108
Bam Adebayo,2024-11-10,39,9,7,7,1,3.0,0.273,0.0,0.33,19.8,-2.7,4,0.5,73.0,96.0,6.6,9,0,0,14.77777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.777777777777779,4.0,1.8888888888888888,1.3333333333333333,0.3783333333333333,0.0888888888888888,0.6221111111111112,22.266666666666666,108.0,109.22222222222224,13.81111111111111,0.922868
Bam Adebayo,2024-11-12,44,20,12,3,0,1.0,0.615,1.0,0.658,16.6,0.5,1,0.6,143.0,122.0,20.7,10,0,0,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,3.9,1.7,1.3,0.4019999999999999,0.18,0.6199,21.7,111.5,110.5,14.5,1.00335
Bam Adebayo,2024-11-15,39,30,11,7,5,0.0,0.588,0.667,0.716,26.6,12.5,2,0.889,141.0,101.0,32.5,11,0,0,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,4.5,2.2,1.5,0.4407999999999999,0.2467,0.6388,22.69,113.5,107.9,16.98,0.951056
Bam Adebayo,2024-11-17,40,24,8,2,0,0.0,0.5,0.5,0.594,24.5,-0.9,2,0.8,127.0,135.0,18.4,12,0,0,18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,4.4,2.1,1.6,0.4554999999999999,0.2967,0.7188,22.72,117.2,110.9,17.880000000000003,1.1972
Bam Adebayo,2024-11-18,32,5,13,3,2,1.0,0.25,0.5,0.313,14.9,-5.0,3,0.0,57.0,82.0,4.3,13,1,1,17.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,4.3,2.0,1.8,0.4248999999999999,0.3467,0.6688,22.72,111.0,110.0,16.63,1.03471
Bam Adebayo,2024-11-24,38,19,11,5,0,0.0,0.4,0.5,0.475,24.3,0.2,2,0.0,102.0,107.0,13.4,14,1,1,18.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,4.4,1.9,1.9,0.422,0.3967,0.5855,23.62,108.6,108.0,16.990000000000002,1.15053
Bam Adebayo,2024-11-26,31,16,5,5,1,0.0,0.667,0.5,0.743,18.3,5.6,1,0.75,146.0,122.0,15.1,15,1,0,17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,4.7,1.9,1.9,0.4387,0.3867,0.5772,22.06,109.6,111.1,15.829999999999998,1.12623
Bam Adebayo,2024-11-27,36,8,10,10,2,0.0,0.375,0.0,0.45,15.1,4.9,3,1.0,108.0,91.0,12.6,16,0,0,16.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,5.2,1.8,2.2,0.4295,0.3867,0.6372,21.47,108.7,109.5,15.13,0.97386
Bam Adebayo,2024-11-29,35,14,10,10,3,0.0,0.375,0.333,0.426,21.7,6.0,1,0.0,114.0,106.0,16.8,17,1,0,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.6,5.6,1.6,2.2,0.4431999999999999,0.42,0.5372,20.76,111.1,109.4,15.429999999999998,0.876119
Bam Adebayo,2024-12-01,39,13,20,7,1,0.0,0.385,0.5,0.468,20.5,-3.5,5,1.0,96.0,114.0,13.2,18,0,0,15.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.7,5.9,1.5,2.4,0.4428000000000001,0.45,0.5539,20.23,110.7,107.6,15.359999999999996,1.20909
Bam Adebayo,2024-12-02,33,15,8,5,1,0.0,0.333,0.25,0.397,29.4,-2.6,3,1.0,81.0,112.0,9.1,19,0,0,16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,5.7,1.5,2.3,0.4488,0.475,0.6039,21.19,111.5,109.2,15.61,1.10101
Bam Adebayo,2024-12-04,25,14,10,7,1,1.0,0.75,0.0,0.751,20.1,10.7,2,0.667,147.0,89.0,17.6,20,1,0,15.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,6.1,1.6,2.4,0.4623,0.375,0.6106,21.54,111.9,105.9,15.3,1.12502
Bam Adebayo,2024-12-07,34,25,12,8,1,0.0,0.563,0.25,0.64,30.5,5.9,4,0.75,127.0,117.0,23.2,21,1,0,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,6.2,1.2,2.6,0.4598,0.3333,0.5967,21.93,110.5,107.5,14.37,1.18742
Bam Adebayo,2024-12-08,36,16,13,6,0,1.0,0.5,0.5,0.571,18.3,4.9,1,0.0,126.0,115.0,16.4,22,1,1,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,6.6,1.2,2.5,0.4598,0.3333,0.5166999999999999,21.31,110.4,105.5,14.169999999999998,1.07694
Bam Adebayo,2024-12-12,35,21,16,5,0,1.0,0.471,0.333,0.535,25.2,5.5,1,0.667,123.0,99.0,19.9,23,1,0,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.5,6.8,1.0,2.3,0.4819,0.3166,0.5833999999999999,22.34,117.0,107.2,15.73,1.17555
Bam Adebayo,2024-12-16,41,15,8,3,1,0.0,0.5,0.333,0.582,14.7,-2.2,1,1.0,116.0,115.0,13.5,24,0,0,15.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,6.6,1.1,2.2,0.4919,0.2999,0.6834,21.38,118.4,108.0,15.74,1.20633
Bam Adebayo,2024-12-20,36,17,10,1,1,1.0,0.636,0.0,0.623,23.7,-2.5,6,0.5,89.0,106.0,10.7,25,1,0,15.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,6.2,1.1,2.7,0.4888,0.2499,0.6584,21.92,112.7,106.4,15.3,0.992606
Bam Adebayo,2024-12-21,34,24,6,0,2,0.0,0.533,0.0,0.592,31.3,-4.7,4,0.667,102.0,119.0,14.5,26,0,0,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,5.2,1.1,2.8,0.5045999999999999,0.2499,0.6251,23.54,112.1,109.2,15.489999999999998,1.05276
