Player,Date,TM,Home/Away,OPP,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc
Jrue Holiday,2023-10-25,BOS,@,NYK,34:47,9,4,2,0,3,.400,.200,.450,16.3,-2.7,2,,92,116,5.9
Jrue Holiday,2023-10-27,BOS,,MIA,36:27,17,10,7,0,1,.538,.250,.612,16.6,7.2,1,1.000,143,113,18.3
Jrue Holiday,2023-10-30,BOS,@,WAS,26:42,11,5,3,1,2,.571,.333,.698,13.1,5.6,1,1.000,144,104,12.7
Jrue Holiday,2023-11-01,BOS,,IND,25:26,15,7,4,0,1,.667,.750,.833,16.0,12.4,1,,163,98,15.7
Jrue Holiday,2023-11-04,BOS,@,BRK,40:22,18,9,10,0,1,.400,.444,.567,19.9,5.9,3,1.000,127,118,18.5
Jrue Holiday,2023-11-06,BOS,@,MIN,41:36,12,11,6,1,0,.250,.000,.322,22.4,-4.5,3,.667,79,106,7.1
Jrue Holiday,2023-11-08,BOS,@,PHI,34:45,12,5,5,1,0,.444,.667,.607,14.7,2.1,2,1.000,113,110,11.3
Jrue Holiday,2023-11-10,BOS,,BRK,32:50,13,12,9,2,0,.429,.200,.464,18.1,7.8,0,,137,108,17.9
Jrue Holiday,2023-11-11,BOS,,TOR,29:48,8,3,7,1,2,.444,.000,.444,20.2,-0.9,4,,86,92,6.7
Jrue Holiday,2023-11-13,BOS,,NYK,36:55,14,7,2,0,0,.556,.600,.742,15.3,2.6,2,1.000,138,122,12.0
Jrue Holiday,2023-11-15,BOS,@,PHI,35:29,18,10,3,1,2,.444,.222,.488,25.0,2.0,1,.000,110,114,15.5
Jrue Holiday,2023-11-17,BOS,@,TOR,34:41,14,8,5,0,0,.357,.500,.470,20.7,-2.3,1,1.000,109,110,11.1
Jrue Holiday,2023-11-19,BOS,@,MEM,36:46,7,6,4,0,0,.286,.333,.444,12.3,-4.3,2,1.000,101,118,5.9
Jrue Holiday,2023-11-20,BOS,@,CHO,37:12,11,6,5,1,2,.455,.333,.463,22.0,-5.5,7,.000,76,115,6.0
Jrue Holiday,2023-11-22,BOS,,MIL,34:58,5,8,1,1,1,.125,.200,.282,14.0,-8.9,2,1.000,60,111,1.8
Jrue Holiday,2023-11-24,BOS,@,ORL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jrue Holiday,2023-11-26,BOS,,ATL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jrue Holiday,2023-11-28,BOS,,CHI,33:11,14,7,9,1,0,.625,.800,.875,14.3,8.8,3,,144,102,16.0
Jrue Holiday,2023-12-01,BOS,,PHI,34:58,13,5,6,1,0,.364,.600,.547,18.1,-3.0,3,1.000,109,120,9.8
Jrue Holiday,2023-12-04,BOS,@,IND,38:02,9,6,3,1,1,.333,.200,.455,11.5,-2.9,1,1.000,105,121,8.5
Jrue Holiday,2023-12-08,BOS,,NYK,34:50,16,6,5,2,1,.636,.333,.699,16.0,6.4,1,1.000,142,122,17.7
Jrue Holiday,2023-12-12,BOS,,CLE,34:01,11,4,2,3,1,.571,.600,.786,10.4,5.3,1,,149,113,12.6
Jrue Holiday,2023-12-14,BOS,,CLE,37:13,15,3,4,0,0,.636,.333,.682,15.7,-0.7,2,,131,122,11.8
Jrue Holiday,2023-12-15,BOS,,ORL,28:12,6,4,4,2,1,.286,.667,.429,10.8,1.1,0,,122,111,8.2
Jrue Holiday,2023-12-17,BOS,,ORL,34:13,14,6,0,0,2,.500,.400,.583,18.7,-1.8,3,,95,102,7.8
Jrue Holiday,2023-12-19,BOS,@,GSW,35:40,13,7,1,2,0,.417,.200,.505,15.9,-5.3,1,1.000,106,121,8.8
Jrue Holiday,2023-12-20,BOS,@,SAC,33:53,21,8,10,2,1,.538,.667,.733,22.0,11.4,3,1.000,150,122,24.2
Jrue Holiday,2023-12-23,BOS,@,LAC,27:36,20,6,7,1,0,.667,.667,.833,19.6,17.2,1,,178,114,22.3
Jrue Holiday,2023-12-25,BOS,@,LAL,38:14,18,7,7,1,1,.700,.600,.862,14.0,9.3,2,1.000,155,120,20.9
Jrue Holiday,2023-12-28,BOS,,DET,44:08,12,9,3,1,1,.444,.000,.536,14.0,-4.1,3,.800,101,114,10.8
Jrue Holiday,2023-12-29,BOS,,TOR,31:41,15,2,3,0,0,.333,.600,.447,23.9,-8.3,1,.500,101,128,7.0
Jrue Holiday,2023-12-31,BOS,@,SAS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jrue Holiday,2024-01-02,BOS,@,OKC,30:50,7,5,7,1,0,.250,.400,.394,15.6,-4.8,3,.500,95,134,6.2
Jrue Holiday,2024-01-05,BOS,,UTA,23:32,14,6,1,0,2,.750,.667,.875,17.3,8.4,2,,128,90,12.7
Jrue Holiday,2024-01-06,BOS,@,IND,36:44,8,6,5,1,0,.333,.200,.405,13.5,-2.7,2,.500,99,104,6.4
Jrue Holiday,2024-01-08,BOS,@,IND,37:58,21,6,6,1,0,.563,.500,.656,20.4,1.9,3,,126,131,17.0
Jrue Holiday,2024-01-10,BOS,,MIN,39:54,12,5,4,2,1,.333,.200,.400,20.2,-3.4,2,,86,114,7.7
Jrue Holiday,2024-01-11,BOS,@,MIL,18:35,6,4,2,0,0,.222,.000,.304,25.5,-13.9,1,1.000,69,142,2.1
Jrue Holiday,2024-01-13,BOS,,HOU,26:06,11,6,3,0,0,.400,.250,.506,18.7,-4.4,1,1.000,120,112,8.5
Jrue Holiday,2024-01-15,BOS,@,TOR,33:56,22,6,7,1,2,.500,.667,.698,22.6,17.2,1,1.000,142,94,22.7
Jrue Holiday,2024-01-17,BOS,,SAS,31:17,22,4,4,0,0,.571,.857,.786,20.9,11.9,1,,154,107,18.4
Jrue Holiday,2024-01-19,BOS,,DEN,29:52,7,2,3,0,0,.429,.333,.500,13.2,-3.4,1,,108,128,5.4
Jrue Holiday,2024-01-21,BOS,@,HOU,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jrue Holiday,2024-01-22,BOS,@,DAL,38:17,17,7,6,0,1,.462,.417,.654,16.4,4.7,1,,126,113,15.5
Jrue Holiday,2024-01-25,BOS,@,MIA,28:31,17,5,5,0,1,.875,.750,1.063,18.6,8.1,3,,149,121,16.5
Jrue Holiday,2024-01-27,BOS,,LAC,27:37,7,3,4,1,0,.182,.143,.295,20.4,-8.1,2,1.000,69,119,2.4
Jrue Holiday,2024-01-29,BOS,,NOP,33:03,20,3,2,1,0,.636,.600,.784,19.1,6.0,1,.750,149,119,17.4
Jrue Holiday,2024-01-30,BOS,,IND,39:27,17,5,4,1,3,.750,1.000,.957,11.3,9.4,1,1.000,174,126,20.2
Jrue Holiday,2024-02-01,BOS,,LAL,29:10,8,7,7,0,0,.444,.000,.444,18.6,-7.8,4,,90,123,5.9
Jrue Holiday,2024-02-04,BOS,,MEM,27:05,7,3,4,1,0,.333,.333,.509,13.5,-4.0,2,1.000,107,97,5.9
Jrue Holiday,2024-02-07,BOS,,ATL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jrue Holiday,2024-02-09,BOS,,WAS,33:56,20,7,5,1,0,.692,1.000,.769,18.1,5.2,2,,144,123,19.5
Jrue Holiday,2024-02-11,BOS,@,MIA,35:27,15,3,6,1,1,.625,.833,.938,11.1,12.1,0,,189,118,17.4
Jrue Holiday,2024-02-13,BOS,@,BRK,35:12,14,5,12,2,0,.600,.500,.700,16.7,8.7,3,,133,112,16.3
Jrue Holiday,2024-02-14,BOS,,BRK,24:04,3,4,5,0,0,.333,.500,.500,5.7,2.9,0,,173,100,6.4
Jrue Holiday,2024-02-22,BOS,@,CHI,29:15,9,3,6,2,1,.600,.667,.765,12.3,4.5,2,.500,137,113,10.9
Jrue Holiday,2024-02-24,BOS,@,NYK,35:03,12,1,6,2,1,.500,.333,.600,16.1,4.0,1,,135,125,12.4
