Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_DAL,TM_LAL,OPP_ATL,OPP_BOS,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Luka Doncic,36,28,10,8,1,1.0,0.36,0.364,0.491,35.2,3.2,4,0.75,105.0,105.0,18.8,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,10.0,8.0,1.0,4.0,0.36,0.364,0.75,35.2,105.0,105.0,18.8,0.0,0,2024,10,24,3,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
Luka Doncic,39,40,10,4,0,1.0,0.48,0.385,0.661,35.8,13.7,2,0.917,132.0,118.0,30.2,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,10.0,6.0,0.5,3.0,0.42,0.3745,0.8335,35.5,118.5,111.5,24.5,1.21422,1,2024,10,26,5,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
Luka Doncic,33,15,9,8,2,1.0,0.227,0.111,0.304,33.1,-5.6,2,0.667,80.0,95.0,7.8,3,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.666666666666668,9.666666666666666,6.666666666666667,1.0,2.6666666666666665,0.3556666666666666,0.2866666666666667,0.778,34.7,105.66666666666669,106.0,18.933333333333334,1.16943,2,2024,10,28,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
Luka Doncic,40,24,8,8,1,0.0,0.37,0.125,0.417,34.2,-5.3,3,0.75,98.0,121.0,14.3,4,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.75,9.25,7.0,1.0,2.75,0.3592499999999999,0.24625,0.771,34.575,103.75,109.75,17.775,0.992507,3,2024,10,29,1,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
Luka Doncic,38,29,5,2,1,0.0,0.48,0.429,0.542,34.2,2.3,1,0.5,109.0,118.0,16.4,5,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2,8.4,6.0,1.0,2.4,0.3833999999999999,0.2828,0.7168,34.5,104.8,111.4,17.5,1.05003,4,2024,10,31,3,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
Luka Doncic,32,32,9,7,0,0.0,0.5,0.385,0.638,38.6,13.3,4,0.714,121.0,87.0,23.0,6,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,8.5,6.166666666666667,0.8333333333333334,2.6666666666666665,0.4028333333333333,0.2998333333333333,0.7163333333333334,35.18333333333334,107.5,107.33333333333331,18.416666666666668,1.13798,5,2024,11,3,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
Luka Doncic,42,34,7,15,2,0.0,0.375,0.4,0.556,33.9,7.5,2,0.8,124.0,126.0,31.0,7,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.857142857142858,8.285714285714286,7.428571428571429,1.0,2.571428571428572,0.3988571428571428,0.3141428571428571,0.7282857142857143,35.0,109.85714285714286,110.0,20.214285714285715,1.21242,6,2024,11,4,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
Luka Doncic,32,27,7,13,4,0.0,0.421,0.375,0.588,35.4,13.6,5,0.889,114.0,85.0,25.5,8,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.625,8.125,8.125,1.375,2.875,0.401625,0.32175,0.748375,35.05,110.375,106.875,20.875,1.28495,7,2024,11,6,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Luka Doncic,42,30,7,7,1,0.0,0.44,0.417,0.57,33.1,4.0,3,1.0,117.0,125.0,20.7,9,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.77777777777778,8.0,8.0,1.3333333333333333,2.888888888888889,0.4058888888888889,0.3323333333333333,0.7763333333333333,34.833333333333336,111.11111111111111,108.88888888888889,20.855555555555554,1.13677,8,2024,11,8,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Luka Doncic,41,24,9,9,1,1.0,0.474,0.25,0.555,28.9,0.3,5,0.667,106.0,125.0,18.8,10,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.3,8.1,8.1,1.3,3.1,0.4126999999999999,0.3241,0.7654,34.239999999999995,110.6,110.5,20.65,1.17761,9,2024,11,10,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
