Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_MEM,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Ja Morant,2020-12-23,35,44,2,9,2,1.0,0.667,0.5,0.721,37.8,18.8,1,0.875,145.0,121.0,40.1,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,44.0,2.0,9.0,2.0,1.0,0.667,0.5,0.875,37.8,145.0,121.0,40.1,0.0
Ja Morant,2020-12-26,34,28,3,7,0,1.0,0.476,0.286,0.571,32.8,5.5,2,0.75,118.0,122.0,19.8,2,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,2.5,8.0,1.0,1.5,0.5715,0.393,0.8125,35.3,131.5,121.5,29.950000000000003,0.9538
Ja Morant,2020-12-28,13,7,2,3,0,0.0,0.286,0.0,0.421,39.9,-13.1,4,1.0,75.0,110.0,1.6,3,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.33333333333333,2.333333333333333,6.333333333333333,0.6666666666666666,2.333333333333333,0.4763333333333333,0.262,0.875,36.833333333333336,112.66666666666669,117.66666666666669,20.5,0.995539
Ja Morant,2020-12-30,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.75,1.75,4.75,0.5,1.75,0.35725,0.1965,0.65625,27.625,84.5,88.25,15.375,1.09806
Ja Morant,2021-01-01,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,1.4,3.8,0.4,1.4,0.2858,0.1572,0.525,22.1,67.6,70.6,12.3,0.944431
Ja Morant,2021-01-03,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.166666666666666,1.1666666666666667,3.1666666666666665,0.3333333333333333,1.1666666666666667,0.2381666666666666,0.131,0.4375,18.416666666666668,56.333333333333336,58.833333333333336,10.25,0.990623
Ja Morant,2021-01-05,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.285714285714286,1.0,2.7142857142857144,0.2857142857142857,1.0,0.2041428571428571,0.1122857142857143,0.375,15.785714285714286,48.285714285714285,50.42857142857143,8.785714285714286,0.969947
Ja Morant,2021-01-07,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.875,0.875,2.375,0.25,0.875,0.178625,0.09825,0.328125,13.8125,42.25,44.125,7.6875,1.09432
Ja Morant,2021-01-08,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9,1,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.777777777777779,0.7777777777777778,2.111111111111111,0.2222222222222222,0.7777777777777778,0.1587777777777778,0.0873333333333333,0.2916666666666667,12.27777777777778,37.55555555555556,39.22222222222222,6.833333333333333,0.967706
Ja Morant,2021-01-11,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,0.7,1.9,0.2,0.7,0.1429,0.0786,0.2625,11.05,33.8,35.3,6.15,1.02485
Ja Morant,2021-01-13,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,11,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.5,1.0,0.0,0.6,0.0762,0.0285999999999999,0.175,7.269999999999999,19.3,23.2,2.14,0.886315
Ja Morant,2021-01-16,31,17,0,6,1,0.0,0.5,0.0,0.539,24.9,-2.4,3,0.75,101.0,109.0,10.2,12,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.2,0.9,0.1,0.7,0.0786,0.0,0.175,6.48,17.6,21.9,1.18,1.02491
Ja Morant,2021-01-18,34,17,3,10,2,1.0,0.5,0.5,0.629,23.1,5.1,4,0.75,117.0,108.0,17.4,13,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.3,1.6,0.3,0.7,0.1,0.05,0.15,4.8,21.8,21.7,2.76,1.28935
Ja Morant,2021-01-30,28,19,2,11,0,0.0,0.571,0.2,0.62,31.7,0.0,5,0.667,118.0,121.0,15.3,14,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.3,0.5,2.7,0.3,1.2,0.1571,0.0699999999999999,0.2166999999999999,7.970000000000001,33.6,33.8,4.29,1.12458
Ja Morant,2021-02-01,22,13,3,8,2,0.0,0.556,1.0,0.658,28.1,3.9,4,1.0,117.0,102.0,13.2,15,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.6,0.8,3.5,0.5,1.6,0.2126999999999999,0.1699999999999999,0.3167,10.78,45.3,44.0,5.609999999999999,1.26177
Ja Morant,2021-02-02,29,10,1,5,2,1.0,0.2,0.0,0.396,23.4,-8.7,4,1.0,78.0,128.0,5.9,16,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.9,4.0,0.7,2.0,0.2327,0.1699999999999999,0.4166999999999999,13.12,53.1,56.8,6.2,1.14327
