Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_MIA,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Jimmy Butler,36,19,3,7,7,0.0,0.467,0.0,0.552,27.5,5.6,6,1.0,96.0,96.0,18.1,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,3.0,7.0,7.0,6.0,0.467,0.0,1.0,27.5,96.0,96.0,18.1,0.0,0,2020,12,23,2,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434
Jimmy Butler,16,4,6,5,1,0.0,0.286,0.0,0.286,23.2,0.2,1,0.0,103.0,98.0,6.4,2,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,4.5,6.0,4.0,3.5,0.3765,0.0,0.5,25.35,99.5,97.0,12.25,0.911602,1,2020,12,25,4,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191
Jimmy Butler,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.666666666666667,3.0,4.0,2.6666666666666665,2.333333333333333,0.251,0.0,0.3333333333333333,16.900000000000002,66.33333333333333,64.66666666666667,8.166666666666666,1.2464,2,2020,12,29,1,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336
Jimmy Butler,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,2.25,3.0,2.0,1.75,0.18825,0.0,0.25,12.675,49.75,48.5,6.125,0.91219,3,2020,12,30,2,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434
Jimmy Butler,27,2,3,2,2,0.0,0.0,0.0,0.137,17.9,-11.4,3,0.667,35.0,94.0,-1.3,5,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.4,2.8,2.0,2.0,0.1506,0.0,0.3334,13.72,46.8,57.6,4.640000000000001,1.12569,4,2021,1,1,4,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
Jimmy Butler,26,18,3,6,1,0.0,0.5,0.0,0.615,26.6,6.8,0,1.0,140.0,92.0,17.7,6,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.166666666666667,2.5,3.333333333333333,1.8333333333333333,1.6666666666666667,0.2088333333333333,0.0,0.4444999999999999,15.866666666666667,62.333333333333336,63.333333333333336,6.816666666666667,0.958026,5,2021,1,4,0,0.49999999999999994,0.8660254037844387,0.0,1.0
Jimmy Butler,33,26,8,3,0,3.0,0.474,0.0,0.566,34.6,7.2,1,0.889,117.0,113.0,22.3,7,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.857142857142858,3.2857142857142856,3.2857142857142856,1.5714285714285714,1.5714285714285714,0.2467142857142857,0.0,0.508,18.542857142857144,70.14285714285714,70.42857142857143,9.028571428571428,1.04491,6,2021,1,6,2,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
Jimmy Butler,36,26,10,9,2,1.0,0.556,0.0,0.63,22.8,10.5,0,1.0,152.0,110.0,30.2,8,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.875,4.125,4.0,1.625,1.375,0.285375,0.0,0.5695,19.075,80.375,75.375,11.675,1.07982,7,2021,1,9,5,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
Jimmy Butler,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.555555555555555,3.6666666666666665,3.555555555555556,1.4444444444444444,1.2222222222222223,0.2536666666666666,0.0,0.5062222222222222,16.955555555555556,71.44444444444444,67.0,10.377777777777778,1.09804,8,2021,1,12,1,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
Jimmy Butler,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,3.3,3.2,1.3,1.1,0.2283,0.0,0.4556,15.26,64.3,60.3,9.34,1.13427,9,2021,1,14,3,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
