Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_MIA,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Jimmy Butler,29,21,4,6,1,0.0,0.6,0.0,0.708,21.7,9.6,1,0.818,153.0,91.0,20.2,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,4.0,6.0,1.0,1.0,0.6,0.0,0.818,21.7,153.0,91.0,20.2,0.983568,0,2021,10,21,3,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
Jimmy Butler,40,19,6,6,3,0.0,0.318,0.333,0.393,31.1,2.6,4,0.8,83.0,93.0,10.6,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5.0,6.0,2.0,2.5,0.4589999999999999,0.1665,0.8089999999999999,26.4,118.0,92.0,15.4,1.24124,1,2021,10,23,5,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
Jimmy Butler,33,36,3,2,5,0.0,0.714,0.0,0.761,34.1,21.7,1,1.0,145.0,84.0,32.8,3,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.33333333333333,4.333333333333333,4.666666666666667,3.0,2.0,0.5439999999999999,0.111,0.8726666666666666,28.96666666666667,127.0,89.33333333333333,21.2,0.967329,2,2021,10,25,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
Jimmy Butler,37,17,14,7,4,1.0,0.333,0.0,0.412,25.1,9.3,3,0.833,97.0,80.0,17.6,4,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.25,6.75,5.25,3.25,2.25,0.4912499999999999,0.08325,0.8627499999999999,28.0,119.5,87.0,20.3,0.854802,3,2021,10,27,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Jimmy Butler,36,32,10,5,1,1.0,0.632,0.333,0.725,29.5,14.1,4,1.0,139.0,102.0,28.5,5,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,7.4,5.2,2.8,2.6,0.5194,0.1332,0.8901999999999999,28.3,123.4,90.0,21.94,1.07467,4,2021,10,29,4,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
Jimmy Butler,30,27,5,7,3,0.0,0.667,0.5,0.802,24.9,18.9,1,0.909,172.0,98.0,29.8,6,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.33333333333333,7.0,5.5,2.833333333333333,2.333333333333333,0.544,0.1943333333333333,0.8933333333333332,27.73333333333333,131.5,91.33333333333331,23.25,0.90441,5,2021,10,30,5,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
Jimmy Butler,33,23,6,6,3,1.0,0.364,0.0,0.622,27.6,9.8,1,0.882,144.0,111.0,24.0,7,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,6.857142857142857,5.571428571428571,2.857142857142857,2.142857142857143,0.5182857142857143,0.1665714285714285,0.8917142857142857,27.714285714285715,133.28571428571428,94.14285714285714,23.357142857142858,0.985075,6,2021,11,2,1,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336
Jimmy Butler,38,20,4,2,1,0.0,0.444,0.0,0.465,27.5,1.5,2,0.5,95.0,112.0,10.6,8,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.375,6.5,5.125,2.625,2.125,0.509,0.14575,0.84275,27.6875,128.5,96.375,21.7625,0.817065,7,2021,11,4,3,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419
Jimmy Butler,36,27,3,6,0,0.0,0.733,0.0,0.765,27.7,5.2,3,0.833,138.0,132.0,22.6,9,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.666666666666668,6.111111111111111,5.222222222222222,2.333333333333333,2.2222222222222223,0.5338888888888889,0.1295555555555555,0.8416666666666667,27.68888888888889,129.55555555555554,100.33333333333331,21.855555555555554,0.983565,8,2021,11,6,5,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
Jimmy Butler,38,31,5,8,0,1.0,0.556,0.667,0.679,29.7,16.0,1,0.818,141.0,122.0,28.8,10,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3,6.0,5.5,2.1,2.1,0.5361,0.1833,0.8393,27.89,130.7,102.5,22.55,0.966705,9,2021,11,8,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
