Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_GSW,TM_MIA,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Jimmy Butler,26,3,4,5,1,1.0,0.125,0.0,0.169,17.4,-8.8,1,0.5,63.0,119.0,2.8,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,1.0,1.0,0.125,0.0,0.5,17.4,63.0,119.0,2.8,0.0,0,2024,10,23,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Jimmy Butler,37,26,8,8,2,1.0,0.467,0.333,0.578,27.2,9.4,1,0.647,136.0,107.0,26.4,2,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,6.0,6.5,1.5,1.0,0.296,0.1665,0.5735,22.3,99.5,113.0,14.6,1.17495,1,2024,10,26,5,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
Jimmy Butler,34,23,4,7,4,0.0,0.636,0.0,0.726,20.7,16.7,0,0.818,168.0,104.0,27.8,3,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.333333333333332,5.333333333333333,6.666666666666667,2.333333333333333,0.6666666666666666,0.4093333333333333,0.111,0.6549999999999999,21.766666666666666,122.33333333333331,110.0,19.0,1.20564,2,2024,10,28,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
Jimmy Butler,37,15,4,4,2,0.0,0.667,0.0,0.697,18.7,-3.2,4,0.75,112.0,124.0,12.3,4,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.75,5.0,6.0,2.25,1.5,0.47375,0.08325,0.67875,21.0,119.75,113.5,17.325,1.10028,3,2024,10,30,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Jimmy Butler,31,18,8,4,0,0.0,0.462,0.0,0.545,25.4,-0.9,4,0.75,112.0,101.0,13.3,5,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,5.6,5.6,1.8,2.0,0.4714,0.0666,0.693,21.88,118.2,111.0,16.52,1.09165,4,2024,11,2,5,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
Jimmy Butler,36,27,2,6,2,0.0,0.474,0.5,0.566,30.4,5.4,1,0.727,125.0,120.0,21.9,6,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.666666666666668,5.0,5.666666666666667,1.8333333333333333,1.8333333333333333,0.4718333333333333,0.1388333333333333,0.6986666666666667,23.3,119.33333333333331,112.5,17.416666666666668,1.11525,5,2024,11,4,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
Jimmy Butler,37,15,7,3,1,0.0,0.462,0.0,0.524,19.2,-5.8,2,1.0,110.0,124.0,12.3,7,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.142857142857142,5.285714285714286,5.285714285714286,1.7142857142857142,1.8571428571428568,0.4704285714285715,0.119,0.7417142857142858,22.714285714285715,118.0,114.14285714285714,16.685714285714287,1.1548,6,2024,11,6,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Jimmy Butler,7,2,1,2,0,0.0,0.5,0.0,0.5,18.8,-6.3,1,0.0,109.0,141.0,2.1,8,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.125,4.75,4.875,1.5,1.75,0.474125,0.104125,0.649,22.225,116.875,117.5,14.8625,1.10108,7,2024,11,8,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Jimmy Butler,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.333333333333334,4.222222222222222,4.333333333333333,1.3333333333333333,1.5555555555555556,0.4214444444444444,0.0925555555555555,0.5768888888888889,19.75555555555556,103.88888888888889,104.44444444444444,13.211111111111112,0.922868,8,2024,11,10,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
Jimmy Butler,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9,3.8,3.9,1.2,1.4,0.3793,0.0833,0.5192,17.779999999999998,93.5,94.0,11.89,1.00335,9,2024,11,12,1,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336
