Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_ORL,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Paolo Banchero,31,33,11,3,1,1.0,0.5,0.5,0.619,34.2,16.8,0,0.833,143.0,100.0,28.5,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,11.0,3.0,1.0,0.0,0.5,0.5,0.833,34.2,143.0,100.0,28.5,0.0,0,2024,10,23,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Paolo Banchero,37,15,6,9,0,1.0,0.308,0.5,0.42,22.4,-1.5,0,0.545,115.0,108.0,13.9,2,1,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,8.5,6.0,0.5,0.0,0.404,0.5,0.6890000000000001,28.3,129.0,104.0,21.2,1.11253,1,2024,10,25,4,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
Paolo Banchero,37,16,7,3,1,0.0,0.333,0.25,0.451,22.8,-6.7,3,0.538,95.0,121.0,9.0,3,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.33333333333333,8.0,5.0,0.6666666666666666,1.0,0.3803333333333333,0.4166666666666667,0.6386666666666666,26.46666666666667,117.66666666666669,109.66666666666669,17.133333333333333,1.14184,2,2024,10,26,5,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
Paolo Banchero,40,50,13,9,1,2.0,0.615,0.333,0.701,41.9,19.6,4,0.682,139.0,112.0,44.0,4,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,9.25,6.0,0.75,1.75,0.439,0.39575,0.6495,30.325,123.0,110.25,23.85,1.04483,3,2024,10,28,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
Paolo Banchero,37,31,7,4,0,0.0,0.545,0.222,0.618,35.1,1.8,4,0.714,103.0,109.0,19.7,5,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,8.8,5.6,0.6,2.2,0.4602,0.361,0.6624000000000001,31.28,119.0,110.0,23.02,1.14286,4,2024,10,30,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Paolo Banchero,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.166666666666668,7.333333333333333,4.666666666666667,0.5,1.8333333333333333,0.3835,0.3008333333333333,0.552,26.066666666666663,99.16666666666669,91.66666666666669,19.183333333333334,1.021,5,2024,11,1,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Paolo Banchero,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.714285714285715,6.285714285714286,4.0,0.4285714285714285,1.5714285714285714,0.3287142857142857,0.2578571428571428,0.4731428571428572,22.342857142857145,85.0,78.57142857142857,16.442857142857143,1.10022,6,2024,11,3,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
Paolo Banchero,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.125,5.5,3.5,0.375,1.375,0.287625,0.225625,0.414,19.55,74.375,68.75,14.3875,0.895922,7,2024,11,4,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
Paolo Banchero,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.11111111111111,4.888888888888889,3.111111111111111,0.3333333333333333,1.2222222222222223,0.2556666666666667,0.2005555555555555,0.368,17.37777777777778,66.11111111111111,61.11111111111112,12.788888888888888,1.196,8,2024,11,6,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Paolo Banchero,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,4.4,2.8,0.3,1.1,0.2301,0.1805,0.3312,15.64,59.5,55.0,11.51,1.26892,9,2024,11,8,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
