Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_WAS,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Kristaps Porzingis,32,15,10,3,0,2.0,0.357,0.2,0.451,23.8,-1.7,2,0.667,101.0,102.0,10.9,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,3.0,0.0,2.0,0.357,0.2,0.667,23.8,101.0,102.0,10.9,0.0,0,2022,10,19,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Kristaps Porzingis,29,14,3,2,1,2.0,0.462,0.4,0.538,23.1,-1.8,1,0.0,101.0,105.0,8.6,2,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,6.5,2.5,0.5,1.5,0.4095,0.3,0.3335,23.450000000000003,101.0,103.5,9.75,1.01124,1,2022,10,21,4,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
Kristaps Porzingis,38,18,11,3,1,1.0,0.438,0.5,0.547,23.1,2.8,2,0.0,100.0,109.0,13.1,3,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.666666666666666,8.0,2.6666666666666665,0.6666666666666666,1.6666666666666667,0.419,0.3666666666666667,0.2223333333333333,23.33333333333333,100.66666666666669,105.33333333333331,10.866666666666667,0.962768,2,2022,10,23,6,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
Kristaps Porzingis,25,20,7,2,0,0.0,0.615,0.5,0.72,29.8,0.6,3,1.0,126.0,107.0,14.2,4,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.75,7.75,2.5,0.5,2.0,0.4679999999999999,0.4,0.41675,24.950000000000003,107.0,105.75,11.7,1.17175,3,2022,10,25,1,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
Kristaps Porzingis,31,22,6,1,1,0.0,0.538,0.5,0.684,25.2,0.7,2,0.857,127.0,126.0,16.0,5,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,7.4,2.2,0.6,2.0,0.482,0.42,0.5048,25.0,111.0,109.8,12.56,1.13346,4,2022,10,28,4,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
Kristaps Porzingis,28,17,13,1,0,2.0,0.5,0.0,0.504,30.2,0.1,3,0.5,98.0,114.0,13.2,6,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.666666666666668,8.333333333333334,2.0,0.5,2.1666666666666665,0.485,0.35,0.504,25.866666666666664,108.83333333333331,110.5,12.666666666666666,1.19268,5,2022,10,30,6,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
Kristaps Porzingis,35,32,9,3,2,0.0,0.588,0.429,0.763,27.0,15.1,0,1.0,165.0,119.0,31.3,7,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.714285714285715,8.428571428571429,2.142857142857143,0.7142857142857143,1.8571428571428568,0.4997142857142857,0.3612857142857142,0.5748571428571428,26.02857142857143,116.85714285714286,111.71428571428572,15.328571428571427,1.06031,6,2022,10,31,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
Kristaps Porzingis,34,30,9,3,1,3.0,0.692,0.25,0.841,26.5,15.0,1,1.0,166.0,113.0,31.0,8,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.5,2.25,0.75,1.75,0.5237499999999999,0.347375,0.628,26.0875,123.0,111.875,17.2875,1.0944,7,2022,11,2,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Kristaps Porzingis,26,14,10,1,0,0.0,0.364,0.5,0.513,25.9,-1.0,1,0.667,105.0,134.0,10.2,9,1,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.22222222222222,8.666666666666666,2.111111111111111,0.6666666666666666,1.6666666666666667,0.506,0.3643333333333333,0.6323333333333333,26.066666666666663,121.0,114.33333333333331,16.5,1.10769,8,2022,11,4,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Kristaps Porzingis,31,10,4,3,1,3.0,0.231,0.167,0.339,26.4,-8.8,4,0.75,67.0,106.0,2.5,10,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,8.2,2.2,0.7,1.9,0.4785,0.3446,0.6441,26.1,115.6,113.5,15.1,0.924046,9,2022,11,6,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
Kristaps Porzingis,31,19,8,5,0,1.0,0.429,0.167,0.542,27.0,4.4,1,0.75,122.0,101.0,15.2,11,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6,8.0,2.4,0.7,1.8,0.4856999999999999,0.3413,0.6524,26.42,117.7,113.4,15.529999999999998,1.0032,10,2022,11,7,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
Kristaps Porzingis,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,12,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,7.7,2.2,0.6,1.7,0.4394999999999999,0.3013,0.6524,24.11,107.6,102.9,14.669999999999998,0.969072,11,2022,11,10,3,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419
