Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_BOS,OPP_ATL,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Kristaps Porzingis,2023-10-25,38,30,8,0,0,4.0,0.533,0.556,0.773,25.5,11.7,1,0.9,150.0,109.0,25.3,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,8.0,0.0,0.0,1.0,0.533,0.556,0.9,25.5,150.0,109.0,25.3,0.0
Kristaps Porzingis,2023-10-27,30,17,9,1,3,1.0,0.5,0.333,0.618,19.8,6.1,1,0.75,133.0,102.0,15.5,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,8.5,0.5,1.5,1.0,0.5165,0.4445,0.825,22.65,141.5,105.5,20.4,1.04898
Kristaps Porzingis,2023-10-30,24,15,6,3,0,1.0,0.778,0.5,0.833,18.1,5.9,2,0.0,137.0,106.0,13.3,3,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.666666666666668,7.666666666666667,1.3333333333333333,1.0,1.3333333333333333,0.6036666666666667,0.463,0.5499999999999999,21.133333333333336,140.0,105.66666666666669,18.03333333333333,1.0013
Kristaps Porzingis,2023-11-01,27,13,6,2,0,0.0,0.429,0.333,0.674,17.4,-0.8,2,1.0,133.0,102.0,9.7,4,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,7.25,1.5,0.75,1.5,0.56,0.4305,0.6625,20.2,138.25,104.75,15.95,1.06363
Kristaps Porzingis,2023-11-04,30,22,7,1,0,3.0,0.8,0.5,0.814,20.5,9.8,1,0.625,156.0,112.0,20.9,5,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,7.2,1.4,0.6,1.4,0.608,0.4444,0.655,20.26,141.8,106.2,16.94,1.08067
Kristaps Porzingis,2023-11-06,36,20,5,1,1,1.0,0.357,0.333,0.543,23.4,2.3,1,0.8,113.0,104.0,12.7,6,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,6.833333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,0.5661666666666667,0.4258333333333333,0.6791666666666667,20.78333333333333,137.0,105.83333333333331,16.233333333333334,0.960566
Kristaps Porzingis,2023-11-08,31,29,6,3,0,1.0,0.526,0.333,0.644,31.2,12.6,0,0.875,138.0,113.0,23.9,7,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.857142857142858,6.714285714285714,1.5714285714285714,0.5714285714285714,1.1428571428571428,0.5604285714285714,0.4125714285714285,0.7071428571428572,22.27142857142857,137.14285714285714,106.85714285714286,17.32857142857143,1.11986
Kristaps Porzingis,2023-11-10,25,9,2,2,0,1.0,0.5,0.0,0.726,10.6,0.3,0,1.0,170.0,118.0,8.9,8,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.375,6.125,1.625,0.5,1.0,0.552875,0.361,0.74375,20.8125,141.25,108.25,16.275,0.928375
Kristaps Porzingis,2023-11-11,28,21,7,3,0,0.0,0.643,0.429,0.727,29.3,6.6,3,0.0,113.0,97.0,15.2,9,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.55555555555556,6.222222222222222,1.7777777777777777,0.4444444444444444,1.2222222222222223,0.5628888888888889,0.3685555555555556,0.6611111111111111,21.75555555555556,138.11111111111111,107.0,16.155555555555555,1.06642
Kristaps Porzingis,2023-11-13,33,21,6,3,0,1.0,0.636,0.5,0.823,20.4,10.1,1,1.0,160.0,116.0,18.1,10,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7,6.2,1.9,0.4,1.2,0.5702,0.3817,0.6950000000000001,21.62,140.3,107.9,16.35,1.0892
