Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_PHI,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Tyrese Maxey,39,25,6,3,1,1.0,0.323,0.222,0.382,34.7,-2.7,1,0.75,89.0,123.0,11.1,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,6.0,3.0,1.0,1.0,0.323,0.222,0.75,34.7,89.0,123.0,11.1,0.0,0,2024,10,23,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Tyrese Maxey,41,24,2,4,1,0.0,0.261,0.167,0.424,29.8,-6.2,1,0.833,95.0,119.0,10.9,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.5,4.0,3.5,1.0,1.0,0.292,0.1945,0.7915,32.25,92.0,121.0,11.0,1.30066,1,2024,10,25,4,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
Tyrese Maxey,48,45,4,4,1,2.0,0.438,0.294,0.583,36.7,8.3,5,0.8,122.0,106.0,27.2,3,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.33333333333333,4.0,3.6666666666666665,1.0,2.333333333333333,0.3406666666666667,0.2276666666666666,0.7943333333333333,33.733333333333334,102.0,116.0,16.400000000000002,1.2407,2,2024,10,27,6,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
Tyrese Maxey,40,32,3,7,2,0.0,0.48,0.2,0.57,34.7,9.1,1,0.857,120.0,116.0,24.5,4,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.5,3.75,4.5,1.25,2.0,0.3755,0.22075,0.81,33.975,106.5,116.0,18.425,1.07847,3,2024,10,30,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Tyrese Maxey,37,23,2,6,3,0.0,0.421,0.444,0.566,26.7,1.4,3,1.0,108.0,122.0,16.9,5,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.8,3.4,4.8,1.6,2.2,0.3846,0.2653999999999999,0.8480000000000001,32.52,106.8,117.2,18.12,0.93067,4,2024,11,2,5,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
Tyrese Maxey,41,32,3,2,1,1.0,0.545,0.429,0.686,24.9,4.3,0,0.667,136.0,124.0,23.8,6,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.166666666666668,3.333333333333333,4.333333333333333,1.5,1.8333333333333333,0.4113333333333333,0.2926666666666667,0.8178333333333333,31.25,111.66666666666669,118.33333333333331,19.066666666666663,0.91219,5,2024,11,4,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
Tyrese Maxey,32,12,1,1,1,0.0,0.385,0.167,0.446,24.7,-13.0,3,1.0,82.0,126.0,2.7,7,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.571428571428573,3.0,3.857142857142857,1.4285714285714286,2.0,0.4075714285714285,0.2747142857142857,0.8438571428571429,30.31428571428572,107.42857142857144,119.42857142857144,16.728571428571428,1.09416,6,2024,11,6,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Tyrese Maxey,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.125,2.625,3.375,1.25,1.75,0.3566249999999999,0.240375,0.738375,26.525,94.0,104.5,14.6375,1.21917,7,2024,11,8,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Tyrese Maxey,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.444444444444443,2.333333333333333,3.0,1.1111111111111112,1.5555555555555556,0.3169999999999999,0.2136666666666666,0.6563333333333333,23.577777777777776,83.55555555555556,92.88888888888889,13.011111111111113,0.854129,8,2024,11,10,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
Tyrese Maxey,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3,2.1,2.7,1.0,1.4,0.2853,0.1923,0.5907,21.22,75.2,83.6,11.71,1.27721,9,2024,11,12,1,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336
