Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_PHI,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Tyrese Maxey,38,21,1,2,2,0.0,0.5,0.4,0.606,21.7,-0.9,1,1.0,118.0,129.0,13.7,1,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,2.0,2.0,1.0,0.5,0.4,1.0,21.7,118.0,129.0,13.7,0.0,0,2022,10,18,1,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
Tyrese Maxey,34,15,2,0,0,0.0,0.462,0.0,0.508,22.4,-5.9,1,0.75,94.0,104.0,6.3,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.5,1.0,1.0,1.0,0.481,0.2,0.875,22.05,106.0,116.5,10.0,0.0,1,2022,10,20,3,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
Tyrese Maxey,40,25,3,6,1,0.0,0.444,0.375,0.569,27.9,-0.8,3,0.667,113.0,126.0,16.7,3,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.33333333333333,2.0,2.6666666666666665,1.0,1.6666666666666667,0.4686666666666667,0.2583333333333333,0.8056666666666666,24.0,108.33333333333331,119.66666666666669,12.233333333333334,1.17364,2,2022,10,22,5,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
Tyrese Maxey,38,8,2,3,1,0.0,0.273,0.4,0.364,16.6,-10.9,2,0.0,80.0,121.0,3.6,4,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.25,2.0,2.75,1.0,1.75,0.41975,0.29375,0.60425,22.15,101.25,120.0,10.075,1.0867,3,2022,10,24,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
Tyrese Maxey,43,31,5,6,2,1.0,0.571,0.5,0.681,29.9,5.6,4,0.75,118.0,125.0,25.5,5,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,2.6,3.4,1.2,2.2,0.45,0.335,0.6334,23.7,104.6,121.0,13.16,0.912201,4,2022,10,26,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Tyrese Maxey,40,44,8,4,1,0.0,0.75,0.75,0.972,29.5,21.5,2,0.833,171.0,97.0,38.6,6,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,3.5,3.5,1.1666666666666667,2.1666666666666665,0.5,0.4041666666666666,0.6666666666666666,24.666666666666668,115.66666666666669,117.0,17.400000000000002,1.14331,5,2022,10,28,4,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
Tyrese Maxey,29,14,5,3,1,0.0,0.357,0.333,0.457,26.3,-8.0,2,0.667,90.0,111.0,6.8,7,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.571428571428573,3.7142857142857135,3.4285714285714284,1.1428571428571428,2.142857142857143,0.4795714285714286,0.394,0.6667142857142857,24.9,112.0,116.14285714285714,15.885714285714286,1.16901,6,2022,10,29,5,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
Tyrese Maxey,34,28,3,3,1,0.0,0.545,0.333,0.612,34.4,-3.7,3,1.0,107.0,119.0,17.2,8,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.25,3.625,3.375,1.125,2.25,0.48775,0.386375,0.708375,26.0875,111.375,116.5,16.05,1.12506,7,2022,10,31,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
Tyrese Maxey,43,32,2,4,0,0.0,0.55,0.556,0.68,26.0,4.9,0,0.625,138.0,135.0,24.2,9,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.22222222222222,3.4444444444444446,3.4444444444444446,1.0,2.0,0.4946666666666666,0.4052222222222222,0.6991111111111111,26.077777777777776,114.33333333333331,118.55555555555556,16.955555555555556,1.16342,8,2022,11,2,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Tyrese Maxey,39,31,3,7,1,0.0,0.345,0.308,0.483,36.3,0.3,4,1.0,98.0,110.0,16.7,10,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.9,3.4,3.8,1.0,2.2,0.4796999999999999,0.3955,0.7292,27.1,112.7,117.7,16.93,1.06111,9,2022,11,4,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
