Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_MIN,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Karl-Anthony Towns,36,19,10,3,0,4.0,0.32,0.2,0.373,31.8,-1.0,4,1.0,76.0,93.0,8.6,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,10.0,3.0,0.0,4.0,0.32,0.2,1.0,31.8,76.0,93.0,8.6,0.0,0,2023,10,25,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Karl-Anthony Towns,31,12,10,2,1,0.0,0.417,0.25,0.466,20.8,-3.0,1,0.5,91.0,91.0,8.4,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,10.0,2.5,0.5,2.5,0.3685,0.225,0.75,26.3,83.5,92.0,8.5,1.16695,1,2023,10,28,5,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
Karl-Anthony Towns,36,16,10,3,1,0.0,0.412,0.333,0.459,21.7,-3.6,0,1.0,111.0,132.0,13.0,3,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.666666666666666,10.0,2.6666666666666665,0.6666666666666666,1.6666666666666667,0.383,0.261,0.8333333333333334,24.766666666666666,92.66666666666669,105.33333333333331,10.0,1.02828,2,2023,10,30,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
Karl-Anthony Towns,31,21,8,4,2,0.0,0.368,0.25,0.485,32.7,5.9,1,1.0,110.0,88.0,16.7,4,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9.5,3.0,1.0,1.5,0.37925,0.25825,0.875,26.75,97.0,101.0,11.675,1.0241,3,2023,11,1,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Karl-Anthony Towns,32,25,7,1,2,0.0,0.5,0.333,0.679,29.2,2.4,2,0.9,131.0,97.0,18.8,5,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.6,9.0,2.6,1.2,1.6,0.4034,0.2732,0.8800000000000001,27.24,103.8,100.2,13.1,1.0626,4,2023,11,4,5,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
Karl-Anthony Towns,28,7,10,3,0,0.0,0.3,0.143,0.35,27.3,-14.9,7,0.0,50.0,96.0,-3.1,6,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666668,9.166666666666666,2.6666666666666665,1.0,2.5,0.3861666666666666,0.2515,0.7333333333333334,27.25,94.83333333333331,99.5,10.4,1.09668,5,2023,11,6,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
Karl-Anthony Towns,28,23,3,0,0,1.0,0.75,0.8,0.893,25.3,1.8,3,0.5,120.0,104.0,14.0,7,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.571428571428573,8.285714285714286,2.2857142857142856,0.8571428571428571,2.571428571428572,0.4381428571428571,0.3298571428571429,0.7000000000000001,26.97142857142857,98.42857142857144,100.14285714285714,10.914285714285716,1.29437,6,2023,11,8,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Karl-Anthony Towns,34,29,12,2,0,0.0,0.524,0.429,0.637,30.9,5.0,3,1.0,119.0,107.0,20.7,8,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,8.75,2.25,0.75,2.625,0.448875,0.34225,0.7375,27.4625,101.0,101.0,12.1375,1.26237,7,2023,11,10,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Karl-Anthony Towns,37,21,14,3,2,1.0,0.571,0.667,0.685,19.2,9.0,1,1.0,138.0,100.0,22.8,9,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.22222222222222,9.333333333333334,2.333333333333333,0.8888888888888888,2.4444444444444446,0.4624444444444444,0.3783333333333333,0.7666666666666667,26.544444444444444,105.11111111111111,100.88888888888889,13.322222222222225,1.09424,8,2023,11,12,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
Karl-Anthony Towns,42,33,11,2,2,0.0,0.462,0.417,0.594,34.5,4.2,5,1.0,101.0,99.0,21.3,10,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6,9.5,2.3,1.0,2.7,0.4624,0.3822,0.79,27.34,104.7,100.7,14.12,1.12868,9,2023,11,14,1,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336
