Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_WAS,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Bradley Beal,2021-10-20,34,23,3,4,4,0.0,0.368,0.167,0.511,32.9,3.8,4,1.0,94.0,80.0,15.4,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,3.0,4.0,4.0,4.0,0.368,0.167,1.0,32.9,94.0,80.0,15.4,0.0
Bradley Beal,2021-10-22,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,1.5,2.0,2.0,2.0,0.184,0.0835,0.5,16.45,47.0,40.0,7.7,1.08741
Bradley Beal,2021-10-25,32,19,3,4,0,0.0,0.364,0.231,0.432,35.2,-4.3,5,0.0,74.0,107.0,5.1,3,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,2.6666666666666665,1.3333333333333333,3.0,0.244,0.1326666666666666,0.3333333333333333,22.7,56.0,62.333333333333336,6.833333333333333,1.07911
Bradley Beal,2021-10-27,35,17,10,2,3,1.0,0.28,0.0,0.323,38.2,-12.3,5,1.0,71.0,102.0,5.4,4,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.75,4.0,2.5,1.75,3.5,0.253,0.0995,0.5,26.575000000000003,59.75,72.25,6.475,1.12089
Bradley Beal,2021-10-28,38,27,8,8,0,1.0,0.423,0.25,0.486,32.0,0.7,1,1.0,115.0,113.0,20.1,5,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,4.8,3.6,1.4,3.0,0.287,0.1296,0.6,27.660000000000004,70.8,80.4,9.2,1.02937
Bradley Beal,2021-10-30,46,36,7,6,2,1.0,0.375,0.375,0.501,37.8,8.5,4,1.0,100.0,94.0,23.4,6,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.33333333333333,5.166666666666667,4.0,1.5,3.1666666666666665,0.3016666666666667,0.1705,0.6666666666666666,29.35,75.66666666666667,82.66666666666667,11.566666666666668,1.13684
Bradley Beal,2021-11-01,34,24,2,3,2,0.0,0.476,0.273,0.56,33.9,-2.9,4,1.0,93.0,127.0,13.2,7,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.857142857142858,4.714285714285714,3.857142857142857,1.5714285714285714,3.2857142857142856,0.3265714285714285,0.1851428571428571,0.7142857142857143,30.0,78.14285714285714,89.0,11.8,1.18995
Bradley Beal,2021-11-03,39,25,7,7,1,1.0,0.444,0.4,0.593,27.6,8.0,2,1.0,126.0,117.0,23.1,8,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.375,5.0,4.25,1.5,3.125,0.34125,0.212,0.75,29.7,84.125,92.5,13.2125,1.04496
Bradley Beal,2021-11-05,27,17,3,7,0,0.0,0.583,0.0,0.638,29.9,-1.7,5,1.0,104.0,94.0,11.8,9,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.88888888888889,4.777777777777778,4.555555555555555,1.3333333333333333,3.333333333333333,0.368111111111111,0.1884444444444444,0.7777777777777778,29.72222222222222,86.33333333333333,92.66666666666669,13.055555555555555,1.08816
Bradley Beal,2021-11-07,37,30,5,8,0,1.0,0.636,0.667,0.668,34.5,5.1,6,0.0,108.0,102.0,20.8,10,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8,4.8,4.9,1.2,3.6,0.3949,0.2363,0.7,30.2,88.5,93.6,13.830000000000002,1.12256
