Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_MIA,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Jimmy Butler,2023-10-25,34,19,13,4,2,0.0,0.333,0.0,0.433,27.7,5.6,0,0.778,118.0,108.0,19.9,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,13.0,4.0,2.0,0.0,0.333,0.0,0.778,27.7,118.0,108.0,19.9,0.0
Jimmy Butler,2023-10-27,34,14,5,3,1,1.0,0.273,0.0,0.468,20.5,-2.5,1,0.889,110.0,122.0,11.8,2,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,9.0,3.5,1.5,0.5,0.303,0.0,0.8335,24.1,114.0,115.0,15.85,1.0468
Jimmy Butler,2023-10-28,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,2.333333333333333,1.0,0.3333333333333333,0.202,0.0,0.5556666666666666,16.066666666666666,76.0,76.66666666666667,10.566666666666666,0.914879
Jimmy Butler,2023-10-30,29,13,4,4,0,1.0,0.364,0.5,0.509,21.1,-1.0,1,1.0,116.0,123.0,11.4,4,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,5.5,2.75,0.75,0.5,0.2425,0.125,0.66675,17.325,86.0,88.25,10.775,1.18719
Jimmy Butler,2023-11-01,34,20,7,3,1,0.0,0.438,0.0,0.512,25.1,1.0,1,0.75,115.0,111.0,16.2,5,1,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,5.8,2.8,0.8,0.6,0.2815999999999999,0.1,0.6834,18.880000000000003,91.8,92.8,11.86,1.13243
Jimmy Butler,2023-11-03,31,20,7,2,3,0.0,0.636,0.5,0.733,22.7,2.6,2,0.833,129.0,107.0,18.8,6,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.333333333333334,6.0,2.6666666666666665,1.1666666666666667,0.8333333333333334,0.3406666666666667,0.1666666666666666,0.7083333333333334,19.516666666666666,98.0,95.16666666666669,13.016666666666666,1.14613
Jimmy Butler,2023-11-06,37,28,4,6,2,0.0,0.6,0.75,0.774,24.7,11.3,3,1.0,141.0,110.0,26.3,7,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.285714285714285,5.714285714285714,3.142857142857143,1.2857142857142858,1.1428571428571428,0.3777142857142857,0.25,0.75,20.25714285714286,104.14285714285714,97.28571428571428,14.914285714285716,1.15385
Jimmy Butler,2023-11-08,35,15,3,2,2,0.0,0.385,0.5,0.524,19.3,-0.9,1,1.0,113.0,108.0,11.2,8,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.125,5.375,3.0,1.375,1.125,0.378625,0.28125,0.78125,20.1375,105.25,98.625,14.45,0.988631
Jimmy Butler,2023-11-11,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9,0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.333333333333334,4.777777777777778,2.6666666666666665,1.2222222222222223,1.0,0.3365555555555555,0.25,0.6944444444444444,17.9,93.55555555555556,87.66666666666667,12.844444444444443,1.09741
Jimmy Butler,2023-11-12,37,19,6,4,0,1.0,0.357,0.333,0.529,24.7,-4.3,2,0.889,113.0,121.0,14.5,10,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.8,4.9,2.8,1.1,1.1,0.3386,0.2583,0.7139,18.58,95.5,91.0,13.01,1.09937
Jimmy Butler,2023-11-14,34,32,4,5,2,0.0,0.714,1.0,0.794,31.9,12.0,3,0.786,146.0,118.0,29.5,11,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1,4.0,2.9,1.1,1.4,0.3767,0.3583,0.7147,19.0,98.3,92.0,13.97,1.31314
Jimmy Butler,2023-11-16,35,36,5,3,1,3.0,0.632,0.4,0.755,38.4,10.6,4,0.909,134.0,120.0,30.6,12,1,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3,4.0,2.9,1.1,1.7,0.4126,0.3983,0.7167,20.79,100.7,91.8,15.85,1.05866
Jimmy Butler,2023-11-18,33,25,3,2,1,0.0,0.5,0.333,0.655,29.6,4.4,2,1.0,118.0,115.0,17.5,13,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8,4.3,3.1,1.2,1.9,0.4626,0.4316,0.8167,23.75,112.5,103.3,17.6,1.03323
Jimmy Butler,2023-11-20,29,16,3,6,1,0.0,0.364,0.0,0.535,26.0,-1.3,1,0.889,125.0,112.0,13.8,14,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1,4.2,3.3,1.3,1.9,0.4626,0.3816,0.8056000000000001,24.24,113.4,102.2,17.839999999999996,1.01597
Jimmy Butler,2023-11-22,28,10,4,9,2,2.0,0.25,0.2,0.363,23.8,3.6,1,0.75,114.0,97.0,12.7,15,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1,3.9,3.9,1.4,1.9,0.4438,0.4016,0.8056000000000001,24.11,113.3,100.8,17.490000000000002,1.0817
Jimmy Butler,2023-11-24,37,23,2,3,1,0.0,0.5,0.6,0.691,22.7,6.1,2,1.0,127.0,107.0,17.3,16,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4,3.4,4.0,1.2,1.9,0.4301999999999999,0.4115999999999999,0.8223,24.11,113.1,100.8,17.339999999999996,1.15073
