Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_MIA,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Jimmy Butler,2022-10-19,37,24,8,3,1,1.0,0.455,0.0,0.665,23.6,5.9,2,0.875,137.0,112.0,22.1,1,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,8.0,3.0,1.0,2.0,0.455,0.0,0.875,23.6,137.0,112.0,22.1,0.0
Jimmy Butler,2022-10-21,40,18,7,5,1,0.0,0.529,0.0,0.529,18.9,2.9,0,0.0,127.0,123.0,17.5,2,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.5,4.0,1.0,1.0,0.492,0.0,0.4375,21.25,132.0,117.5,19.8,1.14931
Jimmy Butler,2022-10-22,35,24,4,5,0,0.0,0.438,1.0,0.576,30.6,0.4,2,0.818,118.0,119.0,17.1,3,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22.0,6.333333333333333,4.333333333333333,0.6666666666666666,1.3333333333333333,0.474,0.3333333333333333,0.5643333333333334,24.366666666666664,127.33333333333331,118.0,18.9,1.12763
Jimmy Butler,2022-10-24,34,26,8,4,0,0.0,0.533,0.667,0.686,26.5,13.7,1,0.889,137.0,106.0,22.9,4,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0,6.75,4.25,0.5,1.25,0.48875,0.41675,0.6455,24.9,129.75,115.0,19.9,1.13633
Jimmy Butler,2022-10-26,28,17,5,5,2,0.0,0.467,0.0,0.507,27.4,2.2,1,0.75,125.0,104.0,15.7,5,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.8,6.4,4.4,0.8,1.2,0.4844,0.3334,0.6664,25.4,128.8,112.8,19.06,1.13183
Jimmy Butler,2022-10-27,37,27,6,8,6,0.0,0.615,0.571,0.84,21.3,19.3,2,1.0,159.0,114.0,32.1,6,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.666666666666668,6.333333333333333,5.0,1.6666666666666667,1.3333333333333333,0.5061666666666667,0.373,0.722,24.71666666666667,133.83333333333334,113.0,21.23333333333333,1.25689
Jimmy Butler,2022-10-29,37,13,7,6,2,0.0,0.364,0.0,0.462,18.8,-0.3,2,0.714,102.0,117.0,12.8,7,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.285714285714285,6.428571428571429,5.142857142857143,1.7142857142857142,1.4285714285714286,0.4858571428571429,0.3197142857142857,0.7208571428571428,23.87142857142857,129.28571428571428,113.57142857142856,20.028571428571432,1.24378
Jimmy Butler,2022-11-01,37,23,6,8,0,1.0,0.353,0.286,0.549,27.9,2.6,3,1.0,120.0,114.0,19.4,8,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,6.375,5.5,1.5,1.625,0.46925,0.3155,0.7557499999999999,24.375,128.125,113.625,19.95,1.2137
Jimmy Butler,2022-11-02,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.11111111111111,5.666666666666667,4.888888888888889,1.3333333333333333,1.4444444444444444,0.4171111111111111,0.2804444444444444,0.6717777777777777,21.666666666666668,113.88888888888889,101.0,17.733333333333334,1.01432
Jimmy Butler,2022-11-04,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,5.1,4.4,1.2,1.3,0.3754,0.2524,0.6045999999999999,19.5,102.5,90.9,15.96,1.07694
