Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_NYK,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Jalen Brunson,36,15,6,9,0,0.0,0.389,0.25,0.417,20.5,1.3,0,0.0,112.0,115.0,12.9,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0,9.0,0.0,0.0,0.389,0.25,0.0,20.5,112.0,115.0,12.9,0.0,0,2022,10,19,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Jalen Brunson,28,17,2,6,1,0.0,0.545,0.5,0.644,19.1,5.9,0,0.6,147.0,104.0,15.9,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,7.5,0.5,0.0,0.467,0.375,0.3,19.8,129.5,109.5,14.4,1.04095,1,2022,10,21,4,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
Jalen Brunson,33,21,3,6,2,0.0,0.5,0.5,0.606,25.2,4.1,3,1.0,122.0,108.0,15.1,3,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.666666666666668,3.6666666666666665,7.0,1.0,1.0,0.478,0.4166666666666667,0.5333333333333333,21.6,127.0,109.0,14.633333333333333,1.23393,2,2022,10,24,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
Jalen Brunson,41,27,7,13,1,1.0,0.667,0.4,0.785,21.5,10.2,3,1.0,151.0,117.0,29.6,4,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.5,8.5,1.0,1.5,0.52525,0.4125,0.65,21.575,133.0,111.0,18.375,1.04531,3,2022,10,26,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Jalen Brunson,33,13,3,2,1,0.0,0.3,0.25,0.466,20.6,-8.3,3,0.667,86.0,120.0,5.1,5,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6,4.2,7.2,1.0,1.8,0.4802,0.38,0.6534000000000001,21.380000000000003,123.6,112.8,15.72,0.925126,4,2022,10,28,4,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
Jalen Brunson,34,16,4,7,3,0.0,0.421,0.0,0.412,25.6,-0.4,1,0.0,99.0,118.0,12.8,6,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.166666666666668,4.166666666666667,7.166666666666667,1.3333333333333333,1.6666666666666667,0.4703333333333333,0.3166666666666666,0.5445000000000001,22.08333333333333,119.5,113.66666666666669,15.233333333333334,1.11136,5,2022,10,30,6,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
Jalen Brunson,31,20,1,5,0,1.0,0.533,0.25,0.597,26.7,1.3,3,0.75,110.0,120.0,13.0,7,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.428571428571427,3.7142857142857135,6.857142857142857,1.1428571428571428,1.8571428571428568,0.4792857142857142,0.3071428571428571,0.573857142857143,22.74285714285714,118.14285714285714,114.57142857142856,14.914285714285716,1.30593,6,2022,11,2,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Jalen Brunson,36,23,6,7,0,0.0,0.467,0.25,0.607,23.7,3.9,1,0.889,135.0,106.0,19.8,8,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,4.0,6.875,1.0,1.75,0.47775,0.3,0.6132500000000001,22.8625,120.25,113.5,15.525,1.2757,7,2022,11,4,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Jalen Brunson,33,22,3,10,0,0.0,0.588,0.0,0.615,23.9,4.6,0,1.0,151.0,145.0,21.6,9,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.33333333333333,3.888888888888889,7.222222222222222,0.8888888888888888,1.5555555555555556,0.49,0.2666666666666666,0.6562222222222223,22.97777777777777,123.66666666666669,117.0,16.200000000000003,1.09982,8,2022,11,5,5,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
Jalen Brunson,34,23,5,8,0,0.0,0.643,0.4,0.751,22.6,4.4,3,1.0,139.0,111.0,20.1,10,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7,4.0,7.3,0.8,1.7,0.5053,0.2799999999999999,0.6906000000000001,22.94,125.2,116.4,16.59,1.09231,9,2022,11,7,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
