Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_NYK,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_HOU,OPP_IND,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Jalen Brunson,34,24,3,8,0,0.0,0.45,0.333,0.541,28.8,-1.9,2,0.6,117.0,125.0,16.5,11,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,3.1,7.0,0.5,2.0,0.4506,0.3476,0.7522,29.34,119.5,117.6,17.82,1.11737,10,2024,11,13,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Jalen Brunson,34,37,3,7,0,0.0,0.6,0.375,0.732,36.7,5.3,3,0.833,141.0,132.0,28.2,12,1,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6,2.9,7.2,0.5,2.2,0.458,0.3251,0.7605,29.8,119.5,120.2,18.57,1.4044,11,2024,11,15,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Jalen Brunson,34,12,5,10,2,0.0,0.214,0.0,0.342,27.5,-9.0,3,0.75,93.0,113.0,8.9,13,1,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.7,3.1,7.5,0.7,2.4,0.4461,0.3251,0.7641,29.4,119.2,119.4,18.4,1.22409,12,2024,11,17,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
Jalen Brunson,30,26,1,11,1,0.0,0.6,0.556,0.797,24.7,16.5,0,1.0,175.0,114.0,27.7,14,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.1,3.0,7.7,0.8,2.3,0.4728,0.3378,0.7766,28.95,124.7,118.5,19.44,1.20082,13,2024,11,18,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
Jalen Brunson,37,36,2,10,1,0.0,0.571,0.636,0.776,33.5,7.5,5,1.0,143.0,129.0,29.7,15,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.1,3.1,8.2,0.7,2.6,0.4663,0.3264,0.8266,28.81,124.9,121.3,19.57,1.19289,14,2024,11,20,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Jalen Brunson,37,23,2,8,1,0.0,0.421,0.222,0.542,26.3,-0.9,2,1.0,115.0,126.0,16.9,16,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.5,3.0,8.2,0.7,2.7,0.4709,0.2986,0.8266,28.380000000000003,124.4,121.6,19.07,1.13411,15,2024,11,23,5,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
Jalen Brunson,38,23,3,17,0,0.0,0.571,0.8,0.751,20.0,7.8,2,1.0,162.0,123.0,26.4,17,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.7,3.0,9.5,0.7,2.6,0.4835999999999999,0.3422,0.8766,27.7,130.6,120.9,20.64,0.996702,16,2024,11,25,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
Jalen Brunson,36,37,3,7,2,0.0,0.667,0.0,0.728,33.4,11.3,2,0.9,143.0,133.0,31.7,18,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,3.1,9.3,0.8,2.8,0.5074,0.3422,0.8916000000000001,28.880000000000003,131.8,123.6,22.34,1.05286,17,2024,11,27,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Jalen Brunson,37,31,6,6,1,1.0,0.5,0.667,0.666,30.0,11.6,2,0.75,140.0,104.0,24.9,19,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.7,3.1,8.9,0.9,2.7,0.4926999999999999,0.3589,0.8833,29.140000000000004,131.4,120.5,21.94,0.978777,18,2024,11,29,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Jalen Brunson,26,16,2,9,0,0.0,0.364,0.429,0.606,25.3,2.2,3,1.0,133.0,97.0,13.4,20,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5,3.0,9.3,0.8,2.4,0.4957999999999999,0.4018,0.8833,28.620000000000005,136.2,119.6,22.43,1.13034,19,2024,12,1,6,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334
