Player,Date,TM,Home/Away,OPP,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc
Kawhi Leonard,2022-10-20,LAC,@,LAL,21:17,14,7,2,1,0,.500,.250,.543,29.0,3.5,2,.500,103,92,9.3
Kawhi Leonard,2022-10-22,LAC,@,SAC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kawhi Leonard,2022-10-23,LAC,,PHO,20:42,11,6,2,2,0,.333,.000,.606,24.5,5.9,2,1.000,121,112,11.2
Kawhi Leonard,2022-10-25,LAC,@,OKC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kawhi Leonard,2022-10-27,LAC,@,OKC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kawhi Leonard,2022-10-30,LAC,,NOP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kawhi Leonard,2022-10-31,LAC,,HOU,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kawhi Leonard,2022-11-02,LAC,@,HOU,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kawhi Leonard,2022-11-04,LAC,@,SAS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kawhi Leonard,2022-11-06,LAC,,UTA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kawhi Leonard,2022-11-07,LAC,,CLE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kawhi Leonard,2022-11-09,LAC,,LAL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kawhi Leonard,2022-11-12,LAC,,BRK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kawhi Leonard,2022-11-14,LAC,@,HOU,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kawhi Leonard,2022-11-15,LAC,@,DAL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kawhi Leonard,2022-11-17,LAC,,DET,24:31,6,5,4,0,0,.250,.000,.307,17.4,-2.1,0,.500,87,93,3.9
Kawhi Leonard,2022-11-19,LAC,,SAS,22:08,11,1,4,0,0,.625,.333,.688,19.3,1.4,1,,135,115,9.5
Kawhi Leonard,2022-11-21,LAC,,UTA,23:06,8,1,5,0,1,.364,.000,.364,19.8,-2.6,0,,103,122,6.4
Kawhi Leonard,2022-11-23,LAC,@,GSW,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kawhi Leonard,2022-11-25,LAC,,DEN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kawhi Leonard,2022-11-27,LAC,,IND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kawhi Leonard,2022-11-29,LAC,@,POR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kawhi Leonard,2022-11-30,LAC,@,UTA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kawhi Leonard,2022-12-03,LAC,,SAC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kawhi Leonard,2022-12-05,LAC,@,CHO,27:58,16,6,2,0,0,.467,.000,.504,25.4,-7.4,1,1.000,107,120,9.7
Kawhi Leonard,2022-12-07,LAC,@,ORL,30:12,14,7,3,0,0,.267,.333,.418,30.0,-9.2,4,1.000,83,115,5.3
Kawhi Leonard,2022-12-08,LAC,@,MIA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kawhi Leonard,2022-12-10,LAC,@,WAS,30:25,13,8,6,1,0,.385,.200,.468,19.7,1.9,0,1.000,116,109,13.5
Kawhi Leonard,2022-12-12,LAC,,BOS,29:12,25,9,6,1,0,.833,.667,.854,25.3,20.6,2,.500,155,97,24.5
Kawhi Leonard,2022-12-14,LAC,,MIN,30:37,19,8,1,2,1,.389,.167,.460,30.2,4.4,1,.667,102,87,13.2
Kawhi Leonard,2022-12-15,LAC,,PHO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kawhi Leonard,2022-12-17,LAC,,WAS,31:52,31,9,1,3,1,.462,.400,.525,44.0,10.2,3,.625,102,88,21.3
Kawhi Leonard,2022-12-21,LAC,,CHO,30:54,16,7,4,1,0,.417,.250,.546,20.6,0.6,1,.833,118,97,14.1
Kawhi Leonard,2022-12-23,LAC,@,PHI,33:35,28,3,5,0,0,.632,.500,.674,31.9,3.6,2,.750,127,132,21.5
Kawhi Leonard,2022-12-26,LAC,@,DET,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kawhi Leonard,2022-12-27,LAC,@,TOR,34:36,15,7,8,1,1,.417,.500,.528,18.8,4.2,1,.800,137,119,16.6
Kawhi Leonard,2022-12-29,LAC,@,BOS,36:53,26,8,3,0,1,.688,.500,.791,23.6,5.7,3,1.000,127,117,19.8
Kawhi Leonard,2022-12-31,LAC,@,IND,35:06,24,5,7,2,0,.471,.200,.598,28.0,2.7,2,1.000,133,131,22.5
Kawhi Leonard,2023-01-02,LAC,,MIA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kawhi Leonard,2023-01-05,LAC,@,DEN,18:17,6,3,2,1,0,.286,.000,.381,21.4,-6.1,1,1.000,76,122,4.2
Kawhi Leonard,2023-01-06,LAC,@,MIN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kawhi Leonard,2023-01-08,LAC,,ATL,38:26,29,7,4,2,0,.391,.500,.529,28.6,7.7,0,.900,130,114,23.0
Kawhi Leonard,2023-01-10,LAC,,DAL,35:55,33,9,4,4,1,.750,.600,.955,23.8,28.4,2,1.000,179,99,36.8
Kawhi Leonard,2023-01-13,LAC,,DEN,38:00,24,8,4,1,0,.500,.000,.551,29.7,0.4,3,1.000,112,126,18.0
Kawhi Leonard,2023-01-15,LAC,,HOU,32:04,30,6,4,2,1,.500,.600,.592,39.1,3.8,4,1.000,113,98,20.9
Kawhi Leonard,2023-01-17,LAC,,PHI,35:59,27,4,1,1,1,.500,.333,.585,32.0,0.7,3,.714,109,126,16.4
Kawhi Leonard,2023-01-18,LAC,@,UTA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kawhi Leonard,2023-01-20,LAC,@,SAS,38:23,36,4,7,2,0,.722,.800,.872,28.7,14.9,2,1.000,171,144,35.5
Kawhi Leonard,2023-01-22,LAC,@,DAL,38:43,30,9,3,1,0,.556,.750,.712,26.0,12.9,0,1.000,157,111,27.6
Kawhi Leonard,2023-01-24,LAC,@,LAL,35:19,25,9,3,2,2,.688,.000,.704,24.9,5.2,1,.750,147,112,24.6
Kawhi Leonard,2023-01-26,LAC,,SAS,31:21,27,3,7,1,0,.625,.333,.724,27.6,10.5,0,.833,161,112,25.8
Kawhi Leonard,2023-01-28,LAC,@,ATL,38:43,32,8,4,1,1,.600,.500,.750,28.2,9.8,2,1.000,139,118,27.7
Kawhi Leonard,2023-01-29,LAC,@,CLE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kawhi Leonard,2023-01-31,LAC,@,CHI,39:51,33,4,5,5,2,.458,.500,.590,31.0,16.5,1,.889,124,97,31.1
Kawhi Leonard,2023-02-02,LAC,@,MIL,39:39,17,11,5,1,2,.269,.167,.316,30.5,-2.8,1,1.000,76,102,9.0
Kawhi Leonard,2023-02-04,LAC,@,NYK,41:21,35,5,3,4,0,.478,.333,.619,32.2,6.3,2,1.000,129,117,28.9
Kawhi Leonard,2023-02-06,LAC,@,BRK,34:18,24,4,6,1,0,.471,.750,.611,25.7,5.0,1,.833,134,121,19.9
Kawhi Leonard,2023-02-08,LAC,,DAL,32:13,18,4,4,2,1,.583,1.000,.654,19.3,8.6,0,.750,141,113,18.3
Kawhi Leonard,2023-02-10,LAC,,MIL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kawhi Leonard,2023-02-14,LAC,,GSW,34:26,33,7,4,1,1,.706,.778,.923,24.0,18.7,1,1.000,173,128,31.5
Kawhi Leonard,2023-02-16,LAC,@,PHO,35:27,16,9,4,1,1,.278,.000,.388,28.4,-5.5,2,1.000,88,107,11.0
Kawhi Leonard,2023-02-24,LAC,,SAC,46:02,44,4,4,3,2,.727,.667,.893,24.2,11.6,2,1.000,162,132,39.8
Kawhi Leonard,2023-02-26,LAC,@,DEN,38:38,33,6,2,0,1,.632,.750,.733,29.2,5.4,2,.750,131,127,24.0
Kawhi Leonard,2023-02-28,LAC,,MIN,38:37,23,5,5,1,0,.368,.500,.531,26.2,2.1,3,1.000,104,107,15.1
Kawhi Leonard,2023-03-02,LAC,@,GSW,31:53,21,7,0,2,2,.667,.667,.739,20.0,12.5,1,.600,129,105,19.1
Kawhi Leonard,2023-03-03,LAC,@,SAC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kawhi Leonard,2023-03-05,LAC,,MEM,38:09,34,10,4,1,0,.450,.429,.661,30.8,5.5,3,1.000,139,126,27.8
Kawhi Leonard,2023-03-08,LAC,,TOR,39:41,24,12,4,3,0,.533,1.000,.633,27.3,4.9,4,.778,116,99,20.9
Kawhi Leonard,2023-03-11,LAC,,NYK,36:48,38,4,2,1,0,.636,.500,.758,33.3,18.3,1,1.000,146,108,30.0
Kawhi Leonard,2023-03-15,LAC,,GSW,36:09,30,8,5,2,0,.526,.429,.679,27.3,8.1,2,1.000,143,125,26.6
Kawhi Leonard,2023-03-18,LAC,,ORL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kawhi Leonard,2023-03-19,LAC,@,POR,39:47,24,5,2,2,0,.500,.286,.575,22.3,3.1,0,1.000,134,113,18.9
Kawhi Leonard,2023-03-21,LAC,,OKC,38:14,21,6,5,2,0,.438,.400,.550,25.6,4.1,3,.714,106,106,15.3
Kawhi Leonard,2023-03-23,LAC,,OKC,34:30,32,6,6,4,0,.867,.750,.955,24.7,20.4,2,.750,171,103,34.3
Kawhi Leonard,2023-03-25,LAC,,NOP,27:26,12,6,4,2,0,.250,.000,.322,35.0,-14.6,2,.667,74,126,6.2
Kawhi Leonard,2023-03-27,LAC,,CHI,33:16,22,7,6,1,1,.615,.600,.768,21.5,7.5,1,1.000,154,116,22.3
Kawhi Leonard,2023-03-29,LAC,@,MEM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kawhi Leonard,2023-03-31,LAC,@,MEM,17:55,12,3,0,1,2,.444,.500,.607,27.7,7.6,2,1.000,94,98,8.2
Kawhi Leonard,2023-04-01,LAC,@,NOP,41:24,40,8,4,0,1,.536,.500,.653,35.0,10.1,2,1.000,133,133,30.3
Kawhi Leonard,2023-04-05,LAC,,LAL,42:56,25,7,4,0,0,.529,.571,.666,20.9,1.9,1,.750,133,122,19.8
Kawhi Leonard,2023-04-08,LAC,,POR,28:47,27,8,4,0,1,.412,.375,.631,33.0,4.6,2,1.000,135,124,22.2
Kawhi Leonard,2023-04-09,LAC,@,PHO,35:56,25,15,6,0,0,.524,.000,.539,30.1,0.5,4,.600,103,107,17.0
