Player,Date,TM,Home/Away,OPP,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc
Stephen Curry,2022-10-18,GSW,,LAL,32:48,33,6,7,4,1,.455,.308,.636,34.5,16.5,4,1.000,121,89,29.0
Stephen Curry,2022-10-21,GSW,,DEN,35:55,34,5,4,0,0,.455,.455,.655,32.8,3.0,3,1.000,122,127,23.5
Stephen Curry,2022-10-23,GSW,,SAC,31:21,33,5,2,1,0,.500,.583,.694,34.0,7.6,2,1.000,124,115,22.7
Stephen Curry,2022-10-25,GSW,@,PHO,29:55,21,7,8,1,0,.412,.444,.547,29.1,8.9,1,.600,119,130,18.4
Stephen Curry,2022-10-27,GSW,,MIA,36:57,33,7,9,1,0,.591,.500,.750,27.6,17.6,3,,150,112,29.6
Stephen Curry,2022-10-29,GSW,@,CHO,38:54,31,11,6,1,0,.455,.231,.607,32.0,5.8,2,1.000,121,110,24.1
Stephen Curry,2022-10-30,GSW,@,DET,34:58,32,6,3,2,0,.417,.286,.572,34.0,6.8,1,.889,122,124,23.3
Stephen Curry,2022-11-01,GSW,@,MIA,34:30,23,13,13,1,0,.500,.400,.710,26.5,12.9,5,1.000,135,116,25.4
Stephen Curry,2022-11-03,GSW,@,ORL,38:20,39,3,9,0,0,.591,.533,.806,31.1,12.1,5,1.000,138,128,30.2
Stephen Curry,2022-11-04,GSW,@,NOP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stephen Curry,2022-11-07,GSW,,SAC,37:43,47,8,8,0,0,.708,.583,.868,30.7,26.9,0,.857,176,113,43.8
Stephen Curry,2022-11-11,GSW,,CLE,34:00,40,4,5,1,0,.652,.545,.780,38.2,20.5,2,.667,140,108,31.2
Stephen Curry,2022-11-13,GSW,@,SAC,36:51,27,6,4,1,0,.529,.333,.687,26.8,3.9,4,1.000,117,118,20.3
Stephen Curry,2022-11-14,GSW,,SAS,27:01,16,5,5,1,0,.455,.429,.649,22.1,3.6,1,1.000,136,96,15.3
Stephen Curry,2022-11-16,GSW,@,PHO,36:14,50,9,6,0,1,.607,.636,.782,39.8,20.7,3,1.000,139,123,41.0
Stephen Curry,2022-11-18,GSW,,NYK,33:50,24,6,10,2,0,.474,.385,.591,31.0,9.1,5,.333,108,98,18.5
Stephen Curry,2022-11-20,GSW,@,HOU,36:59,33,6,15,3,2,.550,.500,.743,27.5,22.2,1,.800,162,113,37.5
Stephen Curry,2022-11-21,GSW,@,NOP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stephen Curry,2022-11-23,GSW,,LAC,31:41,22,6,9,0,0,.450,.400,.550,27.5,5.4,1,,127,112,19.1
Stephen Curry,2022-11-25,GSW,,UTA,35:43,33,5,4,2,0,.565,.462,.704,31.2,5.3,5,1.000,121,115,21.8
Stephen Curry,2022-11-27,GSW,@,MIN,32:37,25,11,8,1,0,.412,.364,.623,35.6,-1.5,7,1.000,110,109,18.8
Stephen Curry,2022-11-29,GSW,@,DAL,37:48,32,5,5,0,0,.458,.357,.601,33.5,2.9,4,.833,112,115,19.0
Stephen Curry,2022-12-02,GSW,,CHI,33:23,19,11,6,0,1,.375,.500,.548,28.9,-3.6,6,1.000,90,101,10.4
Stephen Curry,2022-12-03,GSW,,HOU,34:32,30,3,10,1,1,.476,.471,.672,35.7,11.2,4,.667,124,108,24.5
Stephen Curry,2022-12-05,GSW,,IND,37:42,12,4,6,1,0,.176,.200,.320,24.2,-10.9,3,1.000,73,115,3.9
Stephen Curry,2022-12-07,GSW,@,UTA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stephen Curry,2022-12-10,GSW,,BOS,37:27,32,6,7,0,1,.571,.545,.731,29.1,11.2,4,1.000,131,108,24.7
Stephen Curry,2022-12-13,GSW,@,MIL,27:19,20,6,1,1,1,.353,.300,.521,30.7,2.9,2,1.000,102,119,13.5
Stephen Curry,2022-12-14,GSW,@,IND,29:33,38,7,7,2,1,.579,.500,.797,35.8,25.4,3,1.000,153,110,35.4
Stephen Curry,2022-12-16,GSW,@,PHI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stephen Curry,2022-12-18,GSW,@,TOR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stephen Curry,2022-12-20,GSW,@,NYK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stephen Curry,2022-12-21,GSW,@,BRK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stephen Curry,2022-12-25,GSW,,MEM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stephen Curry,2022-12-27,GSW,,CHO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stephen Curry,2022-12-28,GSW,,UTA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stephen Curry,2022-12-30,GSW,,POR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stephen Curry,2023-01-02,GSW,,ATL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stephen Curry,2023-01-04,GSW,,DET,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stephen Curry,2023-01-07,GSW,,ORL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stephen Curry,2023-01-10,GSW,,PHO,31:16,24,1,3,1,0,.364,.333,.505,30.9,0.3,1,.750,110,130,12.6
Stephen Curry,2023-01-13,GSW,@,SAS,23:07,15,4,3,0,1,.500,.286,.603,21.2,0.0,0,1.000,136,106,11.8
Stephen Curry,2023-01-15,GSW,@,CHI,34:29,20,10,4,0,1,.533,.300,.630,28.7,-8.1,8,.500,80,124,10.0
Stephen Curry,2023-01-16,GSW,@,WAS,37:50,41,7,2,0,0,.429,.400,.616,42.1,1.5,4,.917,116,120,25.3
Stephen Curry,2023-01-19,GSW,@,BOS,43:05,29,4,7,3,2,.360,.333,.533,29.5,9.0,3,1.000,103,104,22.2
Stephen Curry,2023-01-20,GSW,@,CLE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stephen Curry,2023-01-22,GSW,,BRK,37:35,26,6,7,1,0,.438,.500,.666,28.0,3.9,5,1.000,117,124,19.9
Stephen Curry,2023-01-25,GSW,,MEM,34:47,34,2,3,2,0,.526,.500,.713,31.3,7.7,3,.909,136,118,24.8
Stephen Curry,2023-01-27,GSW,,TOR,38:47,35,7,11,2,0,.619,.500,.754,29.9,13.4,3,1.000,141,110,33.9
Stephen Curry,2023-01-30,GSW,@,OKC,36:36,38,8,12,0,1,.600,.571,.839,30.7,19.0,4,1.000,147,114,36.7
Stephen Curry,2023-02-01,GSW,@,MIN,42:22,29,10,3,1,1,.381,.417,.581,29.5,3.2,4,.889,104,103,17.9
Stephen Curry,2023-02-02,GSW,@,DEN,33:11,28,5,5,0,0,.588,.500,.764,31.9,1.9,6,1.000,121,137,18.3
Stephen Curry,2023-02-04,GSW,,DAL,25:33,21,6,7,0,0,.636,.333,.795,23.8,13.7,0,1.000,171,117,22.0
Stephen Curry,2023-02-06,GSW,,OKC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stephen Curry,2023-02-08,GSW,@,POR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stephen Curry,2023-02-11,GSW,,LAL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stephen Curry,2023-02-13,GSW,,WAS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stephen Curry,2023-02-14,GSW,@,LAC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stephen Curry,2023-02-23,GSW,@,LAL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stephen Curry,2023-02-24,GSW,,HOU,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stephen Curry,2023-02-26,GSW,,MIN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stephen Curry,2023-02-28,GSW,,POR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
