Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_NOP,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Zion Williamson,2020-12-23,30,15,10,3,1,1.0,0.778,0.0,0.697,24.1,-3.3,6,0.25,97.0,96.0,11.5,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,10.0,3.0,1.0,6.0,0.778,0.0,0.25,24.1,97.0,96.0,11.5,0.0
Zion Williamson,2020-12-25,38,32,14,1,1,0.0,0.55,0.0,0.602,33.3,6.3,3,0.667,117.0,115.0,24.5,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,12.0,2.0,1.0,4.5,0.664,0.0,0.4585,28.7,107.0,105.5,18.0,1.04497
Zion Williamson,2020-12-27,38,18,11,0,5,1.0,0.318,0.0,0.359,28.7,1.2,1,0.571,83.0,84.0,13.0,3,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.666666666666668,11.666666666666666,1.3333333333333333,2.333333333333333,3.333333333333333,0.5486666666666667,0.0,0.496,28.7,99.0,98.33333333333331,16.333333333333332,1.06182
Zion Williamson,2020-12-29,29,20,2,0,1,0.0,0.692,0.0,0.639,27.5,3.6,1,0.333,117.0,128.0,13.5,4,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.25,9.25,1.0,2.0,2.75,0.5845,0.0,0.45525,28.4,103.5,105.75,15.625,0.9995
Zion Williamson,2020-12-31,17,12,5,1,0,0.0,0.667,0.0,0.694,28.6,-2.6,3,0.667,117.0,88.0,7.8,5,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,8.4,1.0,1.6,2.8,0.601,0.0,0.4976,28.44,106.2,102.2,14.06,1.13122
Zion Williamson,2021-01-02,33,21,7,1,0,1.0,0.583,0.0,0.64,24.6,-2.5,3,0.7,115.0,122.0,14.7,6,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.666666666666668,8.166666666666666,1.0,1.3333333333333333,2.833333333333333,0.598,0.0,0.5313333333333333,27.8,107.66666666666669,105.5,14.166666666666666,0.803971
Zion Williamson,2021-01-04,35,24,10,2,1,1.0,0.474,0.0,0.533,29.7,3.3,3,0.75,107.0,107.0,17.4,7,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.285714285714285,8.428571428571429,1.1428571428571428,1.2857142857142858,2.857142857142857,0.5802857142857143,0.0,0.5625714285714285,28.071428571428573,107.57142857142856,105.71428571428572,14.62857142857143,1.10575
Zion Williamson,2021-01-06,32,29,6,1,3,0.0,0.706,0.0,0.738,28.1,10.3,2,0.833,136.0,103.0,25.0,8,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.375,8.125,1.125,1.5,2.75,0.596,0.0,0.596375,28.075,111.125,105.375,15.925,1.14912
Zion Williamson,2021-01-08,34,26,8,3,0,0.0,0.545,0.0,0.547,35.5,-3.0,3,0.5,111.0,133.0,18.1,9,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.88888888888889,8.11111111111111,1.3333333333333333,1.3333333333333333,2.7777777777777777,0.5903333333333333,0.0,0.5856666666666667,28.9,111.11111111111111,108.44444444444444,16.166666666666668,0.902869
Zion Williamson,2021-01-13,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7,7.3,1.2,1.2,2.5,0.5313,0.0,0.5271,26.01,100.0,97.6,14.55,1.22735
