Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,PTS_rolling_avg,TM_ATL,TM_BOS,TM_BRK,TM_CHI,TM_CHO,TM_CLE,TM_DAL,TM_DEN,TM_DET,TM_GSW,TM_HOU,TM_IND,TM_LAC,TM_LAL,TM_MEM,TM_MIA,TM_MIL,TM_MIN,TM_NOP,TM_NYK,TM_OKC,TM_ORL,TM_PHI,TM_PHO,TM_POR,TM_SAC,TM_SAS,TM_TOR,TM_UTA,TM_WAS,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Bam Adebayo,35,25,11,4,0,1.0,0.688,0.0,0.704,30.2,-0.3,7,0.75,104.0,109.0,17.2,1,0,1,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,0.0,7.0,0.688,0.0,0.75,30.2,104.0,109.0,17.2,0.0,0,2020,12,23,2,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434
Bam Adebayo,28,17,4,2,2,1.0,0.556,0.0,0.679,25.9,1.3,3,0.875,113.0,97.0,13.8,2,1,1,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,3.0,1.0,5.0,0.622,0.0,0.8125,28.05,108.5,103.0,15.5,0.911602,1,2020,12,25,4,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191
Bam Adebayo,25,12,6,4,1,1.0,0.714,0.0,0.761,22.9,-3.5,5,1.0,97.0,135.0,9.6,3,1,1,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.333333333333333,1.0,5.0,0.6526666666666666,0.0,0.875,26.33333333333333,104.66666666666669,113.66666666666669,13.533333333333331,1.2464,2,2020,12,29,1,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336
Bam Adebayo,35,22,8,10,1,2.0,0.538,0.0,0.632,22.5,13.2,2,0.8,140.0,102.0,24.7,4,1,1,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25,5.0,1.0,4.25,0.624,0.0,0.85625,25.375,113.5,110.75,16.325,0.91219,3,2020,12,30,2,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434
Bam Adebayo,36,19,11,2,4,0.0,0.667,0.0,0.69,21.4,8.7,3,0.75,111.0,87.0,18.7,5,0,1,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.4,1.6,4.0,0.6326,0.0,0.835,24.58,113.0,106.0,16.8,1.12569,4,2021,1,1,4,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
Bam Adebayo,28,20,8,4,0,0.0,0.9,0.0,0.883,20.2,9.9,1,0.667,166.0,94.0,20.0,6,1,1,19.166666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.333333333333333,1.3333333333333333,3.5,0.6771666666666666,0.0,0.807,23.85,121.83333333333331,104.0,17.333333333333332,0.958026,5,2021,1,4,0,0.49999999999999994,0.8660254037844387,0.0,1.0
Bam Adebayo,34,15,8,10,0,2.0,0.5,0.0,0.593,20.7,8.5,2,0.833,128.0,113.0,18.0,7,1,1,18.571428571428573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.142857142857143,1.1428571428571428,3.2857142857142856,0.6518571428571428,0.0,0.8107142857142857,23.4,122.71428571428572,105.28571428571428,17.428571428571427,1.04491,6,2021,1,6,2,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
Bam Adebayo,21,9,16,4,0,1.0,0.5,0.0,0.636,20.6,-3.9,4,0.714,101.0,106.0,8.9,8,0,1,17.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,5.0,1.0,3.375,0.632875,0.0,0.798625,23.05,120.0,105.375,16.3625,1.07982,7,2021,1,9,5,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
Bam Adebayo,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9,0,1,15.444444444444445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.444444444444445,0.8888888888888888,3.0,0.5625555555555555,0.0,0.7098888888888889,20.48888888888889,106.66666666666669,93.66666666666669,14.544444444444444,1.09804,8,2021,1,12,1,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
Bam Adebayo,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10,0,1,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,4.0,0.8,2.7,0.5063,0.0,0.6389,18.44,96.0,84.3,13.09,1.13427,9,2021,1,14,3,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
