Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_BRK,TM_DAL,OPP_ATL,OPP_BOS,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Kyrie Irving,2022-10-19,34,15,2,5,2,0.0,0.316,0.0,0.369,27.1,-8.2,2,1.0,81.0,129.0,7.0,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,5.0,2.0,2.0,0.316,0.0,1.0,27.1,81.0,129.0,7.0,0.0
Kyrie Irving,2022-10-21,41,30,1,7,0,1.0,0.458,0.385,0.592,30.6,4.8,2,1.0,124.0,119.0,20.3,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22.5,1.5,6.0,1.0,2.0,0.387,0.1925,1.0,28.85,102.5,124.0,13.65,1.04413
Kyrie Irving,2022-10-24,39,37,8,5,2,2.0,0.583,0.333,0.672,34.6,10.1,3,0.875,131.0,131.0,31.3,3,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.33333333333333,3.6666666666666665,5.666666666666667,1.3333333333333333,2.333333333333333,0.4523333333333333,0.2393333333333333,0.9583333333333334,30.76666666666667,112.0,126.33333333333331,19.53333333333333,1.30788
Kyrie Irving,2022-10-26,39,27,9,1,1,0.0,0.429,0.0,0.531,28.7,1.2,1,0.9,105.0,106.0,17.3,4,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.25,5.0,4.5,1.25,2.0,0.4465,0.1795,0.94375,30.25,110.25,121.25,18.975,1.02227
Kyrie Irving,2022-10-27,42,39,7,4,3,4.0,0.452,0.357,0.58,38.7,12.2,3,1.0,121.0,115.0,30.2,5,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6,5.4,4.4,1.6,2.2,0.4476,0.215,0.955,31.94,112.4,120.0,21.22,1.19608
Kyrie Irving,2022-10-29,40,35,2,6,0,0.0,0.591,0.417,0.723,31.1,5.6,2,0.8,134.0,145.0,26.8,6,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5,4.833333333333333,4.666666666666667,1.3333333333333333,2.1666666666666665,0.4715,0.2486666666666666,0.9291666666666668,31.8,116.0,124.16666666666669,22.15,1.11975
Kyrie Irving,2022-10-31,43,28,6,6,3,1.0,0.474,0.364,0.647,25.7,5.3,3,1.0,122.0,102.0,24.6,7,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.142857142857142,5.0,4.857142857142857,1.5714285714285714,2.2857142857142856,0.4718571428571428,0.2651428571428571,0.9392857142857144,30.928571428571427,116.85714285714286,121.0,22.5,1.16759
Kyrie Irving,2022-11-01,33,4,6,7,0,1.0,0.167,0.0,0.167,21.9,-14.9,3,0.0,55.0,116.0,-0.8,8,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.875,5.125,5.125,1.375,2.375,0.4337499999999999,0.2319999999999999,0.821875,29.8,109.125,120.375,19.5875,1.10895
Kyrie Irving,2022-11-04,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.88888888888889,4.555555555555555,4.555555555555555,1.2222222222222223,2.111111111111111,0.3855555555555555,0.2062222222222222,0.7305555555555556,26.48888888888889,97.0,107.0,17.41111111111111,1.17027
Kyrie Irving,2022-11-05,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,4.1,4.1,1.1,1.9,0.347,0.1856,0.6575,23.84,87.3,96.3,15.670000000000002,1.21339
