Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_DAL,OPP_ATL,OPP_BOS,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Kyrie Irving,2024-10-24,27,15,3,2,2,1.0,0.353,0.429,0.441,24.4,1.9,0,0.0,104.0,105.0,10.5,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,3.0,2.0,2.0,0.0,0.353,0.429,0.0,24.4,104.0,105.0,10.5,0.0
Kyrie Irving,2024-10-26,39,22,2,5,3,0.0,0.409,0.4,0.481,27.0,1.7,1,1.0,104.0,115.0,14.7,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,2.5,3.5,2.5,0.5,0.381,0.4145,0.5,25.7,104.0,110.0,12.6,1.21422
Kyrie Irving,2024-10-28,36,23,6,9,1,1.0,0.571,0.5,0.73,22.8,10.2,4,1.0,131.0,106.0,22.2,3,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,3.6666666666666665,5.333333333333333,2.0,1.6666666666666667,0.4443333333333333,0.443,0.6666666666666666,24.73333333333333,113.0,108.66666666666669,15.8,1.16943
Kyrie Irving,2024-10-29,39,35,4,5,1,0.0,0.565,0.75,0.694,28.7,11.3,1,0.6,145.0,124.0,27.6,4,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.75,3.75,5.25,1.75,1.5,0.4745,0.5197499999999999,0.65,25.725,121.0,112.5,18.75,0.992507
Kyrie Irving,2024-10-31,43,28,8,7,0,0.0,0.5,0.833,0.657,26.3,8.7,3,1.0,130.0,123.0,23.1,5,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.6,4.6,5.6,1.4,1.8,0.4795999999999999,0.5824,0.72,25.84,122.8,114.6,19.62,1.05003
Kyrie Irving,2024-11-03,28,17,2,3,2,0.0,0.455,0.5,0.604,22.3,6.7,1,0.857,128.0,87.0,13.8,6,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.33333333333333,4.166666666666667,5.166666666666667,1.5,1.6666666666666667,0.4755,0.5686666666666667,0.7428333333333333,25.25,123.66666666666669,110.0,18.65,1.13798
Kyrie Irving,2024-11-04,40,27,5,4,0,0.0,0.524,0.429,0.617,26.5,-2.1,2,1.0,118.0,132.0,18.6,7,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.857142857142858,4.285714285714286,5.0,1.2857142857142858,1.7142857142857142,0.4824285714285714,0.5487142857142857,0.7795714285714286,25.428571428571427,122.85714285714286,113.14285714285714,18.642857142857142,1.21242
Kyrie Irving,2024-11-06,28,17,6,2,3,0.0,0.636,0.333,0.715,19.0,8.3,1,1.0,130.0,87.0,17.3,8,1,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,4.5,4.625,1.5,1.625,0.501625,0.5217499999999999,0.807125,24.625,123.75,109.875,18.475,1.28495
Kyrie Irving,2024-11-08,41,29,7,6,3,0.0,0.588,0.333,0.692,26.9,12.7,2,0.778,142.0,121.0,28.0,9,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.666666666666668,4.777777777777778,4.777777777777778,1.6666666666666667,1.6666666666666667,0.5112222222222222,0.5007777777777778,0.8038888888888889,24.87777777777778,125.77777777777776,111.11111111111111,19.53333333333333,1.13677
Kyrie Irving,2024-11-10,35,43,5,5,1,1.0,0.773,0.75,0.922,30.7,26.2,1,1.0,173.0,126.0,39.7,10,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6,4.8,4.8,1.6,1.6,0.5374,0.5257,0.8234999999999999,25.46,130.5,112.6,21.55,1.17761
