Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_NOP,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Zion Williamson,30,25,9,3,4,0.0,0.5,0.0,0.526,32.9,6.6,2,0.75,117.0,95.0,20.4,1,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,9.0,3.0,4.0,2.0,0.5,0.0,0.75,32.9,117.0,95.0,20.4,0.0,0,2022,10,19,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Zion Williamson,31,16,5,3,1,0.0,0.368,0.0,0.385,30.9,-10.2,3,0.5,87.0,114.0,7.1,2,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,7.0,3.0,2.5,2.5,0.434,0.0,0.625,31.9,102.0,104.5,13.75,0.944882,1,2022,10,21,4,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
Zion Williamson,30,25,6,1,1,2.0,0.625,0.0,0.671,31.2,5.4,4,0.833,113.0,111.0,17.9,3,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,6.666666666666667,2.333333333333333,2.0,3.0,0.4976666666666666,0.0,0.6943333333333334,31.666666666666668,105.66666666666669,106.66666666666669,15.133333333333333,1.08668,2,2022,10,23,6,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
Zion Williamson,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,5.0,1.75,1.5,2.25,0.3732499999999999,0.0,0.52075,23.75,79.25,80.0,11.35,0.916468,3,2022,10,25,1,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
Zion Williamson,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,4.0,1.4,1.2,1.8,0.2986,0.0,0.4166,19.0,63.4,64.0,9.08,0.984875,4,2022,10,28,4,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
Zion Williamson,31,21,12,7,1,0.0,0.529,0.0,0.56,29.2,9.3,1,0.75,131.0,94.0,21.6,6,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,5.333333333333333,2.333333333333333,1.1666666666666667,1.6666666666666667,0.337,0.0,0.4721666666666667,20.7,74.66666666666667,69.0,11.166666666666666,1.18982,5,2022,10,30,6,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
Zion Williamson,37,27,5,7,0,0.0,0.524,0.0,0.551,32.1,0.9,3,0.625,107.0,114.0,17.7,7,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.285714285714285,5.285714285714286,3.0,1.0,1.8571428571428568,0.3637142857142857,0.0,0.494,22.32857142857143,79.28571428571429,75.42857142857143,12.1,1.08884,6,2022,11,2,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Zion Williamson,28,16,3,1,1,0.0,0.636,0.0,0.627,23.3,-3.0,2,0.5,108.0,109.0,10.1,8,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.25,5.0,2.75,1.0,1.875,0.39775,0.0,0.49475,22.45,82.875,79.625,11.85,1.19829,7,2022,11,4,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Zion Williamson,37,29,8,4,0,0.0,0.55,0.0,0.594,32.8,0.0,7,0.7,101.0,114.0,16.4,9,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.666666666666668,5.333333333333333,2.888888888888889,0.8888888888888888,2.4444444444444446,0.4146666666666667,0.0,0.5175555555555555,23.6,84.88888888888889,83.44444444444444,12.355555555555554,0.937944,8,2022,11,5,5,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
Zion Williamson,34,26,7,7,2,1.0,0.667,0.667,0.737,23.0,13.1,1,0.667,154.0,125.0,27.0,10,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,5.5,3.3,1.0,2.3,0.4399,0.0667,0.5325,23.54,91.8,87.6,13.82,0.946124,9,2022,11,7,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
