Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_NOP,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Zion Williamson,32,23,7,3,0,0.0,0.529,0.0,0.573,30.2,-0.1,3,0.714,115.0,109.0,16.3,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,7.0,3.0,0.0,3.0,0.529,0.0,0.714,30.2,115.0,109.0,16.3,0.0,0,2023,10,25,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Zion Williamson,28,24,5,2,1,0.0,0.706,0.0,0.671,28.6,15.0,0,0.0,131.0,89.0,20.4,2,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,6.0,2.5,0.5,1.5,0.6174999999999999,0.0,0.357,29.4,123.0,99.0,18.35,1.12386,1,2023,10,28,5,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
Zion Williamson,30,19,5,3,2,0.0,0.467,0.0,0.501,33.3,-6.2,5,0.556,89.0,130.0,9.5,3,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,5.666666666666667,2.6666666666666665,1.0,2.6666666666666665,0.5673333333333334,0.0,0.4233333333333333,30.7,111.66666666666669,109.33333333333331,15.4,0.979634,2,2023,10,30,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
Zion Williamson,33,20,10,8,0,0.0,0.35,0.0,0.417,32.7,0.3,4,0.667,100.0,109.0,13.4,4,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,6.75,4.0,0.75,3.0,0.513,0.0,0.48425,31.2,108.75,109.25,14.9,1.0581,3,2023,11,1,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Zion Williamson,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,5.4,3.2,0.6,2.4,0.4104,0.0,0.3874,24.96,87.0,87.4,11.92,1.02852,4,2023,11,2,3,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419
Zion Williamson,32,25,5,3,0,0.0,0.563,0.0,0.613,29.7,1.7,0,0.7,134.0,141.0,19.8,6,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,5.333333333333333,3.1666666666666665,0.5,2.0,0.4358333333333333,0.0,0.4395,25.75,94.83333333333331,96.33333333333331,13.233333333333334,1.06678,5,2023,11,4,5,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
Zion Williamson,37,20,10,9,2,0.0,0.455,0.0,0.446,26.7,2.3,0,0.0,116.0,130.0,19.9,7,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.714285714285715,6.0,4.0,0.7142857142857143,1.7142857142857142,0.4385714285714285,0.0,0.3767142857142857,25.885714285714283,97.85714285714286,101.14285714285714,14.185714285714283,1.02969,6,2023,11,6,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
Zion Williamson,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.375,5.25,3.5,0.625,1.5,0.38375,0.0,0.329625,22.65,85.625,88.5,12.4125,0.947723,7,2023,11,8,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Zion Williamson,34,24,8,1,0,1.0,0.5,0.0,0.576,34.2,-3.2,5,0.727,100.0,108.0,12.4,9,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.22222222222222,5.555555555555555,3.2222222222222223,0.5555555555555556,1.8888888888888888,0.3966666666666667,0.0,0.3737777777777777,23.933333333333334,87.22222222222223,90.66666666666669,12.411111111111111,0.938007,8,2023,11,10,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Zion Williamson,27,18,2,4,1,0.0,0.636,0.0,0.62,30.8,-8.0,6,0.5,94.0,128.0,9.1,10,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3,5.2,3.3,0.6,2.3,0.4206,0.0,0.3863999999999999,24.62,87.9,94.4,12.08,1.23258,9,2023,11,12,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
