Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_IND,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Tyrese Haliburton,27,20,3,11,1,2.0,0.563,0.333,0.625,27.3,7.4,3,0.0,126.0,108.0,20.0,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,3.0,11.0,1.0,3.0,0.563,0.333,0.0,27.3,126.0,108.0,20.0,0.0,0,2023,10,25,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Tyrese Haliburton,32,21,8,13,0,0.0,0.438,0.571,0.606,24.4,10.0,1,1.0,142.0,117.0,22.7,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,5.5,12.0,0.5,2.0,0.5005,0.4519999999999999,0.5,25.85,134.0,112.5,21.35,0.995621,1,2023,10,28,5,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
Tyrese Haliburton,36,19,5,13,2,0.0,0.375,0.125,0.498,26.5,4.2,4,0.857,109.0,110.0,18.4,3,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5.333333333333333,12.333333333333334,1.0,2.6666666666666665,0.4586666666666666,0.3429999999999999,0.619,26.066666666666663,125.66666666666669,111.66666666666669,20.366666666666664,1.21587,2,2023,10,30,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
Tyrese Haliburton,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,9.25,0.75,2.0,0.344,0.25725,0.46425,19.55,94.25,83.75,15.275,1.01098,3,2023,11,1,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Tyrese Haliburton,34,18,2,13,2,0.0,0.357,0.0,0.501,26.8,0.4,4,0.889,113.0,112.0,16.7,5,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,3.6,10.0,1.0,2.4,0.3465999999999999,0.2057999999999999,0.5492,21.0,98.0,89.4,15.56,0.891114,4,2023,11,3,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Tyrese Haliburton,37,43,2,12,0,1.0,0.667,0.667,0.893,31.1,21.3,3,1.0,169.0,133.0,39.8,6,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.166666666666668,3.333333333333333,10.333333333333334,0.8333333333333334,2.5,0.3999999999999999,0.2826666666666667,0.6243333333333333,22.683333333333334,109.83333333333331,96.66666666666669,19.6,1.23195,5,2023,11,4,5,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
Tyrese Haliburton,27,23,2,8,1,1.0,0.474,0.429,0.578,32.5,2.9,2,1.0,126.0,107.0,18.8,7,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.571428571428573,3.142857142857143,10.0,0.8571428571428571,2.4285714285714284,0.4105714285714285,0.3035714285714285,0.678,24.085714285714285,112.14285714285714,98.14285714285714,19.485714285714288,1.11048,6,2023,11,6,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
Tyrese Haliburton,31,16,6,13,1,0.0,0.5,0.167,0.601,19.9,5.6,2,1.0,140.0,115.0,20.3,8,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,3.5,10.375,0.875,2.375,0.4217499999999999,0.2865,0.71825,23.5625,115.625,100.25,19.5875,1.29935,7,2023,11,8,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Tyrese Haliburton,38,29,6,10,0,1.0,0.588,0.556,0.773,23.4,10.4,2,1.0,154.0,122.0,28.6,9,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.7777777777777777,10.333333333333334,0.7777777777777778,2.333333333333333,0.4402222222222222,0.3164444444444444,0.7495555555555556,23.544444444444444,119.88888888888889,102.66666666666669,20.58888888888889,1.05451,8,2023,11,9,3,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419
Tyrese Haliburton,36,25,1,17,2,1.0,0.643,0.5,0.793,19.1,17.9,0,1.0,183.0,143.0,33.7,10,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4,3.5,11.0,0.9,2.1,0.4604999999999999,0.3348,0.7746000000000001,23.1,126.2,106.7,21.9,1.04472,9,2023,11,12,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
