Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_OKC,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Shai Gilgeous-Alexander,36,31,5,10,1,2.0,0.667,0.4,0.767,26.9,17.3,1,1.0,161.0,105.0,33.1,1,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,5.0,10.0,1.0,1.0,0.667,0.4,1.0,26.9,161.0,105.0,33.1,0.0,0,2023,10,25,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Shai Gilgeous-Alexander,36,34,11,4,5,1.0,0.577,1.0,0.632,37.5,13.5,5,1.0,106.0,88.0,28.2,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.5,8.0,7.0,3.0,3.0,0.622,0.7,1.0,32.2,133.5,96.5,30.65,1.12382,1,2023,10,27,4,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
Shai Gilgeous-Alexander,28,7,4,7,1,0.0,0.125,0.0,0.197,28.2,-10.4,0,0.75,64.0,134.0,2.9,3,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,6.666666666666667,7.0,2.333333333333333,2.0,0.4563333333333333,0.4666666666666666,0.9166666666666666,30.866666666666664,110.33333333333331,109.0,21.4,0.97219,2,2023,10,29,6,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
Shai Gilgeous-Alexander,33,32,9,4,3,0.0,0.478,0.333,0.593,42.3,0.9,5,1.0,109.0,103.0,23.4,4,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,7.25,6.25,2.5,2.75,0.46175,0.43325,0.9375,33.724999999999994,110.0,107.5,21.9,1.051,3,2023,10,30,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
Shai Gilgeous-Alexander,38,20,5,8,3,0.0,0.4,0.0,0.45,27.0,3.7,2,0.8,96.0,104.0,16.1,5,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.8,6.8,6.6,2.6,2.6,0.4493999999999999,0.3466,0.91,32.379999999999995,107.2,106.8,20.74,1.27545,4,2023,11,1,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Shai Gilgeous-Alexander,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.666666666666668,5.666666666666667,5.5,2.1666666666666665,2.1666666666666665,0.3745,0.2888333333333333,0.7583333333333333,26.98333333333333,89.33333333333333,89.0,17.283333333333335,1.01482,5,2023,11,3,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Shai Gilgeous-Alexander,37,30,8,6,1,0.0,0.55,0.429,0.663,27.0,5.8,2,0.833,133.0,113.0,24.0,7,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,6.0,5.571428571428571,2.0,2.142857142857143,0.3995714285714286,0.3088571428571428,0.769,26.985714285714284,95.57142857142856,92.42857142857144,18.242857142857144,1.08039,6,2023,11,6,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
Shai Gilgeous-Alexander,38,43,7,6,2,1.0,0.682,0.5,0.776,34.6,15.8,3,0.923,152.0,117.0,38.8,8,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.625,6.125,5.625,2.0,2.25,0.434875,0.33275,0.78825,27.9375,102.625,95.5,20.8125,1.01192,7,2023,11,8,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Shai Gilgeous-Alexander,38,33,7,5,2,2.0,0.56,0.0,0.597,34.3,13.1,2,0.833,114.0,100.0,27.3,9,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25.55555555555556,6.222222222222222,5.555555555555555,2.0,2.2222222222222223,0.4487777777777777,0.2957777777777777,0.7932222222222223,28.64444444444445,103.88888888888889,96.0,21.53333333333333,1.04971,8,2023,11,10,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Shai Gilgeous-Alexander,37,35,7,4,1,1.0,0.591,0.4,0.686,34.6,11.4,1,0.875,135.0,105.0,28.8,10,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5,6.3,5.4,1.9,2.1,0.4629999999999999,0.3062,0.8013999999999999,29.24,107.0,96.9,22.26,1.19039,9,2023,11,12,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
