Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_OKC,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Shai Gilgeous-Alexander,36,28,7,8,2,3.0,0.458,0.333,0.534,31.6,17.9,2,0.8,115.0,86.0,25.0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,7.0,8.0,2.0,2.0,0.458,0.333,0.8,31.6,115.0,86.0,25.0,0.0,0,2024,10,24,3,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
Shai Gilgeous-Alexander,30,23,8,2,4,0.0,0.429,0.222,0.515,30.2,11.1,1,1.0,105.0,77.0,19.1,2,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,7.5,5.0,3.0,1.5,0.4435,0.2775,0.9,30.9,110.0,81.5,22.05,1.1101,1,2024,10,26,5,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
Shai Gilgeous-Alexander,36,35,11,9,3,3.0,0.458,0.375,0.607,35.2,18.1,1,0.909,140.0,94.0,35.5,3,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.666666666666668,8.666666666666666,6.333333333333333,3.0,1.3333333333333333,0.4483333333333333,0.31,0.903,32.333333333333336,120.0,85.66666666666667,26.53333333333333,1.12795,2,2024,10,27,6,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
Shai Gilgeous-Alexander,28,18,4,5,1,0.0,0.35,0.2,0.431,35.7,-3.3,1,1.0,92.0,100.0,11.1,4,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,7.5,6.0,2.5,1.25,0.42375,0.2825,0.92725,33.175,113.0,89.25,22.675,1.10201,3,2024,10,30,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Shai Gilgeous-Alexander,28,30,7,6,1,0.0,0.667,0.167,0.727,34.4,8.3,3,0.833,141.0,116.0,26.1,5,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.8,7.4,6.0,2.2,1.6,0.4724,0.2594,0.9084,33.42,118.6,94.6,23.360000000000003,1.05927,4,2024,11,1,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Shai Gilgeous-Alexander,31,25,3,9,0,1.0,0.5,0.5,0.696,30.8,12.7,3,1.0,132.0,97.0,22.1,6,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5,6.666666666666667,6.5,1.8333333333333333,1.8333333333333333,0.477,0.2995,0.9236666666666666,32.983333333333334,120.83333333333331,95.0,23.15,1.24208,5,2024,11,2,5,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
Shai Gilgeous-Alexander,35,21,6,9,1,0.0,0.5,0.333,0.591,27.3,5.2,4,1.0,110.0,87.0,16.5,7,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.714285714285715,6.571428571428571,6.857142857142857,1.7142857142857142,2.142857142857143,0.4802857142857143,0.3042857142857142,0.9345714285714284,32.17142857142857,119.28571428571428,93.85714285714286,22.2,1.04373,6,2024,11,4,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
Shai Gilgeous-Alexander,39,28,2,6,1,1.0,0.526,0.0,0.598,31.3,-3.3,8,0.8,96.0,122.0,16.0,8,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,6.0,6.75,1.625,2.875,0.486,0.26625,0.91775,32.0625,116.375,97.375,21.425,1.1039,7,2024,11,6,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Shai Gilgeous-Alexander,29,29,5,4,1,1.0,0.688,0.5,0.76,32.9,11.9,3,0.857,136.0,106.0,24.4,9,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.33333333333333,5.888888888888889,6.444444444444445,1.5555555555555556,2.888888888888889,0.5084444444444445,0.2922222222222222,0.911,32.15555555555555,118.55555555555556,98.33333333333331,21.75555555555556,0.967469,8,2024,11,8,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Shai Gilgeous-Alexander,34,24,5,4,0,1.0,0.353,0.0,0.518,33.2,-2.7,4,0.857,104.0,131.0,15.1,10,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1,5.8,6.2,1.4,3.0,0.4929,0.263,0.9056,32.260000000000005,117.1,101.6,21.09,1.23664,9,2024,11,10,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
