Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_LAL,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_MEM,OPP_MIA,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
LeBron James,2024-10-22,35,16,5,4,0,2.0,0.438,0.25,0.487,22.6,-0.9,2,1.0,99.0,109.0,10.1,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,5.0,4.0,0.0,2.0,0.438,0.25,1.0,22.6,99.0,109.0,10.1,0.0
LeBron James,2024-10-25,35,21,4,8,0,0.0,0.538,0.4,0.636,24.4,0.1,2,0.625,127.0,124.0,17.9,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,4.5,6.0,0.0,2.0,0.488,0.325,0.8125,23.5,113.0,116.5,14.0,0.993843
LeBron James,2024-10-26,34,32,14,10,0,1.0,0.545,0.444,0.673,33.6,9.6,5,1.0,126.0,119.0,27.1,3,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,7.666666666666667,7.333333333333333,0.0,3.0,0.507,0.3646666666666667,0.875,26.866666666666664,117.33333333333331,117.33333333333331,18.366666666666667,1.12123
LeBron James,2024-10-28,36,11,5,8,1,0.0,0.214,0.4,0.331,21.9,-3.8,2,0.5,84.0,113.0,6.9,4,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,7.0,7.5,0.25,2.75,0.43375,0.3735,0.78125,25.625,109.0,116.25,15.5,1.01936
LeBron James,2024-10-30,29,26,6,3,0,0.0,0.692,0.333,0.808,32.5,2.7,6,1.0,117.0,129.0,18.0,5,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2,6.8,6.6,0.2,3.4,0.4854,0.3654,0.825,27.0,110.6,118.8,16.0,1.04026
LeBron James,2024-11-01,36,27,6,10,1,0.0,0.529,0.625,0.687,22.4,12.8,0,0.667,152.0,120.0,27.3,6,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22.166666666666668,6.666666666666667,7.166666666666667,0.3333333333333333,2.833333333333333,0.4926666666666666,0.4086666666666667,0.7986666666666666,26.23333333333333,117.5,119.0,17.883333333333333,1.28897
LeBron James,2024-11-04,40,20,8,11,2,0.0,0.438,0.5,0.549,21.0,8.6,1,1.0,124.0,113.0,22.7,7,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.857142857142858,6.857142857142857,7.714285714285714,0.5714285714285714,2.571428571428572,0.4848571428571429,0.4217142857142857,0.8274285714285714,25.485714285714288,118.42857142857144,118.14285714285714,18.571428571428573,0.933655
LeBron James,2024-11-06,35,39,7,6,1,0.0,0.625,0.545,0.757,36.8,12.9,5,0.75,125.0,125.0,29.3,8,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,6.875,7.5,0.625,2.875,0.502375,0.437125,0.81775,26.9,119.25,119.0,19.9125,1.09433
LeBron James,2024-11-08,34,21,12,13,0,3.0,0.643,0.5,0.727,22.4,17.3,2,1.0,149.0,101.0,27.6,9,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.666666666666668,7.444444444444445,8.11111111111111,0.5555555555555556,2.7777777777777777,0.518,0.4441111111111111,0.838,26.4,122.55555555555556,117.0,20.766666666666666,1.19533
LeBron James,2024-11-10,35,19,10,16,1,0.0,0.429,0.0,0.556,26.8,10.6,3,1.0,133.0,109.0,24.6,10,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.2,7.7,8.9,0.6,2.8,0.5091,0.3997,0.8542,26.44,123.6,116.2,21.15,1.04387
LeBron James,2024-11-13,37,35,12,14,1,0.0,0.591,0.571,0.686,35.0,12.5,6,0.625,129.0,114.0,31.6,11,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.1,8.4,9.9,0.7,3.2,0.5244,0.4317999999999999,0.8167,27.68,126.6,116.7,23.3,0.77636
LeBron James,2024-11-15,38,15,16,12,1,0.0,0.5,0.25,0.545,23.9,-1.2,7,0.5,99.0,115.0,15.8,12,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.5,9.6,10.3,0.8,3.7,0.5206,0.4168,0.8042,27.630000000000003,123.8,115.8,23.09,1.19376
LeBron James,2024-11-16,37,21,7,5,1,0.0,0.421,0.286,0.495,32.7,-4.9,6,0.6,94.0,116.0,11.9,13,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.4,8.9,9.8,0.9,3.8,0.5082,0.4009999999999999,0.7642,27.54,120.6,115.5,21.57,0.995895
LeBron James,2024-11-19,34,26,2,12,0,0.0,0.529,0.2,0.595,34.6,0.4,4,0.636,121.0,126.0,20.7,14,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.9,8.6,10.2,0.8,4.0,0.5397,0.3809999999999999,0.7778,28.81,124.3,116.8,22.95,1.19204
LeBron James,2024-11-21,37,31,10,7,0,1.0,0.545,0.556,0.652,33.2,9.5,4,0.5,122.0,119.0,25.0,15,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.4,9.0,10.6,0.8,3.8,0.525,0.4033,0.7278,28.880000000000003,124.8,115.8,23.65,1.06462
LeBron James,2024-11-23,35,18,6,7,3,0.0,0.412,0.25,0.491,30.8,-3.9,6,1.0,84.0,121.0,11.4,16,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,9.0,10.3,1.0,4.4,0.5133,0.3658,0.7611000000000001,29.72000000000001,118.0,115.9,22.06,1.17929
LeBron James,2024-11-26,35,18,8,10,0,0.0,0.438,0.286,0.533,28.0,-1.0,5,1.0,97.0,130.0,14.4,17,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.3,9.0,10.2,0.8,4.8,0.5133,0.3444,0.7611000000000001,30.420000000000005,115.3,117.6,21.23,1.35261
LeBron James,2024-11-27,33,16,10,11,1,1.0,0.444,0.0,0.444,31.1,0.6,5,0.0,102.0,105.0,15.2,18,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,9.3,10.7,0.8,4.8,0.4952,0.2899,0.6861,29.85,113.0,115.6,19.82,1.11192
LeBron James,2024-11-29,34,12,8,6,0,0.0,0.385,0.0,0.432,27.2,-7.0,5,1.0,78.0,110.0,6.5,19,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1,8.9,10.0,0.8,5.1,0.4694,0.2399,0.6861,30.33,105.9,116.5,17.71,0.965007
LeBron James,2024-12-01,36,27,5,14,0,2.0,0.429,0.0,0.46,41.4,8.7,3,1.0,105.0,114.0,21.9,20,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.9,8.4,9.8,0.7,5.1,0.4694,0.2399,0.6861,31.790000000000003,103.1,117.0,17.44,1.0542
LeBron James,2024-12-02,31,10,8,4,0,0.0,0.25,0.0,0.282,35.0,-15.0,6,0.5,57.0,119.0,-0.4,21,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,8.0,8.8,0.6,5.1,0.4352999999999999,0.1828,0.6736000000000001,31.790000000000003,95.9,117.5,14.24,0.954976
LeBron James,2024-12-04,29,29,5,8,1,0.0,0.667,0.25,0.734,37.4,11.4,5,1.0,117.0,140.0,23.9,22,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8,6.9,8.4,0.6,4.9,0.4519999999999999,0.1828,0.7236,33.14,97.7,120.0,15.05,1.10712
LeBron James,2024-12-06,43,39,10,11,2,3.0,0.56,0.545,0.705,31.9,12.4,4,0.833,130.0,114.0,36.3,23,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6,7.2,9.0,0.7,4.7,0.4659,0.2086999999999999,0.7468999999999999,33.06,101.3,119.8,17.49,0.962629
LeBron James,2024-12-08,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,7.0,7.8,0.7,4.3,0.413,0.1887,0.6833,29.6,89.2,107.2,15.419999999999998,1.29358
LeBron James,2024-12-13,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,25,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9,6.0,7.1,0.7,3.9,0.3585,0.1331,0.6333,26.279999999999998,77.0,95.3,12.919999999999998,1.16327
LeBron James,2024-12-15,34,18,8,8,1,2.0,0.412,0.5,0.48,27.5,4.1,5,0.25,97.0,103.0,13.9,26,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9,6.2,7.2,0.5,3.8,0.3585,0.1581,0.5583,25.95,78.3,93.5,13.169999999999998,1.07692
