Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_LAL,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
LeBron James,2023-10-24,29,21,8,5,1,0.0,0.625,0.25,0.639,24.8,11.7,0,0.0,141.0,122.0,20.3,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.0,5.0,1.0,0.0,0.625,0.25,0.0,24.8,141.0,122.0,20.3,0.0
LeBron James,2023-10-26,35,21,8,9,2,2.0,0.5,0.2,0.599,27.4,10.0,5,0.75,105.0,92.0,20.3,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.0,7.0,1.5,2.5,0.5625,0.225,0.375,26.1,123.0,107.0,20.3,0.9794
LeBron James,2023-10-29,39,27,15,8,0,0.0,0.579,0.375,0.624,32.2,0.1,8,0.333,94.0,114.0,17.8,3,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,10.333333333333334,7.333333333333333,1.0,4.333333333333333,0.568,0.2749999999999999,0.361,28.133333333333336,113.33333333333331,109.33333333333331,19.46666666666667,1.12223
LeBron James,2023-10-30,33,19,3,4,3,1.0,0.412,0.333,0.506,33.8,-1.9,5,0.75,83.0,102.0,11.9,4,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,8.5,6.5,1.5,4.5,0.529,0.2895,0.45825,29.55,105.75,107.5,17.575,0.983898
LeBron James,2023-11-01,42,35,12,7,1,2.0,0.684,0.5,0.748,28.5,10.5,4,0.5,129.0,111.0,30.6,5,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.6,9.2,6.6,1.4,4.4,0.5599999999999999,0.3316,0.4666,29.34,110.4,108.2,20.18,0.959548
LeBron James,2023-11-04,35,24,9,5,3,0.0,0.533,0.4,0.664,26.1,9.9,3,0.857,125.0,111.0,22.5,6,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,9.166666666666666,6.333333333333333,1.6666666666666667,4.166666666666667,0.5555,0.3429999999999999,0.5316666666666666,28.8,112.83333333333331,108.66666666666669,20.566666666666663,1.04412
LeBron James,2023-11-06,37,30,4,3,1,3.0,0.565,0.0,0.606,36.7,-0.2,5,1.0,99.0,107.0,18.9,7,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.285714285714285,8.428571428571429,5.857142857142857,1.5714285714285714,4.285714285714286,0.5568571428571428,0.294,0.5985714285714285,29.928571428571427,110.85714285714286,108.42857142857144,20.32857142857143,1.10828
LeBron James,2023-11-08,27,18,6,2,0,0.0,0.538,0.0,0.592,30.7,-5.1,3,0.8,101.0,134.0,11.5,8,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.375,8.125,5.375,1.375,4.125,0.5545,0.25725,0.62375,30.025,109.625,111.625,19.225,1.03563
LeBron James,2023-11-10,36,32,11,6,1,1.0,0.647,0.75,0.733,31.0,9.3,4,0.636,128.0,116.0,28.1,9,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.22222222222222,8.444444444444445,5.444444444444445,1.3333333333333333,4.111111111111111,0.5647777777777778,0.312,0.6251111111111112,30.133333333333333,111.66666666666669,112.11111111111111,20.211111111111112,1.03232
LeBron James,2023-11-12,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22.7,7.6,4.9,1.2,3.7,0.5083,0.2808,0.5626,27.12,100.5,100.9,18.19,1.07639
LeBron James,2023-11-14,23,16,9,6,1,0.0,0.545,0.5,0.673,30.7,2.3,4,0.5,119.0,98.0,13.8,11,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,7.7,5.0,1.2,4.1,0.5003,0.3057999999999999,0.6126,27.71,98.3,98.5,17.54,0.969639
LeBron James,2023-11-15,35,28,10,12,4,1.0,0.6,0.429,0.756,29.2,17.4,6,0.875,130.0,109.0,31.2,12,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.9,7.9,5.3,1.4,4.2,0.5103,0.3287,0.6251,27.890000000000004,100.8,100.2,18.630000000000003,1.2531
LeBron James,2023-11-17,35,35,5,9,2,0.0,0.591,0.556,0.71,35.4,17.6,3,0.667,135.0,100.0,29.6,13,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23.7,6.9,5.4,1.6,3.7,0.5115000000000001,0.3468,0.6585,28.21,104.9,98.8,19.81,1.08688
LeBron James,2023-11-19,40,37,6,8,3,0.0,0.737,0.4,0.806,26.8,21.1,2,0.778,154.0,104.0,37.3,14,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,7.2,5.8,1.6,3.4,0.544,0.3535,0.6613,27.51,112.0,99.0,22.35,1.03038
LeBron James,2023-11-21,24,17,7,9,0,0.0,0.6,0.6,0.781,23.2,14.0,2,1.0,149.0,99.0,19.2,15,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.7,6.7,6.0,1.5,3.2,0.5356,0.3635,0.7112999999999999,26.98,114.0,97.8,21.21,1.14966
LeBron James,2023-11-22,36,26,9,7,0,0.0,0.474,0.444,0.589,32.3,8.8,3,0.571,114.0,112.0,20.5,16,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.9,6.7,6.2,1.2,3.2,0.5297,0.3679,0.6827000000000001,27.6,112.9,97.9,21.01,1.30089
LeBron James,2023-11-25,36,22,6,6,2,2.0,0.348,0.111,0.422,34.6,-4.0,4,0.714,88.0,106.0,13.7,17,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1,6.9,6.5,1.3,3.1,0.508,0.379,0.6540999999999999,27.39,111.8,97.8,20.49,1.31885
