Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_LAL,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
LeBron James,2020-12-22,28,22,5,5,0,0.0,0.412,0.375,0.548,35.9,3.2,4,0.714,104.0,115.0,13.1,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,5.0,5.0,0.0,4.0,0.412,0.375,0.714,35.9,104.0,115.0,13.1,0.0
LeBron James,2020-12-25,31,22,7,10,1,0.0,0.444,0.375,0.557,30.9,3.4,4,0.75,125.0,118.0,18.7,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,6.0,7.5,0.5,4.0,0.428,0.375,0.732,33.4,114.5,116.5,15.9,1.01837
LeBron James,2020-12-27,26,18,9,5,1,0.0,0.462,0.2,0.56,32.0,-1.9,4,0.714,99.0,80.0,13.3,3,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.666666666666668,7.0,6.666666666666667,0.6666666666666666,4.0,0.4393333333333333,0.3166666666666666,0.726,32.93333333333333,109.33333333333331,104.33333333333331,15.033333333333331,1.01777
LeBron James,2020-12-28,36,29,9,6,2,1.0,0.55,0.429,0.653,30.9,13.3,3,0.8,123.0,111.0,25.6,4,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22.75,7.5,6.5,1.0,3.75,0.467,0.34475,0.7444999999999999,32.425,112.75,106.0,17.675,1.12437
LeBron James,2020-12-30,35,26,5,8,1,1.0,0.478,0.333,0.516,34.4,3.3,2,0.6,112.0,106.0,19.9,5,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.4,7.0,6.8,1.0,3.4,0.4692,0.3424,0.7156,32.82,112.6,106.0,18.12,0.948808
LeBron James,2021-01-01,36,26,11,10,2,0.0,0.364,0.429,0.518,32.3,10.0,4,1.0,111.0,100.0,22.5,6,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.83333333333333,7.666666666666667,7.333333333333333,1.1666666666666667,3.5,0.4516666666666666,0.3568333333333333,0.7629999999999999,32.73333333333333,112.33333333333331,105.0,18.85,1.18963
LeBron James,2021-01-03,32,22,13,8,1,0.0,0.563,0.5,0.635,27.0,13.0,2,0.333,126.0,93.0,21.3,7,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.571428571428573,8.428571428571429,7.428571428571429,1.1428571428571428,3.2857142857142856,0.4675714285714286,0.3772857142857143,0.7015714285714285,31.91428571428571,114.28571428571428,103.28571428571428,19.2,0.899746
LeBron James,2021-01-05,34,26,12,7,1,1.0,0.55,0.25,0.61,35.4,10.1,6,1.0,104.0,92.0,21.4,8,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.875,8.875,7.375,1.125,3.625,0.477875,0.361375,0.738875,32.35,113.0,101.875,19.475,1.11441
LeBron James,2021-01-07,35,27,6,12,0,0.0,0.533,0.571,0.68,30.3,12.2,4,0.636,129.0,123.0,23.1,9,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.22222222222222,8.555555555555555,7.888888888888889,1.0,3.6666666666666665,0.484,0.3846666666666666,0.7274444444444444,32.12222222222222,114.77777777777776,104.22222222222224,19.87777777777778,1.1334
LeBron James,2021-01-08,34,28,7,7,0,0.0,0.524,0.0,0.571,37.2,-0.5,4,0.75,112.0,120.0,19.5,10,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.6,8.4,7.8,0.9,3.7,0.488,0.3461999999999999,0.7297,32.63,114.5,105.8,19.84,1.24909
