Player,Date,TM,Home/Away,OPP,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc
Anthony Edwards,2023-10-25,MIN,@,TOR,38:18,26,14,1,0,0,.296,.571,.439,32.1,2.3,2,1.000,98,101,14.8
Anthony Edwards,2023-10-28,MIN,,MIA,33:22,19,2,7,0,0,.467,.600,.598,24.8,2.9,2,1.000,117,102,13.6
Anthony Edwards,2023-10-30,MIN,@,ATL,37:47,31,5,7,1,0,.619,.625,.723,31.5,5.4,5,.000,121,134,21.9
Anthony Edwards,2023-11-01,MIN,,DEN,31:50,24,2,1,2,0,.500,.250,.615,32.9,1.8,4,.875,104,92,14.5
Anthony Edwards,2023-11-04,MIN,,UTA,35:44,31,8,6,1,0,.684,.500,.731,34.9,5.2,6,.600,117,101,23.7
Anthony Edwards,2023-11-06,MIN,,BOS,38:08,38,9,7,1,0,.600,.250,.677,36.3,13.5,3,.857,128,98,29.7
Anthony Edwards,2023-11-08,MIN,,NOP,33:04,26,3,8,3,2,.455,.250,.537,36.4,6.4,3,.800,112,94,21.7
Anthony Edwards,2023-11-10,MIN,@,SAS,37:07,28,7,5,2,1,.429,.250,.542,33.0,4.3,4,.727,110,103,20.4
Anthony Edwards,2023-11-12,MIN,@,GSW,37:46,33,6,7,2,0,.407,.111,.525,41.2,2.2,4,1.000,108,111,23.6
Anthony Edwards,2023-11-14,MIN,@,GSW,36:18,20,4,4,3,0,.438,.500,.549,28.1,1.0,5,.600,91,101,12.4
Anthony Edwards,2023-11-15,MIN,@,PHO,30:31,13,4,4,1,1,.250,.333,.366,26.7,-6.5,1,1.000,98,144,8.5
Anthony Edwards,2023-11-18,MIN,@,NOP,30:08,23,3,4,0,0,.474,.500,.605,33.1,-4.9,3,,104,127,11.6
Anthony Edwards,2023-11-20,MIN,,NYK,39:08,23,10,5,2,0,.429,.167,.505,29.5,0.6,3,1.000,102,100,17.8
Anthony Edwards,2023-11-22,MIN,,PHI,35:48,31,6,6,2,0,.500,.556,.652,31.0,13.3,2,1.000,130,103,26.0
Anthony Edwards,2023-11-24,MIN,,SAC,39:32,35,7,5,2,2,.381,.222,.605,35.4,6.2,4,.944,119,118,27.3
Anthony Edwards,2023-11-26,MIN,@,MEM,33:59,24,5,7,0,1,.571,.250,.703,25.6,7.3,2,1.000,141,102,21.3
Anthony Edwards,2023-11-28,MIN,,OKC,28:01,21,5,1,0,1,.438,.500,.563,31.8,3.3,2,.667,107,108,11.9
Anthony Edwards,2023-11-30,MIN,,UTA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anthony Edwards,2023-12-02,MIN,@,CHO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anthony Edwards,2023-12-06,MIN,,SAS,36:53,17,7,6,1,1,.235,.400,.414,27.8,-0.9,3,.875,92,95,10.9
Anthony Edwards,2023-12-08,MIN,@,MEM,3:43,0,0,1,0,0,.000,,.000,11.5,-11.4,0,,79,120,0.0
