Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_LAC,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Kawhi Leonard,34,26,2,3,2,0.0,0.385,0.125,0.461,37.5,-3.3,3,1.0,93.0,106.0,11.5,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,2.0,3.0,2.0,3.0,0.385,0.125,1.0,37.5,93.0,106.0,11.5,0.0,0,2020,12,22,1,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336
Kawhi Leonard,30,21,5,7,4,1.0,0.571,0.5,0.685,26.7,14.8,2,1.0,145.0,105.0,22.7,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,3.5,5.0,3.0,2.5,0.478,0.3125,1.0,32.1,119.0,105.5,17.1,1.08712,1,2020,12,25,4,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191
Kawhi Leonard,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.666666666666666,2.333333333333333,3.333333333333333,2.0,1.6666666666666667,0.3186666666666666,0.2083333333333333,0.6666666666666666,21.4,79.33333333333333,70.33333333333333,11.4,1.3546,2,2020,12,27,6,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334
Kawhi Leonard,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.75,1.75,2.5,1.5,1.25,0.239,0.15625,0.5,16.05,59.5,52.75,8.55,1.14828,3,2020,12,29,1,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336
Kawhi Leonard,30,28,3,7,3,1.0,0.529,0.6,0.682,28.2,17.9,0,0.875,154.0,100.0,27.6,5,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,3.4,1.8,1.0,0.297,0.245,0.575,18.48,78.4,62.2,12.36,1.03544,4,2020,12,30,2,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434
Kawhi Leonard,39,20,16,9,0,3.0,0.421,0.5,0.482,24.9,12.9,0,0.5,127.0,111.0,23.1,6,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.833333333333334,4.333333333333333,4.333333333333333,1.5,0.8333333333333334,0.3176666666666666,0.2875,0.5625,19.55,86.5,70.33333333333333,14.15,1.08288,5,2021,1,1,4,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
Kawhi Leonard,34,15,6,3,1,1.0,0.19,0.0,0.295,38.0,-13.7,2,0.7,70.0,114.0,4.7,7,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.714285714285714,4.571428571428571,4.142857142857143,1.4285714285714286,1.0,0.2994285714285714,0.2464285714285714,0.5821428571428572,22.185714285714287,84.14285714285714,76.57142857142857,12.8,1.0753,6,2021,1,3,6,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
Kawhi Leonard,37,30,3,10,2,1.0,0.591,0.333,0.643,28.7,13.5,0,1.0,147.0,120.0,30.8,8,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.5,4.375,4.875,1.5,0.875,0.335875,0.25725,0.634375,23.0,92.0,82.0,15.05,1.19816,7,2021,1,5,1,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
Kawhi Leonard,35,21,4,4,1,1.0,0.583,0.0,0.696,27.7,1.5,7,1.0,102.0,104.0,13.3,9,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.88888888888889,4.333333333333333,4.777777777777778,1.4444444444444444,1.5555555555555556,0.3633333333333333,0.2286666666666666,0.675,23.522222222222226,93.11111111111111,84.44444444444444,14.855555555555554,0.94569,8,2021,1,6,2,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
Kawhi Leonard,34,24,3,4,2,0.0,0.412,0.6,0.585,29.6,4.2,2,0.875,120.0,121.0,17.4,10,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,4.2,4.7,1.5,1.6,0.3681999999999999,0.2658,0.6950000000000001,24.130000000000003,95.8,88.1,15.11,1.07516,9,2021,1,8,4,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
Kawhi Leonard,38,35,2,4,3,0.0,0.636,0.778,0.795,26.7,11.9,2,0.0,143.0,126.0,29.6,11,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,4.2,4.8,1.6,1.5,0.3933,0.3311,0.595,23.05,100.8,90.1,16.919999999999998,1.16723,10,2021,1,10,6,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
Kawhi Leonard,39,28,6,9,2,0.0,0.444,0.5,0.613,32.0,7.3,2,0.909,130.0,115.0,26.3,12,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1,4.3,5.0,1.4,1.5,0.3806,0.3311,0.5859,23.58,99.3,91.1,17.28,1.2027,11,2021,1,13,2,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
Kawhi Leonard,28,27,4,6,1,0.0,0.667,0.333,0.765,30.4,12.8,1,1.0,164.0,107.0,25.9,13,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.8,4.7,5.6,1.5,1.6,0.4473,0.3644,0.6859,26.62,115.7,101.8,19.87,1.31885,12,2021,1,15,4,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
Kawhi Leonard,31,17,7,5,0,0.0,0.615,0.5,0.654,19.5,4.6,1,0.0,142.0,96.0,15.7,14,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,5.4,6.1,1.5,1.7,0.5088,0.4144,0.6859,28.57,129.9,111.4,21.44,0.881906,13,2021,1,17,6,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
