Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_NOP,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Brandon Ingram,2022-10-19,31,28,7,5,1,0.0,0.588,0.5,0.668,30.9,6.1,4,0.667,122.0,105.0,20.3,1,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,7.0,5.0,1.0,4.0,0.588,0.5,0.667,30.9,122.0,105.0,20.3,0.0
Brandon Ingram,2022-10-21,37,28,9,7,2,1.0,0.5,1.0,0.672,27.5,7.0,5,1.0,125.0,107.0,25.3,2,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,8.0,6.0,1.5,4.5,0.544,0.75,0.8335,29.2,123.5,106.0,22.8,0.944882
Brandon Ingram,2022-10-23,11,10,1,0,1,0.0,0.8,0.5,0.85,26.2,14.4,1,0.5,126.0,110.0,8.0,3,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,5.666666666666667,4.0,1.3333333333333333,3.333333333333333,0.6293333333333333,0.6666666666666666,0.7223333333333333,28.2,124.33333333333331,107.33333333333331,17.866666666666667,1.08668
Brandon Ingram,2022-10-25,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,4.25,3.0,1.0,2.5,0.472,0.5,0.54175,21.15,93.25,80.5,13.4,0.916468
Brandon Ingram,2022-10-28,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,3.4,2.4,0.8,2.0,0.3776,0.4,0.4333999999999999,16.919999999999998,74.6,64.4,10.72,0.984875
Brandon Ingram,2022-10-30,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.833333333333333,2.0,0.6666666666666666,1.6666666666666667,0.3146666666666666,0.3333333333333333,0.3611666666666666,14.1,62.16666666666666,53.66666666666666,8.933333333333334,1.18982
Brandon Ingram,2022-11-02,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.428571428571429,2.4285714285714284,1.7142857142857142,0.5714285714285714,1.4285714285714286,0.2697142857142857,0.2857142857142857,0.3095714285714285,12.085714285714284,53.285714285714285,46.0,7.6571428571428575,1.08884
Brandon Ingram,2022-11-04,36,26,5,5,0,2.0,0.471,0.429,0.607,30.9,2.8,4,0.7,113.0,107.0,17.7,8,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,2.75,2.125,0.5,1.75,0.294875,0.303625,0.358375,14.4375,60.75,53.625,8.9125,1.19829
Brandon Ingram,2022-11-05,38,16,5,7,0,2.0,0.304,0.5,0.348,24.4,-1.8,1,0.0,92.0,113.0,8.3,9,0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,2.6666666666666665,0.4444444444444444,1.6666666666666667,0.2958888888888888,0.3254444444444445,0.3185555555555555,15.544444444444444,64.22222222222223,60.22222222222222,8.844444444444443,0.937944
Brandon Ingram,2022-11-07,37,29,6,2,0,2.0,0.5,0.75,0.583,30.7,0.2,2,1.0,114.0,130.0,19.6,10,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7,3.3,2.6,0.4,1.7,0.3163,0.3679,0.3867,17.06,69.2,67.2,9.92,0.946124
