Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,PTS_rolling_avg,TRB_rolling_avg,TM_ATL,TM_BOS,TM_BRK,TM_CHI,TM_CHO,TM_CLE,TM_DAL,TM_DEN,TM_DET,TM_GSW,TM_HOU,TM_IND,TM_LAC,TM_LAL,TM_MEM,TM_MIA,TM_MIL,TM_MIN,TM_NOP,TM_NYK,TM_OKC,TM_ORL,TM_PHI,TM_PHO,TM_POR,TM_SAC,TM_SAS,TM_TOR,TM_UTA,TM_WAS,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIN,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Brandon Ingram,2024-10-23,31,33,7,2,2,1.0,0.565,0.6,0.666,35.8,5.3,3,1.0,117.0,103.0,24.5,1,1,0,33.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.565,0.6,1.0,35.8,117.0,103.0,24.5,0.0
Brandon Ingram,2024-10-25,35,21,8,4,2,1.0,0.4,0.444,0.503,27.4,1.8,2,0.5,101.0,99.0,15.3,2,0,0,27.0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.5,0.4825,0.522,0.75,31.6,109.0,101.0,19.9,1.26411
Brandon Ingram,2024-10-27,32,14,8,6,0,0.0,0.412,0.0,0.412,25.0,-7.9,2,0.0,96.0,128.0,9.1,3,0,1,22.666666666666668,7.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.3333333333333333,2.333333333333333,0.459,0.348,0.5,29.399999999999995,104.66666666666669,110.0,16.3,0.984875
Brandon Ingram,2024-10-29,31,30,4,2,0,0.0,0.706,0.5,0.819,30.0,5.8,3,1.0,138.0,133.0,22.1,4,0,0,24.5,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.0,2.5,0.52075,0.386,0.625,29.55,113.0,115.75,17.75,1.06477
Brandon Ingram,2024-10-30,32,14,5,6,0,0.0,0.455,0.333,0.589,18.1,0.5,2,1.0,123.0,120.0,11.6,5,0,0,22.4,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.8,2.4,0.5075999999999999,0.3754,0.7,27.26,115.0,116.6,16.52,1.05696
Brandon Ingram,2024-11-01,35,26,6,7,1,2.0,0.4,0.375,0.494,32.8,2.6,2,1.0,114.0,116.0,19.2,6,1,0,23.0,6.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.8333333333333334,2.333333333333333,0.4896666666666667,0.3753333333333333,0.75,28.183333333333334,114.83333333333331,116.5,16.966666666666665,1.10866
Brandon Ingram,2024-11-03,30,32,7,2,1,1.0,0.632,0.5,0.755,37.9,6.9,6,0.8,115.0,126.0,21.1,7,1,0,24.285714285714285,6.428571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.142857142857143,0.8571428571428571,2.857142857142857,0.51,0.3931428571428571,0.7571428571428571,29.571428571428573,114.85714285714286,117.85714285714286,17.557142857142857,1.15602
Brandon Ingram,2024-11-04,33,27,5,7,1,0.0,0.458,0.125,0.515,40.5,-1.6,4,0.8,103.0,125.0,16.4,8,1,0,24.625,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.5,0.875,3.0,0.5035000000000001,0.359625,0.7625,30.9375,113.375,118.75,17.4125,0.968614
Brandon Ingram,2024-11-06,39,20,5,5,1,1.0,0.45,0.25,0.5,24.7,-4.2,2,0.0,101.0,133.0,13.5,9,1,1,24.11111111111111,6.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.555555555555555,0.8888888888888888,2.888888888888889,0.4975555555555555,0.3474444444444444,0.6777777777777777,30.244444444444444,112.0,120.33333333333331,16.977777777777778,1.1215
Brandon Ingram,2024-11-08,26,11,5,5,0,0.0,0.333,0.25,0.427,32.1,-12.2,6,1.0,71.0,122.0,2.4,10,0,0,22.8,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.8,3.2,0.4810999999999999,0.3377,0.71,30.43,107.9,120.5,15.52,1.20593
