Player,Date,TM,Home/Away,OPP,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc
Pascal Siakam,2021-10-20,TOR,,WAS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pascal Siakam,2021-10-22,TOR,@,BOS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pascal Siakam,2021-10-23,TOR,,DAL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pascal Siakam,2021-10-25,TOR,,CHI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pascal Siakam,2021-10-27,TOR,,IND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pascal Siakam,2021-10-29,TOR,,ORL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pascal Siakam,2021-10-30,TOR,@,IND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pascal Siakam,2021-11-01,TOR,@,NYK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pascal Siakam,2021-11-03,TOR,@,WAS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pascal Siakam,2021-11-05,TOR,,CLE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pascal Siakam,2021-11-07,TOR,,BRK,25:03,15,4,1,1,2,.417,.333,.528,26.4,2.6,0,.800,114,123,11.7
Pascal Siakam,2021-11-10,TOR,@,BOS,29:53,8,7,3,2,0,.429,.000,.508,18.5,-5.5,4,1.000,78,102,5.3
Pascal Siakam,2021-11-11,TOR,@,PHI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pascal Siakam,2021-11-13,TOR,,DET,34:38,25,12,7,1,0,.643,.667,.696,24.3,9.7,2,.556,151,135,25.1
Pascal Siakam,2021-11-15,TOR,@,POR,39:24,20,6,6,0,1,.467,.333,.597,21.2,0.9,2,1.000,127,130,15.8
Pascal Siakam,2021-11-18,TOR,@,UTA,30:55,4,3,5,2,0,.143,.000,.143,24.6,-15.8,4,,47,124,-1.8
Pascal Siakam,2021-11-19,TOR,@,SAC,30:18,32,8,1,0,2,.833,1.000,.976,29.8,17.4,4,.900,150,94,26.5
Pascal Siakam,2021-11-21,TOR,@,GSW,34:13,21,6,2,1,1,.471,.500,.547,24.1,3.7,1,.400,114,124,15.0
Pascal Siakam,2021-11-24,TOR,@,MEM,33:17,17,7,2,1,0,.417,.333,.548,20.7,-1.0,0,.750,132,121,13.9
Pascal Siakam,2021-11-26,TOR,@,IND,36:41,17,12,4,0,1,.412,.250,.464,23.3,1.4,1,.667,107,120,14.4
Pascal Siakam,2021-11-28,TOR,,BOS,37:55,18,7,5,0,0,.421,.000,.453,24.0,-2.8,1,1.000,103,117,10.9
Pascal Siakam,2021-11-30,TOR,,MEM,30:23,20,6,5,1,3,.474,.167,.514,29.6,11.3,2,1.000,108,97,15.1
Pascal Siakam,2021-12-02,TOR,,MIL,35:19,20,8,4,0,1,.500,.250,.530,31.6,-5.7,6,.500,92,109,9.3
Pascal Siakam,2021-12-05,TOR,,WAS,36:02,31,6,3,0,0,.476,1.000,.590,35.1,8.4,1,.833,123,103,21.6
Pascal Siakam,2021-12-08,TOR,,OKC,38:11,23,11,5,0,0,.667,1.000,.705,23.8,1.8,5,.333,114,117,17.9
Pascal Siakam,2021-12-10,TOR,,NYK,39:28,13,12,4,0,1,.167,.000,.302,26.1,-6.6,1,.875,76,96,6.5
Pascal Siakam,2021-12-13,TOR,,SAC,29:42,16,8,4,1,1,.533,.000,.518,24.1,0.6,1,.000,112,100,14.6
Pascal Siakam,2021-12-14,TOR,@,BRK,44:15,25,6,2,1,1,.571,.000,.571,22.8,-3.2,2,.500,110,122,16.0
Pascal Siakam,2021-12-18,TOR,,GSW,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pascal Siakam,2021-12-26,TOR,@,CLE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pascal Siakam,2021-12-28,TOR,,PHI,41:49,28,6,8,1,1,.524,.000,.592,28.7,4.7,3,1.000,124,125,23.4
Pascal Siakam,2021-12-31,TOR,,LAC,40:19,25,19,7,2,2,.500,.500,.522,27.3,8.7,3,.444,114,107,24.8
Pascal Siakam,2022-01-02,TOR,,NYK,34:53,20,14,7,2,0,.467,.000,.527,29.8,1.3,6,.667,106,104,16.6
Pascal Siakam,2022-01-04,TOR,,SAS,27:33,18,12,5,0,0,.538,1.000,.610,25.6,0.1,3,.500,117,99,14.2
Pascal Siakam,2022-01-05,TOR,@,MIL,41:50,33,6,6,2,1,.565,.500,.633,30.3,5.7,4,.714,117,107,24.8
Pascal Siakam,2022-01-07,TOR,,UTA,38:47,17,5,5,2,1,.375,.400,.479,19.7,-0.7,1,.750,118,111,14.1
Pascal Siakam,2022-01-09,TOR,,NOP,42:31,29,10,7,2,0,.444,.600,.647,26.0,12.3,2,1.000,145,112,27.5
Pascal Siakam,2022-01-11,TOR,,PHO,39:23,22,7,7,3,0,.435,.000,.444,30.7,3.1,4,.500,99,105,12.7
Pascal Siakam,2022-01-14,TOR,@,DET,40:32,23,11,4,0,1,.471,.500,.549,23.8,5.5,1,.667,123,117,18.1
Pascal Siakam,2022-01-15,TOR,@,MIL,40:04,30,8,10,2,0,.550,1.000,.626,31.5,10.9,6,.556,115,103,23.0
Pascal Siakam,2022-01-17,TOR,@,MIA,42:03,18,6,10,5,1,.450,.000,.450,21.0,11.6,0,,122,107,21.7
Pascal Siakam,2022-01-19,TOR,@,DAL,43:31,20,8,3,3,0,.389,.000,.465,25.7,-1.7,5,.750,86,107,10.7
Pascal Siakam,2022-01-21,TOR,@,WAS,41:23,21,7,4,1,0,.471,.500,.560,22.8,-1.6,2,1.000,119,117,15.8
Pascal Siakam,2022-01-23,TOR,,POR,34:03,28,8,5,1,1,.650,.000,.643,29.3,4.9,3,.500,120,115,22.2
Pascal Siakam,2022-01-25,TOR,,CHO,39:24,24,9,12,0,1,.563,.500,.659,23.7,7.3,3,1.000,140,117,25.2
Pascal Siakam,2022-01-26,TOR,@,CHI,43:26,12,7,7,3,0,.250,,.376,20.3,-5.8,3,.667,88,116,9.8
