Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_UTA,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Donovan Mitchell,2020-12-23,31,20,3,5,1,0.0,0.375,0.4,0.563,27.2,4.8,2,1.0,118.0,102.0,13.8,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,3.0,5.0,1.0,2.0,0.375,0.4,1.0,27.2,118.0,102.0,13.8,0.0
Donovan Mitchell,2020-12-26,37,21,2,5,3,2.0,0.261,0.222,0.389,30.1,3.1,3,0.778,96.0,109.0,11.6,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,2.5,5.0,2.0,2.5,0.318,0.311,0.889,28.65,107.0,105.5,12.7,0.980107
Donovan Mitchell,2020-12-28,35,20,2,5,1,0.0,0.348,0.2,0.404,35.4,-9.7,3,0.5,85.0,115.0,7.2,3,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.33333333333333,2.333333333333333,5.0,1.6666666666666667,2.6666666666666665,0.328,0.274,0.7593333333333333,30.9,99.66666666666669,108.66666666666669,10.866666666666667,0.992579
Donovan Mitchell,2020-12-31,36,23,6,3,1,0.0,0.391,0.375,0.482,33.8,1.3,3,1.0,94.0,113.0,12.4,4,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,3.25,4.5,1.5,2.75,0.34375,0.29925,0.8195,31.625,98.25,109.75,11.25,0.907293
Donovan Mitchell,2021-01-01,35,15,4,5,0,0.0,0.429,0.3,0.519,24.5,-2.9,5,0.0,89.0,117.0,6.9,5,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8,3.4,4.6,1.2,3.2,0.3608,0.2994,0.6556,30.2,96.4,111.2,10.38,0.992439
Donovan Mitchell,2021-01-03,29,22,4,9,0,0.0,0.471,0.556,0.631,30.9,5.4,4,1.0,125.0,111.0,17.2,6,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.166666666666668,3.5,5.333333333333333,1.0,3.333333333333333,0.3791666666666666,0.3421666666666667,0.7130000000000001,30.316666666666663,101.16666666666669,111.16666666666669,11.516666666666666,1.04833
Donovan Mitchell,2021-01-05,30,31,4,4,0,0.0,0.455,0.375,0.587,41.9,6.9,3,0.8,110.0,130.0,18.6,7,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.714285714285715,3.571428571428572,5.142857142857143,0.8571428571428571,3.2857142857142856,0.39,0.3468571428571428,0.7254285714285714,31.97142857142857,102.42857142857144,113.85714285714286,12.528571428571428,1.10376
Donovan Mitchell,2021-01-06,36,18,4,4,1,0.0,0.348,0.2,0.391,32.5,-6.7,4,0.0,80.0,120.0,6.9,8,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.25,3.625,5.0,0.875,3.375,0.38475,0.3285,0.63475,32.0375,99.625,114.625,11.825,1.06509
Donovan Mitchell,2021-01-08,32,32,5,7,0,1.0,0.5,0.444,0.601,36.3,7.1,1,0.667,131.0,116.0,24.9,9,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.444444444444443,3.7777777777777777,5.222222222222222,0.7777777777777778,3.111111111111111,0.3975555555555555,0.3413333333333333,0.6383333333333333,32.51111111111111,103.11111111111111,114.77777777777776,13.27777777777778,1.09407
Donovan Mitchell,2021-01-10,37,28,2,3,0,1.0,0.5,0.5,0.664,30.9,9.0,4,0.857,122.0,104.0,17.6,10,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,3.6,5.0,0.7,3.2,0.4078,0.3572,0.6602,32.35,105.0,113.7,13.71,0.959123
